"pob_tot","i_analf","i_asistesc","i_edbasinc","i_sdsalud","i_ptierra","i_nosan","i_noagua","i_nodren","i_noelec","i_nolav","i_noref","grs"
797010,2.57861,4.11986,30.90856,22.39257,1.29109,0.83403,1.54025,0.95588,0.33222,15.126,6.39426,"Muy bajo"
45492,5.49744,3.63248,49.7641,13.76945,2.79804,8.70391,3.37764,8.46407,2.52823,26.99111,20.82542,"Muy bajo"
54136,6.16559,6.15399,57.00623,17.11061,2.54792,1.51161,2.70376,1.4259,1.08306,19.99377,9.05408,"Muy bajo"
15042,4.31758,3.16436,43.32924,13.90772,3.4632,5.94517,2.0202,3.29004,2.10678,32.81385,20.8658,"Muy bajo"
99590,3.74449,4.91442,43.03718,22.33256,2.4818,2.00386,2.64404,1.67938,1.18828,18.91169,9.60712,"Muy bajo"
41862,4.07382,4.38778,38.83803,18.90497,1.54387,1.95911,4.54642,2.023,1.04344,18.9523,12.5213,"Muy bajo"
49156,4.63764,3.36347,39.01059,19.50118,3.61979,3.99892,3.80033,3.03304,0.98393,25.60029,15.32768,"Muy bajo"
8443,3.42129,3.70995,43.98544,9.53453,1.4862,10.72187,5.04246,9.34183,2.01699,31.36943,19.69214,"Muy bajo"
19668,5.8509,4.06812,52.21768,15.4515,2.42915,5.80297,2.45164,4.65587,1.66442,28.2726,19.23077,"Muy bajo"
18828,5.74109,4.82512,50.24663,17.4368,2.62398,9.67742,4.62205,8.64227,3.56283,31.7766,22.00289,"Muy bajo"
35769,4.71976,4.76923,44.70367,18.55797,1.44584,1.37473,1.67101,0.92439,0.61626,20.21806,10.91491,"Muy bajo"
466814,4.72579,5.20994,39.33904,23.60298,3.5231,3.26585,9.68717,15.55746,2.60599,24.53426,14.89061,"Muy bajo"
936826,2.28671,3.12613,31.09959,23.13471,2.26416,1.58341,2.1744,6.63184,0.77052,13.62081,4.22051,"Muy bajo"
101079,2.44478,2.98323,40.08538,23.10272,3.2739,4.1308,14.20996,6.58239,2.97034,20.23901,10.17138,"Muy bajo"
1559683,2.08709,4.32052,35.38826,34.08199,3.84199,1.57991,3.52172,2.25494,0.70834,23.0893,7.65781,"Muy bajo"
90668,2.82292,3.44634,41.37824,29.91463,3.32588,7.59195,14.58333,4.62227,1.49105,29.67197,14.33482,"Muy bajo"
70816,5.38125,3.82649,43.58314,18.18657,5.37029,3.00337,9.84641,14.7591,2.47738,30.33347,11.35073,"Muy bajo"
59114,5.82386,6.41818,47.52964,16.94353,2.86199,6.47587,9.69561,15.49842,4.01407,35.30803,21.93791,"Muy bajo"
251871,2.33409,2.82026,28.22822,21.57295,2.82249,1.27412,6.44203,3.14102,2.03974,25.82096,6.68628,"Muy bajo"
238487,2.85863,3.63366,34.57034,26.85933,9.5142,2.58077,18.58928,2.89817,3.67317,38.12304,14.00243,"Muy bajo"
16738,3.29532,3.86202,39.93795,23.16884,8.61771,6.34989,11.87905,7.84017,10,33.04536,20.88553,"Muy bajo"
52890,12.88437,2.69902,44.86591,18.28323,3.26859,23.36176,9.6084,34.39128,2.02905,39.79946,39.16785,"Bajo"
259005,4.99716,2.84182,33.31805,20.02239,1.99004,3.20038,3.45371,4.16444,1.2779,22.03113,11.53348,"Muy bajo"
221094,5.40985,5.31592,37.57521,24.27655,4.63612,2.54267,25.90884,5.07493,1.8489,21.56931,13.93784,"Muy bajo"
83021,12.16022,5.56086,52.80567,22.95684,4.69061,9.97347,18.53975,19.53947,3.36397,33.41704,27.32399,"Bajo"
