dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,etiqueta
-0.020462582,0.24256706,0.440713867,-0.065525116,0.029817439,-0.264156362,-0.234046124,0.095028009,-0.13999648,-0.012887906,G1
-0.242586756,0.044345163,0.446228606,-0.121408755,-0.313823139,0.634184444,0.52447188,0.239700652,-0.42593046,-0.213563731,G1
0.16144006,0.085673955,0.144535261,0.090699863,-0.185590482,-0.006843883,0.041445679,-0.068050564,-0.011030921,0.113897764,G1
-0.033511969,0.030015273,0.149998087,-0.196247666,-0.053444814,-0.115230336,0.068117631,0.288768962,-0.07178028,-0.356815821,G1
-0.067367964,0.215877354,-0.141115437,0.186522631,0.155834784,0.02679736,0.090700649,0.092083263,-0.405742269,-0.065994858,G1
-0.111212201,0.334059478,0.623135773,0.099255018,0.017523474,0.109503899,0.344269136,0.109525251,-0.504204321,-0.171321839,G1
0.179614335,0.212649121,0.156716851,-0.708961631,0.790353014,-0.045793695,0.08685742,-0.09877686,-0.50811044,0.479878593,G1
-0.076200093,-0.029098749,-0.009664002,-0.034186723,-0.022672868,-0.032698129,0.086067497,-0.034396884,0.033718841,-0.04229162,G1
0.096003815,0.156435932,-0.048256735,0.030752152,0.058726943,0.177287152,-0.211727483,0.123469569,-0.132866249,-0.081033798,G1
-0.621515426,-0.174225249,-0.133094207,0.448914489,0.423010446,-0.516647213,-0.039728441,-0.114836912,0.193380675,-0.267289022,G1
-0.290974908,0.350692626,0.08420697,-0.144188875,0.427185729,-0.490035115,0.413540642,-0.353043997,-0.40515556,0.463476135,G1
-0.382679377,0.470462239,0.448183524,-0.105303475,-0.92566177,-0.117813155,0.229478183,-0.544347757,0.219517628,0.148815882,G1
0.017632074,0.033464347,-0.024564532,-0.031736762,-0.054882814,-0.01587524,0.029458742,-0.054725506,-0.000431574,-0.026306983,G1
0.049407443,0.181574111,-0.121115908,-0.325349709,0.295866755,0.074765997,0.028103344,-0.251365703,0.101551554,0.006388009,G1
-0.044867637,-0.045905451,-0.048891973,-0.010471529,-0.02260726,-0.045743705,-0.020889296,0.031255043,-0.000492542,-0.009328336,G1
0.214143691,0.103997558,0.2446156,-0.551239767,-0.039791816,0.542427391,-0.24866287,-0.021398174,-0.211921756,-0.347535418,G1
-0.014812437,0.048700591,-0.086766774,-0.013130163,-0.020109465,0.139993895,-0.061226792,0.013420862,-0.033751346,0.020298006,G1
0.277072115,0.215177111,0.315718464,0.401475784,-0.109213955,-0.451654656,0.08969257,-0.269458796,-0.012931842,-0.220722404,G1
0.179566622,0.316871903,-0.239966034,-0.099562336,-0.598583173,0.109780685,-0.353864113,-0.563328899,-0.010406944,0.169725519,G1
0.05028749,-0.102183469,0.253820649,-0.002074888,0.034788296,0.009364221,-0.024643097,0.060420227,-0.148702975,0.143914497,G1
0.709326389,-0.164548108,-0.17437985,-0.311904764,-0.211073625,-0.294370243,0.455501155,-0.653203413,-0.323899813,0.232900961,G1
0.327043994,-0.389444706,-0.512495524,-0.133640703,-0.261605845,-0.059541608,0.52941093,-0.179004478,0.492681138,0.538572002,G1
-0.250962749,-0.402714902,-0.582643441,0.032407171,0.151517391,0.237072413,0.025350741,-0.11352197,-0.363124052,-0.271667475,G1
0.437470743,-0.608928451,0.668125936,-0.181634012,0.315130547,0.322244611,0.215286936,0.123088406,-0.257980096,0.385296937,G1
-0.124691525,-0.048025527,0.094998648,-0.57064366,-0.130570868,-0.030635998,0.14982165,0.230069082,-0.054121517,0.236171208,G1
0.134033325,0.095541577,-0.028482835,0.088850734,-0.150686615,-0.010422382,-0.022505473,0.03427901,0.127057696,-0.05860096,G1
