"RowIndex","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16","Run_17","Run_18","Run_19","Run_20","Run_21","Run_22","Run_23","Run_24","Run_25","Run_26","Run_27","Run_28","Run_29","Run_30","Run_31","Run_32","Run_33"
1,"Train","Test","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Test","Test","Test","Test","Train","Train"
2,"Train","Train","Test","Train","Test","Train","Train","Train","Train","Train","Train","Test","Train","Train","Test","Test","Test","Test","Train","Train","Train","Train","Train","Test","Train","Train","Test","Train","Train","Train","Train","Train","Train"
3,"Train","Train","Train","Train","Test","Train","Train","Test","Train","Train","Test","Test","Train","Train","Train","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Test"
4,"Test","Train","Train","Train","Train","Train","Train","Train","Test","Test","Test","Train","Train","Train","Train","Test","Test","Train","Test","Train","Test","Train","Train","Train","Test","Train","Train","Train","Train","Train","Test","Test","Train"
5,"Train","Train","Train","Test","Test","Train","Train","Train","Train","Train","Train","Test","Test","Train","Test","Test","Train","Train","Train","Train","Test","Train","Test","Test","Train","Train","Train","Train","Test","Test","Train","Train","Train"
6,"Test","Test","Test","Train","Test","Train","Train","Test","Train","Train","Test","Train","Test","Train","Train","Train","Train","Test","Test","Train","Train","Train","Test","Train","Test","Test","Train","Test","Train","Train","Train","Train","Train"
7,"Train","Test","Test","Train","Train","Train","Test","Test","Train","Train","Test","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Test","Train","Train","Test","Train","Train","Train"
8,"Train","Train","Train","Train","Test","Train","Train","Test","Test","Train","Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Train","Test","Test","Train","Train","Train","Train","Test","Test","Test","Train","Train","Train"
9,"Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train","Train","Test","Test","Train","Test","Test","Test","Train","Test","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train"
10,"Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train"
11,"Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Test","Test","Train","Test","Train","Test","Test","Train","Test","Train","Train","Train","Train"
12,"Train","Train","Test","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train","Train","Test","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train"
13,"Test","Test","Test","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Test","Train","Test","Train","Train","Train"
14,"Train","Train","Train","Test","Train","Train","Train","Train","Test","Test","Train","Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Test"
15,"Train","Test","Train","Train","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Test","Test","Test","Train","Train","Test","Test","Train","Train","Train","Train","Train","Train","Test","Test"
16,"Train","Train","Train","Test","Train","Train","Train","Train","Train","Test","Train","Train","Train","Test","Test","Test","Train","Train","Train","Train","Test","Train","Train","Train","Test","Train","Train","Train","Test","Test","Test","Train","Test"
17,"Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Test","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train"
