"RowIndex","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16","Run_17","Run_18","Run_19","Run_20","Run_21","Run_22","Run_23","Run_24","Run_25","Run_26","Run_27","Run_28","Run_29","Run_30","Run_31","Run_32","Run_33"
1,"Train","Train","Train","Train","Test","Test","Test","Train","Test","Test","Test","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Train","Test","Train","Test"
2,"Train","Train","Train","Train","Train","Train","Train","Test","Test","Test","Test","Train","Test","Train","Train","Train","Test","Test","Test","Train","Train","Train","Test","Test","Train","Test","Test","Train","Train","Train","Train","Test","Test"
3,"Test","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train","Train","Test","Train","Test","Test","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train"
4,"Test","Train","Train","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Test","Test","Train","Train","Train","Train","Test","Test","Test","Train","Train","Train","Test","Train","Test","Train","Test","Train","Train","Train"
5,"Test","Train","Train","Train","Test","Test","Train","Test","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Train","Train","Test","Test","Train","Train","Train","Train","Train"
6,"Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Train","Test","Train","Train","Train","Test","Test","Train","Test","Test","Train","Test","Train","Train","Train","Train","Test"
7,"Train","Train","Train","Test","Test","Train","Test","Train","Train","Train","Train","Train","Train","Test","Test","Train","Test","Test","Test","Test","Train","Test","Train","Train","Train","Test","Test","Test","Test","Test","Test","Train","Train"
8,"Test","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Test","Train","Train","Train","Test","Train","Test","Test","Test","Train","Train"
9,"Test","Train","Train","Test","Train","Test","Test","Train","Test","Train","Test","Train","Test","Train","Train","Train","Train","Test","Train","Train","Train","Train","Train","Test","Train","Train","Train","Test","Train","Train","Train","Train","Train"
10,"Test","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Test","Test","Train","Train","Train","Train","Test","Train","Train","Test","Train","Test","Train","Train","Train","Train","Train","Train"
11,"Train","Test","Test","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Test","Test","Train","Train","Test","Train","Train","Train","Train","Train","Test"
12,"Test","Test","Train","Train","Train","Train","Train","Train","Train","Test","Train","Train","Train","Test","Train","Train","Train","Train","Test","Test","Test","Train","Train","Train","Train","Train","Test","Test","Train","Train","Train","Test","Train"
13,"Train","Train","Train","Train","Train","Train","Test","Test","Test","Train","Test","Train","Train","Test","Train","Train","Train","Train","Train","Train","Train","Train","Train","Train","Test","Train","Test","Test","Test","Train","Train","Test","Train"
