Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.7434782608695653,0.716458764286759,0.7158333333333333,0.7171179478581609,4,"glucose, pressure, mass, age",6,"glucose*mass, glucose*age, pressure*mass, mass^2, mass*age, age^2",132.308822646,0.8466589095744681
2,0.7652173913043478,0.7504219918013022,0.7616666666666667,0.7456195244055068,4,"pregnant, glucose, mass, age",5,"glucose, age, pregnant^2, mass*age, age^2",155.15784140800002,0.8600398936170213
3,0.717391304347826,0.6944677198504017,0.69875,0.6917048468772606,3,"glucose, mass, age",5,"glucose, mass, glucose*age, mass*age, age^2",23.569961593,0.9639295212765957
4,0.7652173913043478,0.7397099505406991,0.7383333333333333,0.7412280701754386,7,"pregnant, glucose, pressure, insulin, mass, pedigree, age",9,"glucose^2, pressure^2, pressure*insulin, pressure*pedigree, pressure*age, insulin*age, mass*age, pedigree*age, age^2",661.787643982,0.5246010638297872
5,0.7913043478260869,0.77,0.77,0.77,7,"pregnant, glucose, pressure, insulin, mass, pedigree, age",15,"insulin, pregnant^2, pregnant*pedigree, pregnant*age, glucose^2, glucose*insulin, glucose*mass, glucose*age, pressure^2, pressure*insulin, pressure*age, insulin*pedigree, insulin*age, mass*pedigree, age^2",1044.5861577029998,0.5272606382978723
6,0.7652173913043478,0.7468199608610568,0.7529166666666667,0.7428777208706786,6,"glucose, pressure, insulin, mass, pedigree, age",12,"glucose*insulin, glucose*mass, glucose*pedigree, glucose*age, pressure*insulin, pressure*mass, pressure*age, insulin^2, mass*insulin, insulin*pedigree, insulin*age, age^2",381.71264686,0.5777925531914894
7,0.7478260869565218,0.7266617490369642,0.7308333333333333,0.7236757105943152,4,"pregnant, glucose, mass, pedigree",6,"glucose, pregnant^2, pregnant*mass, pregnant*pedigree, glucose*mass, mass*pedigree",120.328873862,0.8633643617021277
8,0.7652173913043478,0.7397099505406991,0.7383333333333333,0.7412280701754386,6,"glucose, pressure, insulin, mass, pedigree, age",11,"glucose, pressure, age, glucose^2, glucose*age, pressure*insulin, pressure*age, insulin*pedigree, insulin*age, mass*age, age^2",692.374045666,0.5601728723404256
9,0.7434782608695653,0.7181079789775442,0.71875,0.717499378573204,6,"glucose, pressure, insulin, mass, pedigree, age",13,"insulin, glucose^2, glucose*pressure, glucose*insulin, glucose*mass, pressure*insulin, pressure*pedigree, pressure*age, mass*insulin, insulin*age, mass^2, mass*pedigree, age^2",964.568685843,0.5745511968085106
10,0.782608695652174,0.7643635767560036,0.7691666666666667,0.7608204134366925,6,"glucose, pressure, triceps, mass, pedigree, age",13,"pressure, triceps, mass, age, glucose*triceps, glucose*age, pressure*age, triceps^2, triceps*age, mass*pedigree, mass*age, pedigree*age, age^2",561.578303162,0.5750498670212766
