Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,1.0,1.0,1.0,1.0,6,"V1, V2, V5, V7, V10, V13",5,"V2*V13, V5*V7, V5*V10, V7*V13, V10*V13",622.906366454,0.4950964095744681
2,0.9622641509433962,0.9624148789303054,0.9666666666666667,0.9611111111111111,7,"V1, V7, V9, V10, V11, V12, V13",8,"V13, V7*V1, V10*V1, V7^2, V10^2, V11*V10, V11*V12, V11*V13",1622.54554293,0.46351396276595747
3,0.8490566037735849,0.852559205500382,0.8492063492063492,0.859083850931677,5,"V1, V3, V4, V7, V8",7,"V7, V4*V1, V7*V1, V3*V4, V7*V4, V4*V8, V7^2",715.503409557,0.5869348404255319
4,0.9245283018867925,0.9281453867660764,0.9315789473684211,0.9259259259259259,7,"V1, V3, V4, V5, V7, V8, V10",8,"V4, V8, V1^2, V7*V1, V10*V1, V5*V3, V4*V8, V5*V8",782.598422076,0.4660904255319149
5,0.9056603773584906,0.9076941121276096,0.8991977225672878,0.9249084249084248,4,"V1, V7, V10, V13",3,"V7*V1, V10*V1, V13*V1",290.23612234,0.8350232712765957
6,1.0,1.0,1.0,1.0,6,"V1, V2, V7, V9, V10, V13",4,"V1^2, V2*V13, V7*V13, V10*V13",1320.159374069,0.527094414893617
7,0.9811320754716981,0.9813650128115537,0.9761904761904763,0.9876543209876543,6,"V1, V2, V5, V7, V10, V13",5,"V1^2, V5*V1, V2*V13, V7*V13, V10*V13",628.3364066879999,0.5232712765957447
8,0.8867924528301887,0.8872446367909163,0.8902255639097744,0.8853801169590643,7,"V1, V2, V3, V4, V6, V7, V12",8,"V1^2, V3*V1, V4*V1, V7*V1, V12*V1, V7*V2, V7^2, V12^2",1575.188130013,0.4549534574468085
9,0.9433962264150944,0.9481727574750831,0.9500891265597148,0.947089947089947,7,"V1, V7, V9, V10, V11, V12, V13",7,"V13, V1^2, V7*V1, V13*V1, V9*V13, V10*V13, V11*V13",940.46907506,0.4718251329787234
10,0.9433962264150944,0.9448120534327432,0.9497354497354498,0.9426900584795321,8,"V1, V3, V7, V8, V9, V10, V12, V13",8,"V1^2, V7*V1, V3^2, V3*V13, V13*V8, V10*V13, V12^2, V12*V13",781.129801071,0.4409906914893617
11,0.9433962264150944,0.9474747474747475,0.9456327985739751,0.9501811594202899,5,"V3, V7, V10, V12, V13",5,"V12, V3*V10, V3*V13, V7*V13, V12*V13",1026.868731659,0.6232546542553191
12,0.9622641509433962,0.9656084656084656,0.9656084656084656,0.9656084656084656,4,"V1, V7, V10, V13",4,"V13*V1, V7*V13, V10*V13, V13^2",287.57534325899996,0.8227227393617021
13,0.9622641509433962,0.9652406417112299,0.9652406417112299,0.9652406417112299,7,"V1, V3, V5, V7, V10, V12, V13",5,"V10, V13, V3*V1, V7*V3, V12*V13",791.479767286,0.4586103723404255
14,0.9245283018867925,0.924074074074074,0.9333333333333332,0.9265873015873015,6,"V1, V3, V4, V7, V10, V11",7,"V1, V11, V1^2, V7*V1, V3^2, V7*V4, V11*V10",1664.2495093779999,0.47415226063829785
15,0.9433962264150944,0.9456420900356935,0.9500891265597148,0.9422969187675069,8,"V1, V3, V4, V5, V7, V8, V10, V11",8,"V3*V1, V7*V1, V11*V1, V3^2, V3*V4, V4^2, V7*V4, V7^2",741.865254078,0.44423204787234044
