Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.8888888888888888,0.8863095238095239,0.8888888888888888,0.8889894419306184,10,"V5, V7, V8, V10, V12, V13, V14, V15, V16, V20",26,"V12, V20, V5^2, V5*V12, V5*V16, V5*V20, V7^2, V7*V10, V7*V12, V7*V15, V7*V16, V8^2, V12*V8, V10^2, V10*V15, V12^2, V20*V12, V13^2, V13*V15, V16*V13, V14^2, V15^2, V16*V15, V20*V15, V16^2, V20^2",1151.422653691,0.22947140957446807
2,0.9333333333333333,0.933249791144528,0.9333333333333332,0.9363636363636364,11,"V1, V4, V5, V6, V7, V10, V13, V14, V15, V16, V18",38,"V4, V6, V10, V15, V18, V1^2, V4*V1, V5*V1, V15*V1, V16*V1, V18*V1, V4^2, V5*V4, V7*V4, V10*V4, V4*V15, V5^2, V5*V6, V5*V7, V5*V13, V5*V15, V5*V18, V6^2, V7*V6, V6*V14, V6*V16, V7^2, V7*V13, V7*V18, V10^2, V13^2, V13*V18, V14^2, V16*V14, V15^2, V16*V15, V16^2, V18^2",1631.659629303,0.22747672872340424
3,0.8777777777777778,0.8764977959893215,0.8777777777777778,0.8820891751926235,8,"V4, V5, V7, V10, V13, V14, V15, V20",21,"V4, V4^2, V10*V4, V5^2, V5*V13, V5*V14, V5*V15, V7^2, V7*V10, V7*V13, V7*V15, V10^2, V10*V14, V20*V10, V13^2, V13*V14, V13*V15, V20*V13, V14^2, V15^2, V20^2",2459.243651079,0.2278091755319149
4,0.8333333333333334,0.83112598299731,0.8333333333333334,0.8439301854449118,11,"V1, V4, V5, V7, V9, V13, V14, V15, V16, V18, V20",43,"V1, V4, V5, V15, V18, V20, V1^2, V4*V1, V14*V1, V15*V1, V16*V1, V20*V1, V4^2, V16*V4, V20*V4, V5^2, V5*V7, V9*V5, V5*V13, V5*V14, V5*V15, V5*V16, V5*V18, V7^2, V9*V7, V7*V13, V7*V14, V7*V15, V7*V20, V9^2, V9*V13, V9*V14, V9*V18, V9*V20, V13^2, V13*V18, V14^2, V14*V15, V16*V14, V15^2, V16^2, V18^2, V20^2",1174.712562238,0.22074468085106383
5,0.7555555555555555,0.7514339068960917,0.7555555555555555,0.7822966507177034,8,"V1, V4, V5, V7, V10, V11, V14, V15",22,"V1, V10, V14, V1^2, V4*V1, V7*V1, V11*V1, V15*V1, V4^2, V5^2, V5*V11, V5*V15, V7^2, V7*V11, V7*V15, V10^2, V10*V14, V11^2, V11*V15, V14^2, V14*V15, V15^2",1726.240750383,0.23429188829787234
6,0.7555555555555555,0.750863359042247,0.7555555555555555,0.7838401908169349,12,"V1, V3, V4, V5, V6, V7, V10, V11, V13, V14, V16, V20",41,"V3, V6, V1^2, V5*V1, V6*V1, V14*V1, V16*V1, V20*V1, V3^2, V3*V6, V3*V11, V3*V16, V3*V20, V4^2, V5*V4, V6*V4, V4*V13, V4*V14, V5^2, V5*V11, V5*V16, V6^2, V6*V10, V6*V13, V7^2, V7*V11, V7*V14, V7*V16, V7*V20, V10^2, V11*V10, V20*V10, V11^2, V11*V14, V13^2, V13*V14, V16*V13, V20*V13, V14^2, V20*V14, V16^2",2558.56720103,0.23894614361702127
7,0.8333333333333334,0.8306407730556337,0.8333333333333334,0.8424171539961014,9,"V5, V6, V7, V13, V14, V15, V16, V18, V20",26,"V7, V15, V18, V20, V5^2, V5*V7, V5*V13, V5*V14, V5*V15, V6^2, V6*V13, V6*V16, V7^2, V7*V18, V13^2, V13*V18, V20*V13, V14^2, V20*V14, V15^2, V16*V15, V18*V15, V16^2, V20*V16, V18^2, V20^2",1143.491302802,0.2489195478723404
8,0.8111111111111111,0.8045197740112995,0.8111111111111112,0.8069731800766283,8,"V1, V7, V10, V11, V12, V14, V16, V20",26,"V1, V12, V14, V1^2, V7*V1, V10*V1, V11*V1, V12*V1, V16*V1, V20*V1, V7^2, V7*V10, V10^2, V10*V14, V10*V16, V20*V10, V11^2, V11*V12, V12^2, V12*V16, V14^2, V16*V14, V20*V14, V16^2, V20*V16, V20^2",1679.330161779,0.2479222074468085
9,0.8444444444444444,0.8428309736711377,0.8444444444444444,0.8476786843769766,9,"V2, V5, V8, V13, V14, V16, V17, V18, V20",32,"V8, V13, V14, V17, V18, V20, V2^2, V5*V2, V2*V13, V2*V16, V2*V17, V2*V18, V5^2, V5*V8, V5*V20, V8^2, V16*V8, V17*V8, V8*V18, V13^2, V14^2, V14*V17, V14*V18, V20*V14, V16^2, V16*V17, V16*V18, V20*V16, V17^2, V18^2, V20*V18, V20^2",2618.7849060119997,0.1947307180851064
10,0.7888888888888889,0.7795536194167068,0.7888888888888889,0.7885013537187451,9,"V2, V4, V6, V9, V14, V16, V18, V19, V20",24,"V4, V9, V14, V20, V2^2, V2*V14, V2*V19, V4^2, V9*V4, V4*V14, V16*V4, V4*V18, V6^2, V9^2, V9*V20, V14^2, V16*V14, V14*V19, V16^2, V16*V19, V18^2, V19^2, V20*V19, V20^2",1141.1087092349999,0.25714760638297873
