Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9529411764705882,0.9488644909008874,0.9430351579884291,0.9560238204306001,8,"texture1, fractal_dimension1, radius3, texture3, smoothness3, compactness3, concavity3, symmetry3",13,"radius3, texture1^2, texture1*radius3, texture3*texture1, smoothness3*texture1, compactness3*texture1, texture1*concavity3, compactness3*fractal_dimension1, radius3^2, compactness3*radius3, texture3^2, texture3*concavity3, texture3*symmetry3",1539.793789225,0.08494015957446809
2,0.9647058823529412,0.9621717846016911,0.9621717846016911,0.9621717846016911,8,"texture1, compactness1, concavity1, smoothness2, radius3, texture3, concave_points3, symmetry3",8,"radius3, texture1*compactness1, texture1*radius3, concavity1*radius3, radius3^2, texture3*concave_points3, texture3*symmetry3, concave_points3*symmetry3",2373.64153913,0.08186502659574468
3,0.9647058823529412,0.9616483681756656,0.9556445631211986,0.9690029012062911,9,"concavity1, symmetry1, texture2, smoothness2, concave_points2, symmetry2, radius3, texture3, smoothness3",16,"radius3, concavity1^2, concavity1*texture2, concavity1*smoothness2, concavity1*symmetry2, concavity1*radius3, concavity1*texture3, symmetry1*concave_points2, symmetry1*texture3, texture2*texture3, smoothness2*radius3, smoothness2*texture3, texture3*concave_points2, texture3*symmetry2, radius3^2, smoothness3*radius3",3882.5024157010002,0.07662898936170212
4,0.9705882352941176,0.9679233178610513,0.9603174603174602,0.9776785714285714,10,"perimeter2, smoothness2, concave_points2, symmetry2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3",16,"perimeter2, radius3, texture3, smoothness3, perimeter2*radius3, perimeter2*texture3, perimeter2*concavity3, compactness3*symmetry2, symmetry2*concavity3, radius3^2, concave_points3*radius3, texture3^2, smoothness3*texture3, texture3*concavity3, concavity3^2, concave_points3^2",1594.500285392,0.07521609042553191
5,0.9705882352941176,0.9679233178610513,0.9603174603174602,0.9776785714285714,11,"texture1, smoothness1, concavity1, radius2, compactness2, concavity2, radius3, compactness3, concavity3, concave_points3, symmetry3",24,"concavity2, radius3, texture1^2, smoothness1*texture1, concavity1*texture1, radius2*texture1, concavity2*texture1, compactness3*texture1, texture1*concavity3, concave_points3*texture1, texture1*symmetry3, concavity2*smoothness1, compactness3*smoothness1, concavity1*concavity2, radius2*radius3, compactness3*radius2, compactness2*radius3, concavity2^2, concavity2*radius3, radius3^2, compactness3^2, compactness3*symmetry3, concavity3^2, symmetry3*concavity3",2457.2568640669997,0.07413563829787234
6,0.9647058823529412,0.9621717846016911,0.9621717846016911,0.9621717846016911,9,"concave_points1, radius2, concave_points2, radius3, texture3, compactness3, concavity3, concave_points3, symmetry3",13,"radius2, concave_points2, radius3, texture3, texture3*concave_points1, concave_points1*concavity3, symmetry3*concave_points2, radius3^2, compactness3*radius3, concave_points3*radius3, texture3^2, texture3*concavity3, texture3*symmetry3",3799.552836269,0.08053523936170212
7,0.9647058823529412,0.9613636363636364,0.9523809523809523,0.9734513274336283,13,"texture1, concavity1, concave_points1, symmetry1, radius2, concave_points2, symmetry2, radius3, texture3, smoothness3, compactness3, concave_points3, symmetry3",33,"texture1, symmetry2, radius3, concave_points3, concavity1*texture1, symmetry1*texture1, radius2*texture1, texture3*texture1, compactness3*texture1, concavity1^2, concavity1*concave_points2, concavity1*compactness3, radius2*concave_points1, concave_points1*concave_points2, symmetry2*concave_points1, concave_points3*concave_points1, concave_points1*symmetry3, symmetry1*symmetry2, symmetry1*radius3, smoothness3*symmetry1, compactness3*symmetry1, radius2*radius3, radius2*texture3, symmetry2^2, texture3*symmetry2, compactness3*symmetry2, symmetry2*symmetry3, radius3^2, smoothness3*radius3, concave_points3*radius3, compactness3*texture3, texture3*symmetry3, symmetry3^2",1617.031227777,0.0719747340425532
8,0.9705882352941176,0.9683720930232558,0.9668446817979528,0.9699820788530467,9,"texture1, concave_points1, perimeter2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3",17,"radius3, texture3, compactness3, concavity3, texture1^2, texture3*texture1, compactness3*texture1, concave_points3*texture1, texture3*concave_points1, perimeter2*texture3, perimeter2*concavity3, radius3^2, texture3*radius3, compactness3*radius3, texture3^2, smoothness3*texture3, texture3*concavity3",2407.758249458,0.08244680851063829
9,0.9764705882352941,0.9746117084826762,0.9715175789942145,0.9780418107986163,10,"concave_points1, radius2, smoothness2, compactness2, concave_points2, radius3, texture3, smoothness3, concavity3, symmetry3",12,"concave_points1, radius2, radius3, texture3, texture3*concave_points1, radius2*concave_points2, radius3^2, radius3*concavity3, radius3*symmetry3, texture3^2, smoothness3*concavity3, symmetry3*concavity3",3821.16448968,0.07463430851063829
10,0.9764705882352941,0.9747811897344607,0.9747811897344607,0.9747811897344607,9,"texture1, compactness1, concave_points1, radius2, compactness2, symmetry2, radius3, smoothness3, concavity3",17,"texture1, symmetry2, radius3, texture1^2, texture1*compactness1, texture1*concave_points1, radius2*texture1, texture1*radius3, texture1*concavity3, smoothness3*compactness1, concavity3*compactness1, radius2*radius3, compactness2*radius3, symmetry2*radius3, symmetry2*concavity3, radius3^2, smoothness3*radius3",1577.14003314,0.08228058510638298
