Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9134615384615384,0.8993006993006993,0.8783783783783784,0.9407894736842105,7,"V3, V5, V16, V23, V26, V28, V32",14,"V3, V16, V5*V3, V3*V16, V16^2, V23*V16, V32*V16, V23*V26, V28*V23, V26^2, V28*V26, V28^2, V28*V32, V32^2",1550.9679475140001,0.08976063829787234
2,0.9423076923076923,0.9362745098039216,0.9310205728116177,0.9424430641821946,8,"V5, V9, V13, V15, V16, V20, V22, V27",21,"V5, V9, V22, V5^2, V9*V5, V5*V13, V5*V22, V5*V27, V9*V13, V9*V15, V9*V20, V13*V15, V20*V13, V13*V27, V15^2, V22*V15, V27*V15, V16^2, V20*V16, V20^2, V20*V27",3009.330152974,0.0772938829787234
3,0.9038461538461539,0.8907563025210083,0.8769665187575635,0.9129474149359258,9,"V4, V5, V8, V18, V21, V22, V27, V28, V29",19,"V5, V8, V21, V22, V29, V4^2, V5*V4, V5^2, V5*V22, V5*V27, V8^2, V21*V8, V22*V8, V8*V27, V18^2, V22*V18, V22*V27, V29*V22, V29*V27",5428.031252473,0.06964760638297872
4,0.9230769230769231,0.9112249253094323,0.8918918918918919,0.9466666666666667,7,"V4, V5, V6, V8, V12, V13, V14",18,"V5, V6, V8, V12, V5*V4, V4*V14, V6^2, V6*V8, V6*V12, V6*V13, V6*V14, V8^2, V12*V8, V14*V8, V12^2, V12*V13, V13*V14, V14^2",1535.202536324,0.0906748670212766
5,0.8846153846153846,0.8668373879641486,0.8499394917305365,0.8988505747126436,7,"V1, V3, V5, V10, V27, V32, V34",15,"V3, V10, V32, V5*V1, V32*V1, V34*V1, V5*V10, V5*V27, V5*V34, V10^2, V32*V10, V10*V34, V27^2, V32*V27, V32^2",3034.8812086089997,0.08402593085106383
6,0.8942307692307693,0.8807215097487228,0.8695038321903994,0.8975694444444444,7,"V4, V5, V8, V10, V14, V19, V24",15,"V8, V10, V24, V4^2, V4*V8, V5^2, V5*V10, V5*V14, V5*V19, V14*V8, V10^2, V10*V14, V14^2, V19^2, V24^2",5293.324221237,0.08926196808510638
7,0.8942307692307693,0.8769230769230769,0.8574021782977006,0.9163533834586466,7,"V5, V7, V8, V14, V24, V25, V32",13,"V5, V7, V8, V5^2, V5*V24, V7*V14, V8^2, V14*V8, V25*V8, V32*V8, V14^2, V32*V24, V32*V25",1559.692834453,0.0836934840425532
8,0.9038461538461539,0.8871527777777778,0.8648648648648649,0.935064935064935,6,"V5, V8, V15, V16, V27, V28",11,"V5, V8, V15, V16, V5*V27, V8*V15, V16*V8, V15^2, V16*V15, V16^2, V28^2",2719.588768898,0.13804853723404256
9,0.9423076923076923,0.9354037267080746,0.9249697458652683,0.9496372172428511,8,"V3, V5, V8, V9, V13, V14, V24, V27",22,"V5, V8, V14, V27, V9*V3, V3*V13, V3*V14, V3*V27, V9*V5, V5*V13, V5*V14, V5*V24, V5*V27, V8^2, V14*V8, V9*V13, V9*V14, V13^2, V13*V27, V14*V27, V24^2, V27^2",5274.58462838,0.07322140957446809
10,0.8942307692307693,0.8789033555626125,0.8634530052440501,0.9058558558558558,6,"V5, V8, V26, V27, V29, V33",21,"V5, V8, V26, V27, V29, V33, V5^2, V5*V27, V5*V29, V8^2, V26*V8, V8*V27, V29*V8, V33*V8, V26^2, V26*V27, V27^2, V29*V27, V33*V27, V29^2, V33^2",1405.0503066649999,0.13414228723404256
11,0.8942307692307693,0.8789033555626125,0.8634530052440501,0.9058558558558558,6,"V3, V5, V8, V14, V27, V31",12,"V3, V5, V8, V31, V5*V3, V3*V27, V8^2, V14*V8, V8*V27, V14^2, V31*V14, V27^2",2726.197007005,0.12632978723404256
12,0.9038461538461539,0.8907563025210083,0.8769665187575635,0.9129474149359258,7,"V5, V6, V11, V20, V22, V25, V27",19,"V5, V20, V25, V5^2, V5*V11, V5*V25, V5*V27, V6^2, V6*V11, V6*V22, V6*V27, V11^2, V11*V20, V11*V25, V11*V27, V20^2, V20*V27, V22^2, V27^2",5364.546800483,0.08352726063829788
13,0.9134615384615384,0.900920927278501,0.8844292053247277,0.9292792792792792,8,"V4, V5, V6, V8, V10, V15, V27, V32",26,"V5, V6, V8, V15, V4^2, V10*V4, V4*V27, V5^2, V5*V6, V5*V10, V5*V15, V5*V27, V6^2, V6*V8, V6*V10, V6*V15, V8^2, V10*V8, V8*V15, V8*V27, V10^2, V10*V27, V32*V10, V15^2, V27*V15, V32^2",1622.4285464929999,0.07737699468085106
14,0.8846153846153846,0.8668373879641486,0.8499394917305365,0.8988505747126436,7,"V1, V5, V8, V13, V24, V28, V34",18,"V28, V5*V1, V8*V1, V5*V8, V5*V13, V5*V34, V8^2, V13*V8, V8*V24, V28*V8, V13^2, V28*V13, V34*V13, V24^2, V28*V24, V34*V24, V28^2, V28*V34",3113.02623605,0.09109042553191489
15,0.8846153846153846,0.8668373879641486,0.8499394917305365,0.8988505747126436,7,"V5, V7, V8, V14, V24, V27, V33",17,"V5, V7, V8, V14, V24, V5*V14, V7*V24, V7*V27, V8^2, V14*V8, V8*V24, V33*V8, V14^2, V33*V14, V33*V24, V27^2, V33*V27",5240.380685614,0.09258643617021277
16,0.8846153846153846,0.8708074534161491,0.8620411456232352,0.8830559112249253,6,"V3, V6, V8, V14, V17, V33",19,"V3, V6, V8, V17, V3^2, V3*V6, V3*V8, V3*V14, V3*V17, V6^2, V6*V8, V8^2, V14*V8, V17*V8, V14^2, V14*V17, V17^2, V33*V17, V33^2",1429.37880204,0.12150930851063829
17,0.9134615384615384,0.900920927278501,0.8844292053247277,0.9292792792792792,6,"V5, V7, V8, V15, V24, V27",14,"V5, V8, V24, V5*V7, V5*V24, V5*V27, V7*V15, V7*V27, V8^2, V8*V15, V15^2, V24*V15, V24^2, V27^2",2703.069069879,0.12175864361702128
18,0.8942307692307693,0.8807215097487228,0.8695038321903994,0.8975694444444444,7,"V5, V8, V14, V17, V24, V26, V28",21,"V5, V8, V14, V17, V24, V26, V5*V14, V5*V24, V5*V28, V8^2, V14*V8, V17*V8, V26*V8, V28*V8, V14^2, V14*V17, V28*V14, V24^2, V26*V24, V28*V26, V28^2",5120.532555377,0.09724069148936171
