Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9132791327913279,0.8888907072469131,0.8844473328836132,0.9054893755807585,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_edbasinc, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_sdsalud, i_analf*i_noagua, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_nodren*i_asistesc, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_ptierra, i_ptierra*i_noref, i_nolav*i_noagua, i_noref*i_noagua, i_nodren^2, i_nolav*i_noelec",673.56685125,0.46102061170212766
2,0.8888888888888888,0.8639517983198954,0.8655056006680717,0.8806840371434644,10,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",31,"i_edbasinc, i_ptierra, i_nosan, i_nodren, i_noelec, i_noref, i_asistesc*i_analf, i_analf*i_edbasinc, i_ptierra*i_analf, i_nodren*i_analf, i_analf*i_noelec, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_ptierra*i_noagua, i_ptierra*i_noelec, i_ptierra*i_noref, i_nosan*i_noagua, i_noagua^2, i_nodren*i_noagua, i_nolav*i_noagua, i_nodren*i_nolav, i_noref*i_noelec",712.623992259,0.4673371010638298
3,0.940379403794038,0.9316227094550367,0.9321277744971267,0.934625269367588,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",42,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_noref, i_analf^2, i_ptierra*i_analf, i_analf*i_noagua, i_nodren*i_analf, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nolav*i_edbasinc, i_sdsalud^2, i_ptierra*i_sdsalud, i_noagua*i_sdsalud, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_nosan, i_ptierra*i_noagua, i_ptierra*i_noelec, i_ptierra*i_noref, i_nodren*i_nosan, i_nosan*i_noelec, i_noagua^2, i_noagua*i_noelec, i_nodren*i_noref, i_noelec^2, i_nolav*i_noelec",764.0490231839999,0.4701628989361702
4,0.9254742547425474,0.926102344860864,0.9252655154534143,0.9275726075710813,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",26,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_noagua, i_nodren, i_nolav, i_noref, i_analf*i_noelec, i_nolav*i_analf, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_noelec*i_sdsalud, i_noref*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noref, i_noagua^2, i_nodren*i_nolav, i_nodren*i_noref, i_nolav*i_noelec",676.2853574989999,0.46633976063829785
5,0.9281842818428184,0.9272826066623278,0.9348946801035293,0.9247601913670781,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",36,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_nosan, i_analf*i_noagua, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_nolav, i_asistesc*i_noref, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_noref*i_edbasinc, i_sdsalud^2, i_noagua*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_ptierra*i_nosan, i_ptierra*i_noelec, i_nolav*i_ptierra, i_nosan^2, i_nodren*i_noagua, i_noagua*i_noelec, i_nolav*i_noagua",709.865430156,0.4636801861702128
6,0.9295392953929539,0.9144402464640079,0.9125915640714822,0.9194680983027597,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",33,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_nodren*i_asistesc, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_sdsalud^2, i_noelec*i_sdsalud, i_noref*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_nolav*i_ptierra, i_ptierra*i_noref, i_nodren*i_noagua, i_nodren^2, i_nodren*i_noelec, i_noelec^2, i_nolav*i_noelec, i_noref*i_noelec, i_noref^2",765.123614836,0.4644281914893617
7,0.9214092140921409,0.9026056645787408,0.8971647796711879,0.9116437591958245,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",31,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_analf^2, i_asistesc*i_analf, i_ptierra*i_analf, i_nodren*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_noref*i_edbasinc, i_sdsalud^2, i_noagua*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nolav*i_ptierra, i_nodren*i_noagua, i_nodren*i_nolav, i_nolav*i_noelec",674.477961595,0.46243351063829785
8,0.9186991869918699,0.8901135610939532,0.8894950674769447,0.9041443966891997,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_edbasinc^2, i_ptierra*i_edbasinc, i_sdsalud^2, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_ptierra*i_noelec, i_ptierra*i_noref, i_noagua*i_noelec, i_noref*i_noagua, i_nodren^2, i_nolav*i_noelec, i_noref^2",708.9384566260001,0.46725398936170215
9,0.9200542005420054,0.8999379141393661,0.9039026254698348,0.8982951288592202,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",34,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_sdsalud, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_noelec, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_ptierra^2, i_nodren*i_ptierra, i_nolav*i_ptierra, i_noagua^2, i_nodren^2, i_nodren*i_noelec, i_nolav*i_noelec, i_nolav*i_noref",768.050952134,0.4689162234042553
10,0.926829268292683,0.9039443518057915,0.9018959984324557,0.9131785587968817,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",39,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_sdsalud, i_analf*i_noagua, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nolav*i_edbasinc, i_noref*i_edbasinc, i_sdsalud^2, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_noagua, i_noref*i_noagua, i_nodren^2, i_noelec^2, i_noref*i_noelec",673.22929514,0.465093085106383
