Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9666666666666668,0.9644725644725645,0.9746825396825397,0.9646825396825397,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",9.577241399999998,0.978
2,0.9600000000000002,0.9636668886668888,0.9662698412698413,0.9634920634920636,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",0.0753891,0.979
3,0.9533333333333334,0.9517593517593518,0.956031746031746,0.953015873015873,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0593447,0.9773333333333334
4,0.96,0.957065157065157,0.9632539682539683,0.9594444444444445,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",9.560954899999999,0.9793333333333333
5,0.96,0.9613071188071188,0.968611111111111,0.9613888888888888,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",0.07851759999999999,0.9766666666666667
6,0.9600000000000002,0.9537258438729028,0.9724999999999999,0.9477777777777778,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",0.06612029999999999,0.9753333333333334
7,0.9600000000000002,0.9541031517502105,0.9535714285714286,0.9653439153439154,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",9.567302,0.9783333333333334
8,0.9666666666666668,0.9583109483109483,0.9635714285714286,0.9591269841269842,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0770017,0.9793333333333333
9,0.9600000000000002,0.9545828245828247,0.9604761904761906,0.9569047619047619,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",0.056947899999999996,0.978
10,0.9666666666666666,0.9567232767232767,0.9571428571428571,0.9688492063492063,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",9.5763927,0.9803333333333333
11,0.9600000000000002,0.9546436896436896,0.9591666666666667,0.9624603174603175,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.06272,0.9786666666666667
12,0.9666666666666668,0.965405738052797,0.9740740740740741,0.9658333333333333,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0630474,0.9796666666666667
13,0.9666666666666668,0.9553675953675953,0.9552380952380952,0.9683333333333334,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",9.5768539,0.9803333333333333
14,0.9600000000000002,0.9591133866133866,0.9664814814814815,0.9612698412698413,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",0.07158020000000001,0.9813333333333333
15,0.9600000000000002,0.9592629592629592,0.9649206349206348,0.961904761904762,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",0.058919900000000004,0.9796666666666667
16,0.9600000000000002,0.961060236060236,0.9624603174603175,0.9626984126984126,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",9.571935999999999,0.978
17,0.9600000000000002,0.9474070374070374,0.9702380952380952,0.9472222222222222,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0714105,0.9793333333333333
18,0.9600000000000002,0.929418821918822,0.93,0.9686640211640212,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0621385,0.9793333333333333
19,0.9600000000000002,0.9620875420875421,0.9671428571428573,0.9671428571428573,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",9.575740999999999,0.979
20,0.9666666666666668,0.9625393125393126,0.968888888888889,0.9669047619047619,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0768558,0.9746666666666667
21,0.9666666666666668,0.9558221408221408,0.9646825396825397,0.9650000000000002,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.060463,0.979
22,0.9600000000000002,0.9568603945074532,0.9577380952380953,0.9651851851851851,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",9.571144299999998,0.979
23,0.9600000000000002,0.9553675953675953,0.9605555555555556,0.9596825396825398,2,"LongPetal, AnchoPetal",2,"LongPetal, AnchoPetal^2",0.0614504,0.981
24,0.96,0.9512454212454212,0.9533333333333334,0.9541269841269842,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",0.0642446,0.9793333333333333
25,0.9666666666666668,0.9559255559255557,0.9649603174603175,0.9597222222222221,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",9.5681713,0.98
26,0.9666666666666666,0.9650140600140601,0.9691666666666666,0.9702380952380952,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",0.0716868,0.9766666666666667
27,0.96,0.9605916305916307,0.9657539682539682,0.9644444444444444,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",9.575929299999999,0.9816666666666667
28,0.9600000000000002,0.9295543345543347,0.9354761904761905,0.965873015873016,2,"LongPetal, AnchoPetal",2,"AnchoPetal, LongPetal*AnchoPetal",0.0750337,0.9766666666666667
29,0.9600000000000002,0.9334204392099128,0.9617460317460317,0.9396825396825397,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",9.5695663,0.9786666666666667
30,0.9600000000000002,0.9613192689663279,0.966031746031746,0.9626455026455026,2,"LongPetal, AnchoPetal",2,"LongPetal, LongPetal*AnchoPetal",0.0637625,0.9803333333333333
