Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9706722689075631,0.9606639529735098,0.9693704906204905,0.9578194953194954,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.454720300000002,0.982
2,0.9676470588235295,0.9604999802241181,0.9615962142432732,0.9646689421689422,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.09543750000000001,0.9786666666666667
3,0.9647058823529413,0.9531431530555652,0.9539082554872029,0.9577380952380953,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.0751744,0.9786666666666667
4,0.9705882352941175,0.9614372785853424,0.9644830496301084,0.9606855508326095,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",9.450815500000001,0.9783333333333334
5,0.9707563025210085,0.9668053561307695,0.9695786499075973,0.9655146705146705,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0954619,0.978
6,0.9680672268907562,0.9571635853518824,0.9632525208995798,0.9558664021164021,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.082315,0.979
7,0.9652100840336134,0.9487903375799428,0.9539393939393939,0.957682905329964,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",9.4382808,0.9813333333333333
8,0.9649579831932773,0.9555855713958605,0.9561783757178495,0.9591398416398416,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0808084,0.9823333333333333
9,0.9706722689075631,0.9655357015837982,0.9682548007548007,0.9671132897603487,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0907403,0.9796666666666667
10,0.9677310924369749,0.9580340412098357,0.9612239340180517,0.9592124542124543,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",9.4370525,0.977
11,0.9706722689075631,0.9628344867768168,0.9661100337570927,0.9626820728291318,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.0928669,0.98
12,0.9707563025210083,0.9628091496230196,0.9653177548572286,0.9660850451291628,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0764648,0.979
13,0.9678151260504201,0.9598410556414544,0.9596040071040072,0.9650556714527303,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.4529601,0.9773333333333334
14,0.9651260504201682,0.9477335637841071,0.9491071428571429,0.9481746031746032,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.09926950000000001,0.9773333333333334
15,0.9677310924369749,0.9575088807091227,0.954891774891775,0.9693254601149336,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0812197,0.981
16,0.9678151260504203,0.9542621919900085,0.9647308709808711,0.9537210012210012,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",9.438233499999999,0.9793333333333333
17,0.9677310924369749,0.9598450260544,0.9636312469207204,0.9609083835554424,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.1010827,0.978
18,0.9678151260504203,0.9554435374750911,0.9594946311858077,0.9572913524384112,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.0781968,0.977
19,0.9736134453781512,0.9669201317072877,0.971608239255298,0.9642514430014429,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.4356632,0.9796666666666667
20,0.9705882352941178,0.9613985783870775,0.9676665654606831,0.9600108225108224,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.08564350000000001,0.9816666666666667
21,0.9677310924369749,0.9535614457525512,0.9580809332279919,0.9536235251676428,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0773952,0.9766666666666667
22,0.9678991596638656,0.9605870090943661,0.9615133477633477,0.9618825156325157,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",9.4332945,0.9783333333333334
23,0.9707563025210085,0.960876372591916,0.9670002220002221,0.9603150553150555,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.0917265,0.982
24,0.9647899159663866,0.9535957985755594,0.9629493654493654,0.9540079365079365,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.078758,0.9783333333333334
25,0.9678991596638655,0.9539250800616171,0.959112554112554,0.9578637770897833,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.4376728,0.98
26,0.9648739495798319,0.9563810357619072,0.9563752913752914,0.9599007936507936,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.0971599,0.979
27,0.9736134453781513,0.9650976578598062,0.9697563874034463,0.963198653198653,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.4334825,0.9803333333333333
28,0.9621008403361344,0.9488328861271995,0.9575149884515209,0.9487566137566137,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.0985785,0.9813333333333333
29,0.9706722689075631,0.965920601841205,0.9673387260887262,0.9695103371573959,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",9.435982899999999,0.983
30,0.9680672268907562,0.9629121838520079,0.9659236460707049,0.9619605394605394,2,"LongitudPico, AnchoPico",2,"LongitudPico, LongitudPico*AnchoPico",0.07910629999999999,0.9786666666666667
