Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.7655673274094327,0.7450380213124159,0.7513821597737864,0.7451292028884382,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",15.855115999999999,0.8483333333333334
2,0.7656015037593986,0.7416835028792782,0.7452698325650138,0.7407717502100523,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.9271352,0.8426666666666667
3,0.7681305536568694,0.746568941649276,0.7544555862025908,0.7457577416295482,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.481468,0.852
4,0.7668831168831169,0.7445663317385793,0.7479421558583466,0.7452931848741333,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.100286699999998,0.842
5,0.7708988380041012,0.7472410679820842,0.7526252408741227,0.7463587196873739,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.9783605,0.8443333333333334
6,0.7605604921394395,0.7362563971084349,0.7413997978951216,0.7372142845535883,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.4776922,0.8403333333333334
7,0.764354066985646,0.7393798711417983,0.7424726709031029,0.7421341800050536,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.2538902,0.833
8,0.7669685577580314,0.7442276730744675,0.7482883683269688,0.7445144869396593,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",2.0199109,0.8303333333333334
9,0.7656015037593986,0.7387031329297791,0.7466932922566738,0.741328329603772,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.5267537999999998,0.8343333333333334
10,0.7669685577580315,0.7435275012578861,0.7491611733711077,0.7420245487146113,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.1550775,0.8356666666666667
11,0.764302802460697,0.7435374993341982,0.7509957829635281,0.7429516497026804,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.8717238999999999,0.8386666666666667
12,0.7642857142857142,0.739561924348817,0.7441267077587654,0.7396937436162323,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.5547279999999999,0.8456666666666667
13,0.764354066985646,0.7419674376352143,0.7470886665686745,0.7418974293038059,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.1216492,0.8423333333333334
14,0.7630724538619276,0.7414315530147197,0.7483757927071772,0.741241910609822,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.6401014,0.866
15,0.7629186602870813,0.7412262448211584,0.7456952131705019,0.7398102851156318,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.5900867,0.8383333333333334
16,0.7656869446343132,0.7418709029930552,0.746130317218213,0.7420695223519059,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",15.9263984,0.853
17,0.765686944634313,0.7444133342712261,0.7506889257014759,0.7465392420475235,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.8612265000000001,0.8433333333333334
18,0.7643882433356118,0.7390012787070759,0.7458216348693772,0.7398868103397788,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.5442852999999999,0.844
19,0.7605946684894053,0.7379623022888123,0.7419863448491214,0.7373289576169132,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.0430348,0.8506666666666667
20,0.7526486671223513,0.7269107662662746,0.7323336182014696,0.7306788096362846,3,"glucose, mass, age",2,"glucose*mass, glucose*age",1.9308049,0.848
21,0.7669172932330828,0.7417198631667723,0.745197871365529,0.7431891859489301,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.530043,0.8433333333333334
22,0.7683014354066986,0.7464481007111741,0.7519736123587667,0.7477940489364878,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.0925792,0.8383333333333334
23,0.7630724538619276,0.7399567809456201,0.7441923030374925,0.7428604313143042,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.7876321,0.85
24,0.766848940533151,0.7444818095916448,0.7511745812512303,0.7466853515416403,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.5982965999999998,0.842
25,0.7643882433356117,0.7412856190563291,0.7443045649874762,0.7401568117429609,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.2703324,0.8396666666666667
26,0.7657382091592619,0.7429602907340384,0.7495776892390797,0.7430844367546634,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.9746427,0.8426666666666667
27,0.7683526999316472,0.7399562056362544,0.7464481654444947,0.7428595821261803,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.149001,0.8446666666666667
28,0.7631578947368419,0.7396090207701038,0.7431930180044591,0.7402240460311248,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",1.8615454,0.8453333333333334
29,0.7669002050580997,0.7420836772815241,0.748983934471563,0.746858077019236,3,"glucose, mass, age",3,"glucose*age, mass*age, age^2",16.2968805,0.8356666666666667
30,0.7526486671223513,0.7259784998184768,0.7315983185136845,0.7266508927052653,3,"glucose, mass, age",2,"glucose*mass, glucose*age",1.8476298,0.845
