Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.977124183006536,0.9761396011396011,0.9776455026455027,0.9757407407407408,5,"V1, V7, V10, V12, V13",4,"V10*V1, V12*V1, V7*V10, V7*V13",160.7305633,0.3363333333333333
2,0.9718954248366012,0.9706623980308191,0.9738492063492064,0.9727777777777777,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",139.5456783,0.35
3,0.9774509803921569,0.9770514626985216,0.9826210826210826,0.9754761904761905,5,"V1, V7, V10, V12, V13",5,"V1^2, V7*V10, V12*V10, V10*V13, V12*V13",136.0490531,0.3333333333333333
4,0.9774509803921569,0.9803200537565863,0.9807407407407407,0.9827380952380953,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",154.3429482,0.3333333333333333
5,0.9774509803921569,0.9722024759364913,0.9751984126984128,0.9757407407407408,5,"V1, V7, V10, V12, V13",5,"V1, V10*V1, V12*V1, V7*V13, V12*V13",167.6216484,0.31633333333333336
6,0.9774509803921569,0.9775942575942576,0.9774603174603176,0.9813744588744588,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",120.4412609,0.3473333333333333
7,0.9777777777777779,0.979510337157396,0.9799074074074074,0.9821428571428571,5,"V1, V7, V10, V12, V13",6,"V13*V1, V7*V13, V10*V13, V12^2, V12*V13, V13^2",167.19841300000002,0.31133333333333335
8,0.9833333333333334,0.9843683801578539,0.9855158730158731,0.9855555555555556,5,"V1, V7, V10, V12, V13",7,"V13, V7*V1, V10*V1, V12*V1, V7*V10, V10^2, V12^2",164.9953013,0.323
9,0.9774509803921569,0.9760924913866089,0.9792592592592593,0.9771825396825398,5,"V1, V7, V10, V12, V13",6,"V10*V1, V13*V1, V7*V13, V10*V13, V12*V13, V13^2",119.4886085,0.3463333333333333
10,0.9774509803921569,0.976494094141153,0.9820105820105821,0.975,5,"V1, V7, V10, V12, V13",6,"V13*V1, V7*V13, V10^2, V10*V13, V12*V13, V13^2",159.7390766,0.342
11,0.9833333333333334,0.9834614187555364,0.9842592592592592,0.9855411255411255,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",140.278079,0.346
12,0.9830065359477125,0.9841595441595441,0.9863095238095239,0.9844047619047618,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",133.9066287,0.334
13,0.9774509803921569,0.976877936877937,0.9757936507936508,0.981969696969697,5,"V1, V7, V10, V12, V13",6,"V10, V13, V1^2, V7*V10, V12*V10, V12*V13",153.4005741,0.32033333333333336
14,0.9666666666666666,0.9651806561171886,0.9751058201058201,0.9613095238095237,5,"V1, V7, V10, V12, V13",6,"V1, V10, V13, V7*V10, V12*V10, V12*V13",173.0445495,0.31833333333333336
15,0.9774509803921569,0.9762621199961353,0.9776455026455027,0.9791269841269841,5,"V1, V7, V10, V12, V13",5,"V1^2, V7*V10, V12*V10, V10*V13, V12*V13",123.3499296,0.31433333333333335
16,0.9774509803921569,0.9741010875376201,0.9771296296296297,0.9761111111111112,5,"V1, V7, V10, V12, V13",6,"V10*V1, V13*V1, V7*V13, V10*V13, V12*V13, V13^2",159.9060581,0.3333333333333333
17,0.9833333333333334,0.9816825396825397,0.9871184371184372,0.9785714285714286,5,"V1, V7, V10, V12, V13",6,"V7*V1, V13*V1, V7*V13, V10*V13, V12*V13, V13^2",148.72656,0.351
18,0.977124183006536,0.9782248940143677,0.9807936507936509,0.9790476190476192,5,"V1, V7, V10, V12, V13",6,"V1, V7, V10*V1, V12*V1, V7^2, V7*V13",138.8266945,0.3616666666666667
19,0.9774509803921569,0.9710900863842042,0.9810185185185185,0.9693121693121695,5,"V1, V7, V10, V12, V13",6,"V12*V1, V13*V1, V7*V13, V10*V13, V12*V13, V13^2",158.9591485,0.338
20,0.9777777777777779,0.9736444744339481,0.9783333333333333,0.9724603174603175,5,"V1, V7, V10, V12, V13",5,"V1, V7, V10, V13, V12*V1",172.73315689999998,0.3323333333333333
21,0.9722222222222223,0.9736966152755627,0.9755555555555556,0.9772727272727273,5,"V1, V7, V10, V12, V13",4,"V10*V1, V12*V1, V7*V10, V7*V13",120.58012480000001,0.345
22,0.9833333333333334,0.9859432234432234,0.9863095238095237,0.9863095238095237,5,"V1, V7, V10, V12, V13",5,"V1^2, V7*V10, V10^2, V10*V13, V12*V13",165.29239710000002,0.30766666666666664
23,0.9777777777777779,0.98005698005698,0.9821825396825397,0.9796825396825397,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",147.5872006,0.337
24,0.9774509803921569,0.9711111111111113,0.9694444444444444,0.9757936507936508,5,"V1, V7, V10, V12, V13",5,"V7, V13, V1^2, V10*V1, V12*V13",133.19529599999998,0.322
25,0.9774509803921567,0.9782780182780183,0.9783333333333333,0.9816919191919192,5,"V1, V7, V10, V12, V13",5,"V1^2, V7*V10, V12*V10, V10*V13, V12*V13",157.74367410000002,0.348
26,0.977124183006536,0.9759468635939225,0.9793650793650794,0.9779882154882156,5,"V1, V7, V10, V12, V13",6,"V10, V12, V13, V1^2, V7*V10, V12^2",171.7172481,0.337
27,0.9777777777777779,0.978633809717401,0.9832407407407407,0.9774074074074075,5,"V1, V7, V10, V12, V13",5,"V1^2, V7*V10, V12*V10, V10*V13, V12*V13",160.9710225,0.31433333333333335
28,0.9722222222222221,0.965024175171234,0.9733189033189034,0.9666666666666668,5,"V1, V7, V10, V12, V13",5,"V1, V10, V7*V1, V12*V1, V7*V13",160.6472174,0.3476666666666667
29,0.9777777777777779,0.9768892545363134,0.9758333333333333,0.9818121693121693,5,"V1, V7, V10, V12, V13",5,"V7, V13, V1^2, V10*V1, V12*V13",159.9558101,0.3406666666666667
30,0.9774509803921569,0.9714669025504937,0.9720899470899471,0.977089947089947,5,"V1, V7, V10, V12, V13",6,"V1, V1^2, V7*V10, V10^2, V10*V13, V12*V13",170.53452810000002,0.3243333333333333
