Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.8730428236868517,0.8653275592771887,0.8846978802581414,0.8580856978072345,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",10,"i_ptierra, i_analf^2, i_analf*i_edbasinc, i_ptierra*i_analf, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_noref*i_edbasinc, i_noagua*i_sdsalud, i_ptierra*i_noagua, i_noref*i_nosan",260.2813103,0.30633333333333335
2,0.8788039478086317,0.8730060447974445,0.8905842814642506,0.8677008438662192,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",12,"i_analf, i_noagua, i_analf^2, i_analf*i_edbasinc, i_analf*i_noelec, i_ptierra*i_edbasinc, i_nosan*i_edbasinc, i_noref*i_edbasinc, i_nosan*i_sdsalud, i_noelec*i_sdsalud, i_ptierra^2, i_ptierra*i_noagua",301.1145163,0.31166666666666665
3,0.8755219136835061,0.8710045964374077,0.8890168536542056,0.8652531640891945,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",12,"i_ptierra, i_analf*i_edbasinc, i_ptierra*i_analf, i_analf*i_noagua, i_edbasinc*i_noagua, i_noref*i_edbasinc, i_nosan*i_sdsalud, i_noelec*i_sdsalud, i_ptierra^2, i_ptierra*i_nosan, i_ptierra*i_noagua, i_noref*i_nosan",260.2155974,0.312
4,0.8926982268317163,0.8901814871635546,0.9068240005572112,0.8844448971358547,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav",21,"i_edbasinc, i_sdsalud, i_noelec, i_analf^2, i_analf*i_edbasinc, i_ptierra*i_analf, i_nolav*i_analf, i_asistesc*i_noelec, i_asistesc*i_nolav, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_sdsalud^2, i_nodren*i_ptierra, i_nosan*i_noagua, i_nodren*i_nosan, i_nosan*i_noelec, i_noagua^2, i_nolav*i_noagua, i_nodren*i_noelec",277.6989328,0.33766666666666667
5,0.8718233522917365,0.8635297981095021,0.8798332368411284,0.8586740994460627,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",12,"i_noelec, i_analf^2, i_analf*i_sdsalud, i_ptierra*i_analf, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_noref*i_edbasinc, i_nosan*i_sdsalud, i_ptierra*i_noagua, i_ptierra*i_noelec, i_nosan^2, i_noref*i_noagua",296.9953627,0.32166666666666666
6,0.8939243894279023,0.8921205643661354,0.9070534276536313,0.8893847201718573,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav",23,"i_asistesc, i_edbasinc, i_asistesc*i_analf, i_analf*i_sdsalud, i_ptierra*i_analf, i_nolav*i_analf, i_asistesc*i_ptierra, i_asistesc*i_nosan, i_nodren*i_asistesc, i_asistesc*i_nolav, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_sdsalud^2, i_ptierra*i_nosan, i_nodren*i_ptierra, i_nolav*i_nosan, i_noagua^2, i_nolav*i_noagua, i_nodren^2, i_nodren*i_noelec",261.0751085,0.31533333333333335
7,0.8849330879892939,0.8834127086193888,0.8969641165918596,0.8799680015671125,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav",17,"i_ptierra, i_noelec, i_ptierra*i_analf, i_analf*i_noagua, i_nolav*i_analf, i_asistesc*i_ptierra, i_asistesc*i_nosan, i_asistesc*i_nolav, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_sdsalud^2, i_nosan*i_sdsalud, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nodren*i_nosan, i_noagua*i_noelec, i_nolav*i_noagua",270.3410114,0.331
8,0.8783723653395785,0.8741675452477136,0.8910711298750928,0.8687609653473519,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",12,"i_analf, i_ptierra, i_noagua, i_ptierra*i_analf, i_analf*i_nosan, i_edbasinc*i_sdsalud, i_edbasinc*i_noelec, i_noref*i_edbasinc, i_nosan*i_sdsalud, i_ptierra*i_noelec, i_nosan^2, i_noref*i_nosan",287.5426234,0.33866666666666667
9,0.8910722649715626,0.8854565368232137,0.9021550275056895,0.8780863361617781,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav",22,"i_noelec, i_analf*i_edbasinc, i_ptierra*i_analf, i_analf*i_nosan, i_asistesc*i_sdsalud, i_asistesc*i_nosan, i_asistesc*i_noagua, i_asistesc*i_nolav, i_edbasinc^2, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_nolav*i_edbasinc, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra^2, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nolav*i_ptierra, i_nodren*i_nosan, i_nodren*i_noagua, i_nolav^2",269.7499131,0.3443333333333333
10,0.8722348611575776,0.8651071057699381,0.8807637758340056,0.8618026206104721,8,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_noelec, i_noref",11,"i_noagua, i_analf^2, i_analf*i_sdsalud, i_ptierra*i_analf, i_ptierra*i_edbasinc, i_noref*i_edbasinc, i_ptierra*i_sdsalud, i_nosan*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noelec, i_noagua*i_noelec",260.0962158,0.31566666666666665
