Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
19,0.98,0.978913575,0.982329707,0.977621083,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",29,"dim3, dim5, dim10, dim1^2, dim1*dim4, dim1*dim9, dim10*dim1, dim2^2, dim2*dim7, dim2*dim8, dim10*dim2, dim3^2, dim3*dim4, dim5*dim3, dim4^2, dim5*dim4, dim6*dim4, dim9*dim4, dim5^2, dim6*dim5, dim6^2, dim6*dim9, dim10*dim6, dim7^2, dim7*dim8, dim8^2, dim9^2, dim10*dim9, dim10^2",665.3122717,0.407
2,0.976666667,0.975725758,0.97542328,0.978479668,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",27,"dim5, dim10, dim1^2, dim1*dim7, dim1*dim8, dim1*dim9, dim2^2, dim2*dim4, dim5*dim2, dim2*dim7, dim3^2, dim5*dim3, dim4^2, dim5*dim4, dim4*dim8, dim9*dim4, dim5^2, dim5*dim7, dim5*dim9, dim6^2, dim6*dim8, dim6*dim9, dim7^2, dim8^2, dim10*dim8, dim9^2, dim10^2",202.9777979,0.41
26,0.976666667,0.975635503,0.979210049,0.974604007,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",32,"dim3, dim5, dim10, dim1^2, dim2*dim1, dim1*dim4, dim5*dim1, dim1*dim7, dim2^2, dim2*dim3, dim2*dim7, dim2*dim8, dim2*dim9, dim3^2, dim3*dim4, dim4^2, dim7*dim4, dim9*dim4, dim5^2, dim6*dim5, dim5*dim7, dim5*dim8, dim6^2, dim6*dim8, dim10*dim6, dim7^2, dim10*dim7, dim8^2, dim10*dim8, dim9^2, dim10*dim9, dim10^2",204.0696385,0.415
15,0.973333333,0.972406894,0.974031987,0.973413531,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",28,"dim1, dim3, dim5, dim8, dim1^2, dim2*dim1, dim1*dim9, dim2^2, dim5*dim2, dim2*dim8, dim3^2, dim6*dim3, dim3*dim9, dim4^2, dim4*dim8, dim9*dim4, dim5^2, dim5*dim7, dim5*dim8, dim6^2, dim6*dim7, dim6*dim8, dim10*dim6, dim7^2, dim9*dim7, dim8^2, dim9^2, dim10^2",178.5383503,0.407333333
7,0.97,0.968196803,0.969057239,0.971282699,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",25,"dim2, dim3, dim1^2, dim2*dim1, dim6*dim1, dim1*dim7, dim2^2, dim2*dim4, dim5*dim2, dim6*dim2, dim2*dim8, dim3^2, dim4^2, dim5*dim4, dim6*dim4, dim5^2, dim6*dim5, dim6^2, dim7^2, dim7*dim8, dim9*dim7, dim8^2, dim10*dim8, dim9^2, dim10^2",667.6361949,0.409
10,0.97,0.970533367,0.973076923,0.973383838,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",24,"dim5, dim7, dim1^2, dim3*dim1, dim5*dim1, dim1*dim7, dim1*dim8, dim1*dim9, dim2^2, dim2*dim7, dim2*dim8, dim3^2, dim3*dim4, dim4^2, dim7*dim4, dim4*dim8, dim5^2, dim10*dim5, dim6^2, dim6*dim8, dim7^2, dim8^2, dim9^2, dim10^2",665.4807529,0.414333333
13,0.97,0.970269421,0.969380342,0.975071873,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",28,"dim3, dim7, dim1^2, dim2*dim1, dim3*dim1, dim1*dim7, dim10*dim1, dim2^2, dim2*dim3, dim3^2, dim3*dim7, dim3*dim8, dim4^2, dim7*dim4, dim9*dim4, dim10*dim4, dim5^2, dim5*dim8, dim5*dim9, dim6^2, dim6*dim9, dim7^2, dim7*dim8, dim10*dim7, dim8^2, dim9^2, dim10*dim9, dim10^2",666.4442912,0.417
23,0.97,0.964675625,0.968249653,0.965101505,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",25,"dim1, dim3, dim5, dim8, dim1^2, dim5*dim1, dim1*dim8, dim2^2, dim2*dim4, dim5*dim2, dim6*dim2, dim2*dim9, dim3^2, dim3*dim7, dim4^2, dim5^2, dim5*dim7, dim5*dim8, dim6^2, dim6*dim7, dim7^2, dim9*dim7, dim8^2, dim9^2, dim10^2",210.5232749,0.42
27,0.97,0.968098375,0.97205193,0.967352092,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",23,"dim1^2, dim1*dim4, dim10*dim1, dim2^2, dim2*dim7, dim3^2, dim3*dim4, dim5*dim3, dim3*dim7, dim3*dim9, dim10*dim3, dim4^2, dim5*dim4, dim10*dim4, dim5^2, dim6*dim5, dim6^2, dim6*dim8, dim7^2, dim8^2, dim9^2, dim10*dim9, dim10^2",666.9691847,0.416
29,0.97,0.968799884,0.971173271,0.970306268,10,"dim1, dim2, dim3, dim4, dim5, dim6, dim7, dim8, dim9, dim10",26,"dim5, dim1^2, dim2*dim1, dim3*dim1, dim5*dim1, dim10*dim1, dim2^2, dim2*dim4, dim6*dim2, dim3^2, dim5*dim3, dim3*dim7, dim3*dim8, dim10*dim3, dim4^2, dim4*dim8, dim5^2, dim5*dim9, dim6^2, dim6*dim7, dim7^2, dim7*dim8, dim10*dim7, dim8^2, dim9^2, dim10^2",660.2712639,0.420333333
