Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9941520467836258,0.9912977422875402,0.9950106748352361,0.9890913180386864,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.921634751,0.9767287234042553
2,0.9941520467836256,0.9934104368884963,0.9928989139515455,0.9946150097465887,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.919301112,0.9737367021276596
3,0.9941520467836256,0.9930278276418225,0.9936735778841042,0.9930961663417802,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.868721288,0.9751496010638298
4,0.9941520467836258,0.9920355539295361,0.9913011695906432,0.9939083820662766,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.8676224510000003,0.9749833776595744
5,0.9941520467836258,0.993766375317026,0.9937256335282649,0.9943957115009745,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.937200668,0.9748171542553191
6,0.9912280701754387,0.9891458077649361,0.9880298389070317,0.9906927461752021,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.872146511,0.9755651595744681
7,0.9912280701754386,0.9864685397475179,0.9888497548585267,0.9864197530864198,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.904647214,0.9727393617021277
8,0.9941520467836258,0.9933367140819124,0.9928989139515455,0.9944769330734242,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.886896496,0.976811835106383
9,0.9941520467836258,0.9933053734223325,0.9933053734223325,0.9933053734223325,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.894679816,0.9762300531914894
10,0.9941520467836258,0.9927730275246575,0.9933688387635755,0.9929917386057736,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",2.8935727410000003,0.9758976063829787
