Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9912280701754386,0.9872809663409396,0.9894876079086605,0.9871420002998951,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",2.980585955,0.9764793882978723
2,0.9912280701754383,0.9878266769187712,0.9846143135616818,0.992958089668616,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.6422158189999999,0.9779753989361702
3,0.9912280701754386,0.9874440676720976,0.9853889774942406,0.9914392462638076,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.404370618,0.9783078457446809
4,0.9912280701754386,0.9872108058097689,0.9846734892787523,0.9916991552956465,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",3.0087980400000003,0.9778922872340425
5,0.9912280701754387,0.990589709372329,0.9900435889105477,0.9920286828181564,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.63466209,0.9759807180851063
6,0.9912280701754387,0.9891458077649361,0.9880298389070317,0.9906927461752021,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.40524812099999996,0.9753989361702128
7,0.9912280701754386,0.9864685397475179,0.9888497548585267,0.9864197530864198,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",2.99685872,0.9788065159574468
8,0.9912280701754386,0.9876558452431488,0.9846143135616818,0.9926359107645657,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.681370993,0.9772273936170213
9,0.9912280701754386,0.9904185435224162,0.989991533266387,0.9910961466517023,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.360414699,0.9772273936170213
10,0.9912280701754387,0.9899280773112862,0.9896867941458585,0.9912476122079077,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",3.0648711449999997,0.976811835106383
11,0.9912280701754386,0.9890009671781174,0.9881648565859091,0.9913208948296667,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.713779969,0.9746509308510638
12,0.9912280701754386,0.9907091545736769,0.9909356725146198,0.9918372319688109,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.367300064,0.9763962765957447
13,0.9912280701754386,0.988858887984839,0.9868629908103591,0.9922974875460255,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",3.194810472,0.9759807180851063
14,0.9912280701754386,0.9910263895559259,0.9909302577431232,0.9913363656053713,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, AnchoPico, MasaCorporal",0.58574139,0.9755651595744681
