Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.8933333333333333,0.8904623734003192,0.8942501942501938,0.8969389869389864,11,"V2, V5, V7, V10, V12, V13, V14, V15, V17, V18, V20",43,"V7, V12, V20, V2^2, V5*V2, V2*V15, V2*V17, V2*V18, V2*V20, V5^2, V5*V12, V5*V14, V5*V15, V5*V20, V7^2, V7*V10, V7*V13, V7*V17, V7*V18, V7*V20, V10^2, V12*V10, V10*V14, V10*V15, V20*V10, V12^2, V12*V13, V12*V14, V12*V17, V12*V18, V13^2, V13*V14, V13*V17, V13*V18, V20*V13, V14^2, V15^2, V20*V15, V17^2, V17*V18, V20*V17, V18^2, V20^2",831.5047229270001,0.23246343085106383
2,0.9200000000000002,0.9191417486807175,0.9242328042328041,0.9281822806822806,12,"V1, V2, V5, V6, V7, V9, V12, V13, V14, V15, V16, V20",41,"V5, V12, V14, V15, V16, V1^2, V5*V1, V12*V1, V14*V1, V20*V1, V2^2, V6*V2, V9*V2, V2*V14, V5^2, V5*V12, V5*V15, V6^2, V6*V12, V6*V15, V7^2, V7*V12, V7*V13, V9^2, V9*V12, V9*V13, V9*V20, V12^2, V12*V13, V12*V14, V12*V16, V20*V12, V13^2, V13*V14, V14^2, V14*V15, V20*V14, V15^2, V20*V15, V16^2, V20^2",882.449455636,0.22581449468085107
3,0.8966666666666667,0.8918438646359181,0.8993743293743297,0.8968266374148728,11,"V1, V4, V5, V7, V10, V12, V13, V14, V17, V18, V20",39,"V1, V10, V12, V14, V20, V1^2, V7*V1, V10*V1, V14*V1, V17*V1, V18*V1, V4^2, V10*V4, V12*V4, V4*V13, V20*V4, V5^2, V5*V12, V5*V18, V5*V20, V7^2, V7*V13, V7*V18, V7*V20, V10^2, V10*V13, V12^2, V12*V13, V12*V14, V12*V18, V13^2, V13*V17, V13*V18, V20*V13, V14^2, V14*V17, V17^2, V18^2, V20^2",588.512605614,0.20154587765957446
4,0.9200000000000002,0.9183003682896412,0.9235840548340548,0.9211248011248012,10,"V1, V3, V4, V5, V7, V10, V13, V14, V15, V20",29,"V3, V4, V7, V1^2, V3*V1, V7*V1, V10*V1, V15*V1, V3^2, V7*V3, V3*V15, V3*V20, V4^2, V7*V4, V5^2, V5*V13, V5*V15, V5*V20, V7^2, V7*V13, V10^2, V20*V10, V13^2, V13*V15, V20*V13, V14^2, V20*V14, V15^2, V20^2",848.174026444,0.21284906914893617
5,0.9033333333333335,0.8978073144921084,0.9004754504754503,0.9064699189699189,10,"V1, V4, V5, V7, V10, V11, V13, V14, V15, V20",28,"V10, V11, V14, V15, V1^2, V4*V1, V7*V1, V10*V1, V11*V1, V13*V1, V15*V1, V4^2, V7*V4, V5^2, V5*V14, V7^2, V7*V11, V7*V13, V7*V15, V10^2, V11*V10, V11^2, V11*V15, V11*V20, V13^2, V14^2, V15^2, V20^2",840.146401966,0.21733710106382978
6,0.8866666666666667,0.8830112774148597,0.8862313612313611,0.8948440693293636,10,"V1, V4, V5, V7, V10, V11, V13, V14, V15, V20",28,"V7, V15, V1^2, V4*V1, V7*V1, V11*V1, V15*V1, V4^2, V7*V4, V11*V4, V5^2, V5*V7, V5*V15, V7^2, V7*V11, V7*V20, V10^2, V11*V10, V10*V13, V11^2, V11*V14, V11*V20, V13^2, V14^2, V20*V14, V15^2, V20*V15, V20^2",620.9927358260001,0.18575465425531915
7,0.9100000000000001,0.9067950528243205,0.9121103896103895,0.9162163299663298,11,"V2, V5, V7, V10, V12, V13, V14, V15, V17, V18, V20",45,"V5, V7, V10, V15, V17, V18, V2^2, V7*V2, V2*V15, V2*V20, V5^2, V5*V7, V5*V12, V5*V15, V5*V17, V5*V20, V7^2, V7*V12, V7*V13, V7*V14, V7*V17, V7*V20, V10^2, V10*V14, V10*V15, V12^2, V12*V14, V12*V15, V12*V17, V12*V18, V20*V12, V13^2, V13*V18, V20*V13, V14^2, V14*V15, V14*V17, V15^2, V18*V15, V20*V15, V17^2, V17*V18, V20*V17, V18^2, V20^2",822.561523263,0.24310172872340424
8,0.8866666666666667,0.8806363454418152,0.8823315110815111,0.8966422194363369,11,"V2, V5, V7, V10, V12, V13, V14, V15, V17, V18, V20",42,"V5, V7, V10, V18, V2^2, V2*V15, V2*V18, V2*V20, V5^2, V5*V7, V5*V10, V5*V14, V5*V15, V5*V17, V7^2, V7*V12, V7*V14, V7*V17, V7*V20, V10^2, V10*V13, V10*V14, V12^2, V12*V14, V12*V17, V13^2, V13*V14, V13*V18, V20*V13, V14^2, V14*V15, V14*V17, V14*V18, V15^2, V18*V15, V20*V15, V17^2, V17*V18, V20*V17, V18^2, V20*V18, V20^2",825.886145406,0.21293218085106383
9,0.9266666666666667,0.9211666587114371,0.927018028268028,0.9259730547230547,11,"V2, V5, V7, V10, V12, V13, V14, V15, V17, V18, V20",38,"V7, V10, V18, V20, V2^2, V2*V10, V2*V17, V5^2, V5*V12, V5*V15, V5*V18, V5*V20, V7^2, V7*V10, V7*V12, V7*V13, V7*V20, V10^2, V12*V10, V10*V14, V10*V17, V12^2, V12*V13, V12*V14, V20*V12, V13^2, V13*V15, V20*V13, V14^2, V14*V17, V15^2, V18*V15, V20*V15, V17^2, V17*V18, V20*V17, V18^2, V20^2",633.272072964,0.22174202127659576
10,0.9133333333333334,0.9068161057038877,0.9078296703296704,0.9161598635282845,11,"V2, V5, V7, V10, V12, V13, V14, V15, V17, V18, V20",30,"V17, V18, V20, V2^2, V7*V2, V2*V12, V2*V17, V2*V18, V2*V20, V5^2, V5*V18, V7^2, V7*V10, V7*V12, V7*V17, V7*V20, V10^2, V10*V15, V12^2, V12*V17, V13^2, V20*V13, V14^2, V14*V15, V14*V18, V15^2, V17^2, V18^2, V20*V18, V20^2",847.491596737,0.19672539893617022
