Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9544159544159546,0.9502902491806766,0.9442066124758434,0.9622090325546291,10,"Attribute5, Attribute6, Attribute8, Attribute10, Attribute11, Attribute16, Attribute21, Attribute24, Attribute27, Attribute29",32,"Attribute5, Attribute6, Attribute11, Attribute21, Attribute27, Attribute5*Attribute6, Attribute5*Attribute10, Attribute24*Attribute5, Attribute27*Attribute5, Attribute6^2, Attribute8*Attribute6, Attribute6*Attribute10, Attribute11*Attribute6, Attribute24*Attribute6, Attribute29*Attribute6, Attribute8*Attribute11, Attribute8*Attribute16, Attribute8*Attribute21, Attribute8*Attribute29, Attribute10^2, Attribute11*Attribute10, Attribute24*Attribute10, Attribute11^2, Attribute11*Attribute16, Attribute11*Attribute21, Attribute11*Attribute29, Attribute16*Attribute21, Attribute24*Attribute16, Attribute29*Attribute16, Attribute21^2, Attribute24*Attribute21, Attribute27^2",1583.908051293,0.06615691489361702
2,0.943019943019943,0.9324187165968076,0.9279299347329765,0.9426252022266516,8,"Attribute5, Attribute9, Attribute10, Attribute13, Attribute14, Attribute27, Attribute32, Attribute34",23,"Attribute5, Attribute9, Attribute10, Attribute14, Attribute27, Attribute5^2, Attribute13*Attribute5, Attribute27*Attribute5, Attribute9^2, Attribute13*Attribute9, Attribute27*Attribute9, Attribute10^2, Attribute27*Attribute10, Attribute10*Attribute32, Attribute34*Attribute10, Attribute13^2, Attribute13*Attribute27, Attribute13*Attribute32, Attribute13*Attribute34, Attribute14^2, Attribute14*Attribute32, Attribute27^2, Attribute34^2",3045.101864207,0.07139295212765957
3,0.9487179487179487,0.9393563878134901,0.9309687901800501,0.95656492428758,9,"Attribute5, Attribute8, Attribute9, Attribute10, Attribute14, Attribute15, Attribute17, Attribute27, Attribute34",25,"Attribute5, Attribute9, Attribute10, Attribute14, Attribute15, Attribute27, Attribute15*Attribute5, Attribute27*Attribute5, Attribute8^2, Attribute8*Attribute10, Attribute15*Attribute8, Attribute9*Attribute10, Attribute14*Attribute9, Attribute15*Attribute9, Attribute27*Attribute9, Attribute10^2, Attribute14*Attribute10, Attribute14^2, Attribute34*Attribute14, Attribute15^2, Attribute15*Attribute34, Attribute17^2, Attribute27*Attribute17, Attribute27^2, Attribute34^2",3006.629062922,0.06914893617021277
4,0.9401709401709402,0.9330731945488994,0.9286659051616317,0.940454766100437,7,"Attribute4, Attribute5, Attribute9, Attribute15, Attribute16, Attribute27, Attribute30",21,"Attribute5, Attribute9, Attribute15, Attribute27, Attribute4^2, Attribute5*Attribute4, Attribute15*Attribute4, Attribute4*Attribute30, Attribute15*Attribute5, Attribute5*Attribute16, Attribute27*Attribute5, Attribute15*Attribute9, Attribute27*Attribute9, Attribute30*Attribute9, Attribute15^2, Attribute15*Attribute30, Attribute16^2, Attribute30*Attribute16, Attribute27^2, Attribute27*Attribute30, Attribute30^2",1487.6574455599998,0.08527260638297872
5,0.9515669515669515,0.945032555013602,0.9455169711579966,0.9465961732457779,8,"Attribute5, Attribute6, Attribute7, Attribute8, Attribute15, Attribute17, Attribute24, Attribute34",22,"Attribute5, Attribute7, Attribute8, Attribute34, Attribute5*Attribute6, Attribute5*Attribute7, Attribute15*Attribute5, Attribute6^2, Attribute7*Attribute6, Attribute24*Attribute6, Attribute34*Attribute6, Attribute7*Attribute8, Attribute15*Attribute7, Attribute34*Attribute7, Attribute8^2, Attribute15*Attribute8, Attribute15*Attribute17, Attribute15*Attribute24, Attribute15*Attribute34, Attribute17^2, Attribute24^2, Attribute24*Attribute34",2850.577172839,0.08211436170212766
6,0.9544159544159546,0.9462983632320032,0.9365034207869531,0.9646830969422879,7,"Attribute5, Attribute7, Attribute9, Attribute10, Attribute14, Attribute15, Attribute27",20,"Attribute5, Attribute9, Attribute10, Attribute14, Attribute15, Attribute27, Attribute5*Attribute10, Attribute15*Attribute5, Attribute27*Attribute5, Attribute7*Attribute9, Attribute7*Attribute14, Attribute15*Attribute7, Attribute9^2, Attribute15*Attribute9, Attribute27*Attribute9, Attribute10^2, Attribute15*Attribute10, Attribute14^2, Attribute15^2, Attribute27^2",3126.151267789,0.08826462765957446
7,0.9487179487179487,0.9415457025976481,0.9356736666376257,0.9565599929415569,8,"Attribute3, Attribute4, Attribute5, Attribute9, Attribute10, Attribute27, Attribute29, Attribute32",19,"Attribute3, Attribute5, Attribute10, Attribute27, Attribute29, Attribute32, Attribute4*Attribute3, Attribute9*Attribute3, Attribute4^2, Attribute4*Attribute9, Attribute4*Attribute10, Attribute27*Attribute4, Attribute5*Attribute9, Attribute27*Attribute5, Attribute9^2, Attribute9*Attribute32, Attribute29*Attribute10, Attribute27*Attribute32, Attribute32^2",1545.783539614,0.07513297872340426
8,0.9173789173789174,0.9016243337935219,0.885065718940093,0.9318007181145571,8,"Attribute1, Attribute5, Attribute7, Attribute8, Attribute10, Attribute22, Attribute24, Attribute34",27,"Attribute1, Attribute5, Attribute7, Attribute8, Attribute22, Attribute34, Attribute5*Attribute1, Attribute7*Attribute1, Attribute8*Attribute1, Attribute24*Attribute1, Attribute34*Attribute1, Attribute5^2, Attribute5*Attribute8, Attribute5*Attribute10, Attribute7*Attribute8, Attribute7*Attribute10, Attribute22*Attribute7, Attribute24*Attribute7, Attribute24*Attribute8, Attribute34*Attribute8, Attribute22*Attribute10, Attribute24*Attribute10, Attribute34*Attribute10, Attribute24*Attribute22, Attribute22*Attribute34, Attribute24^2, Attribute34^2",2987.424172688,0.0756316489361702
9,0.9515669515669515,0.9454251054318922,0.9392800855639949,0.9543039588375892,8,"Attribute5, Attribute6, Attribute9, Attribute10, Attribute15, Attribute16, Attribute18, Attribute27",29,"Attribute5, Attribute9, Attribute10, Attribute15, Attribute18, Attribute27, Attribute5^2, Attribute5*Attribute9, Attribute15*Attribute5, Attribute18*Attribute5, Attribute27*Attribute5, Attribute6^2, Attribute6*Attribute10, Attribute15*Attribute6, Attribute18*Attribute6, Attribute15*Attribute9, Attribute9*Attribute16, Attribute18*Attribute9, Attribute10^2, Attribute15*Attribute10, Attribute10*Attribute16, Attribute18*Attribute10, Attribute27*Attribute10, Attribute15^2, Attribute15*Attribute16, Attribute15*Attribute27, Attribute16^2, Attribute18^2, Attribute27^2",3035.2840662,0.08560505319148937
10,0.9259259259259259,0.9056626134518598,0.8908478113662548,0.9338368881201362,7,"Attribute1, Attribute5, Attribute10, Attribute15, Attribute16, Attribute24, Attribute28",21,"Attribute5, Attribute10, Attribute15, Attribute24, Attribute28, Attribute1^2, Attribute5*Attribute1, Attribute10*Attribute1, Attribute16*Attribute1, Attribute5*Attribute10, Attribute10^2, Attribute15*Attribute10, Attribute10*Attribute16, Attribute15^2, Attribute15*Attribute24, Attribute15*Attribute28, Attribute16^2, Attribute24*Attribute16, Attribute28*Attribute16, Attribute24^2, Attribute28^2",1489.892723793,0.0929188829787234
