Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9831460674157304,0.9832454392930272,0.986088817549492,0.983092562867844,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",164.438520079,0.6845910904255319
2,0.9719101123595507,0.9706732455401882,0.9738674870697344,0.9727840199750313,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",125.00895198,0.6962267287234043
3,0.9831460674157306,0.9827933071555016,0.9881878421204264,0.9804842161583736,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",105.508639739,0.6683843085106383
4,0.9775280898876406,0.9803940164534314,0.9808364544319602,0.9827782236490104,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",202.175309536,0.6337267287234043
5,0.9831460674157304,0.977784062827644,0.9814138576779026,0.9798377028714109,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",120.77746884999999,0.6902426861702128
6,0.9775280898876405,0.977720822664643,0.9775191724629927,0.9815397149666815,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",94.34527523599999,0.6697972074468085
7,0.9775280898876406,0.9792801162265803,0.979681647940075,0.9819422150882827,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",165.867603807,0.6912400265957447
8,0.9775280898876405,0.9791455770027448,0.9797351524879616,0.9816479400749065,5,"V1, V7, V10, V12, V13",7,"V13, V7*V1, V10*V1, V7*V10, V7*V12, V10^2, V12*V10",274.892839102,0.617935505319149
9,0.9775280898876406,0.9762015468558761,0.9792342904702457,0.9773943285179241,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",31.320366493,0.695063164893617
10,0.9775280898876405,0.9766076620009206,0.9820165269603474,0.975187265917603,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",166.68630542600002,0.6743683510638298
