Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9766666666666668,0.9755160095152468,0.9795522995522994,0.9753703703703701,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.694710084,0.980219414893617
2,0.9733333333333334,0.9731371813069666,0.9753968253968253,0.9738047138047137,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.58847406,0.9777260638297872
3,0.9733333333333333,0.9719547490304201,0.9743241943241943,0.9720159932659932,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.24643552000000002,0.9782247340425532
4,0.9733333333333334,0.9702399409940803,0.9685185185185187,0.9759259259259256,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.727048899,0.9787234042553191
5,0.9800000000000001,0.9785671917011264,0.9798433048433045,0.9791919191919192,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.49541830800000003,0.9786402925531915
6,0.9733333333333334,0.9716634954163561,0.9726286676286676,0.9746866096866096,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.315010744,0.9783078457446809
7,0.9733333333333334,0.9736175413965349,0.9762385762385758,0.9747474747474746,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.746240446,0.9775598404255319
8,0.9700000000000001,0.9698873741165119,0.9720697358197355,0.9727938727938726,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.516015216,0.9776429521276596
9,0.9766666666666668,0.9763641414314904,0.9758694083694082,0.9794320494320491,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.24884941300000002,0.9786402925531915
10,0.9733333333333334,0.9724850203037455,0.9760113960113959,0.9712962962962962,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.577477048,0.9800531914893617
11,0.9800000000000001,0.9801075936945504,0.9824603174603175,0.9809348385818975,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.39805345200000003,0.9791389627659575
12,0.9766666666666668,0.9745397283298495,0.9746296296296295,0.9784188034188033,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.481390186,0.9779753989361702
13,0.9766666666666668,0.9752073744968485,0.9761648536648536,0.977183372183372,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.7879467840000003,0.9761469414893617
14,0.9800000000000001,0.9797521525220185,0.9816542716542717,0.9802497502497503,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.447000063,0.9781416223404256
15,0.9700000000000001,0.9694429019245442,0.969074074074074,0.9729053694843166,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.269379059,0.9788896276595744
16,0.9700000000000001,0.9697578943095164,0.9712406112406109,0.9709123284123281,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.650957307,0.9774767287234043
17,0.9733333333333334,0.9730934442637341,0.974110399404517,0.9758449883449881,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.601383937,0.9784740691489362
18,0.9733333333333334,0.9750389903251879,0.9762962962962962,0.977305796055796,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.306358934,0.9754820478723404
19,0.9766666666666668,0.9751590062694522,0.9791245791245791,0.9750789950789951,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.733532696,0.9778922872340425
20,0.9700000000000001,0.9668859042125968,0.9728282828282827,0.9646801346801345,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.49342240299999995,0.9778922872340425
21,0.9733333333333334,0.9714271526300722,0.9758936896436895,0.9695833333333332,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.35791713,0.9793051861702128
22,0.9800000000000001,0.9797105871867376,0.9805092592592592,0.9815782828282826,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.602021159,0.980967420212766
23,0.9733333333333334,0.9744997137051467,0.9773303412274001,0.9755508706979293,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.62418577,0.9756482712765957
24,0.9766666666666668,0.9734357707343723,0.9732808857808857,0.9773541273541271,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.352531605,0.9773936170212766
25,0.9733333333333334,0.9729762110580525,0.9722138972138972,0.9770655270655271,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.796413535,0.9780585106382979
26,0.9833333333333334,0.9826674417698783,0.9843382543382543,0.9827633477633476,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.537458447,0.9771442819148937
27,0.97,0.9672616137405695,0.969412208162208,0.9677104377104373,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.704356299,0.976811835106383
28,0.9733333333333334,0.9716324833709823,0.9720940170940169,0.9742929292929292,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.5901395150000001,0.9778091755319149
29,0.9733333333333334,0.9731825793288753,0.9734102934102932,0.9757912457912458,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",2.81072156,0.9763962765957447
30,0.9766666666666668,0.9782051638156094,0.9807018907018905,0.9787851037851037,3,"V1, V2, V3",5,"V2, V3, V1^2, V2^2, V3^2",0.457987287,0.9780585106382979
