Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9458689458689458,0.9405521030185617,0.940330458737121,0.9450591513857957,8,"Attribute5, Attribute6, Attribute7, Attribute8, Attribute16, Attribute18, Attribute21, Attribute24",29,"Attribute5, Attribute7, Attribute16, Attribute18, Attribute21, Attribute5^2, Attribute5*Attribute7, Attribute5*Attribute16, Attribute18*Attribute5, Attribute5*Attribute21, Attribute24*Attribute5, Attribute6^2, Attribute8*Attribute6, Attribute6*Attribute16, Attribute6*Attribute21, Attribute24*Attribute6, Attribute7*Attribute8, Attribute18*Attribute7, Attribute7*Attribute21, Attribute8^2, Attribute8*Attribute16, Attribute18*Attribute8, Attribute8*Attribute21, Attribute18*Attribute16, Attribute16*Attribute21, Attribute24*Attribute16, Attribute18^2, Attribute24*Attribute21, Attribute24^2",1571.769765167,0.08053523936170212
2,0.9601139601139602,0.9540005309976562,0.94949274095764,0.9619125548191001,8,"Attribute5, Attribute8, Attribute9, Attribute13, Attribute15, Attribute16, Attribute27, Attribute29",21,"Attribute5, Attribute8, Attribute13, Attribute29, Attribute5^2, Attribute13*Attribute5, Attribute5*Attribute16, Attribute27*Attribute5, Attribute8^2, Attribute8*Attribute9, Attribute13*Attribute8, Attribute15*Attribute8, Attribute9^2, Attribute13*Attribute9, Attribute9*Attribute16, Attribute15*Attribute13, Attribute13*Attribute16, Attribute15^2, Attribute16^2, Attribute27*Attribute16, Attribute27^2",2673.493607327,0.07654587765957446
3,0.9487179487179487,0.9405320354318208,0.9311720436650759,0.9563310789434908,8,"Attribute5, Attribute6, Attribute8, Attribute9, Attribute15, Attribute24, Attribute27, Attribute30",24,"Attribute5, Attribute6, Attribute8, Attribute24, Attribute30, Attribute5^2, Attribute5*Attribute8, Attribute15*Attribute5, Attribute27*Attribute5, Attribute5*Attribute30, Attribute6^2, Attribute30*Attribute6, Attribute8^2, Attribute8*Attribute9, Attribute8*Attribute30, Attribute15*Attribute9, Attribute24*Attribute9, Attribute27*Attribute9, Attribute15*Attribute24, Attribute15*Attribute30, Attribute24^2, Attribute24*Attribute30, Attribute27^2, Attribute30^2",2857.558250089,0.07247340425531915
4,0.9515669515669515,0.9457745726233983,0.9395214195427869,0.9567671495063053,8,"Attribute5, Attribute6, Attribute8, Attribute10, Attribute14, Attribute15, Attribute16, Attribute24",27,"Attribute5, Attribute8, Attribute10, Attribute14, Attribute15, Attribute16, Attribute24, Attribute5^2, Attribute5*Attribute6, Attribute5*Attribute10, Attribute5*Attribute14, Attribute5*Attribute16, Attribute6^2, Attribute8*Attribute6, Attribute6*Attribute10, Attribute14*Attribute6, Attribute15*Attribute6, Attribute8^2, Attribute15*Attribute8, Attribute24*Attribute8, Attribute10^2, Attribute10*Attribute16, Attribute24*Attribute10, Attribute14^2, Attribute15*Attribute24, Attribute16^2, Attribute24^2",1578.0773727219998,0.07147606382978723
5,0.9544159544159545,0.9484091621277022,0.9394332809993946,0.9613860037926288,10,"Attribute4, Attribute5, Attribute7, Attribute13, Attribute16, Attribute21, Attribute24, Attribute27, Attribute29, Attribute34",38,"Attribute5, Attribute16, Attribute21, Attribute24, Attribute29, Attribute34, Attribute4^2, Attribute4*Attribute7, Attribute4*Attribute21, Attribute24*Attribute4, Attribute27*Attribute4, Attribute4*Attribute29, Attribute34*Attribute4, Attribute5^2, Attribute13*Attribute5, Attribute5*Attribute16, Attribute27*Attribute5, Attribute5*Attribute29, Attribute13*Attribute7, Attribute7*Attribute21, Attribute27*Attribute7, Attribute7*Attribute29, Attribute34*Attribute7, Attribute13^2, Attribute13*Attribute16, Attribute13*Attribute29, Attribute16^2, Attribute16*Attribute21, Attribute24*Attribute16, Attribute27*Attribute16, Attribute29*Attribute16, Attribute21^2, Attribute24*Attribute21, Attribute29*Attribute21, Attribute24*Attribute29, Attribute27^2, Attribute27*Attribute29, Attribute27*Attribute34",2769.094616387,0.0616688829787234
6,0.943019943019943,0.9340856355874804,0.9271190712021532,0.9483089256949656,7,"Attribute5, Attribute6, Attribute8, Attribute14, Attribute20, Attribute29, Attribute30",18,"Attribute5, Attribute8, Attribute29, Attribute30, Attribute5*Attribute6, Attribute5*Attribute8, Attribute5*Attribute14, Attribute5*Attribute20, Attribute6^2, Attribute8*Attribute6, Attribute14*Attribute6, Attribute30*Attribute6, Attribute8^2, Attribute8*Attribute14, Attribute20*Attribute8, Attribute8*Attribute29, Attribute8*Attribute30, Attribute30^2",2804.2484347209997,0.09773936170212766
7,0.9658119658119659,0.9611098730933488,0.9604794326714616,0.9664898491821567,7,"Attribute5, Attribute8, Attribute9, Attribute15, Attribute16, Attribute24, Attribute27",16,"Attribute5, Attribute8, Attribute9, Attribute24, Attribute5*Attribute9, Attribute15*Attribute5, Attribute27*Attribute5, Attribute8^2, Attribute8*Attribute9, Attribute15*Attribute8, Attribute15*Attribute9, Attribute27*Attribute9, Attribute15^2, Attribute15*Attribute24, Attribute16^2, Attribute27^2",1473.613637423,0.08976063829787234
8,0.945868945868946,0.9305053682818952,0.9164035305179807,0.9575744433968237,9,"Attribute5, Attribute6, Attribute7, Attribute8, Attribute10, Attribute16, Attribute21, Attribute27, Attribute29",23,"Attribute5, Attribute7, Attribute8, Attribute10, Attribute16, Attribute29, Attribute5^2, Attribute5*Attribute6, Attribute27*Attribute5, Attribute6^2, Attribute8*Attribute6, Attribute6*Attribute10, Attribute6*Attribute16, Attribute29*Attribute6, Attribute7*Attribute10, Attribute8*Attribute10, Attribute8*Attribute16, Attribute8*Attribute29, Attribute10^2, Attribute16^2, Attribute16*Attribute21, Attribute29*Attribute16, Attribute27^2",2697.9237442490003,0.07106050531914894
9,0.9373219373219375,0.9299785775363552,0.9260399425161596,0.936997179671836,6,"Attribute3, Attribute5, Attribute13, Attribute16, Attribute24, Attribute27",13,"Attribute3, Attribute5, Attribute13, Attribute3^2, Attribute5*Attribute3, Attribute24*Attribute3, Attribute5^2, Attribute13*Attribute5, Attribute27*Attribute5, Attribute13^2, Attribute16^2, Attribute24^2, Attribute27^2",2440.892564919,0.12732712765957446
10,0.9373219373219372,0.9266988344761227,0.9144212368037155,0.9509517143137833,7,"Attribute3, Attribute5, Attribute8, Attribute9, Attribute13, Attribute22, Attribute27",18,"Attribute5, Attribute8, Attribute13, Attribute22, Attribute5*Attribute3, Attribute9*Attribute3, Attribute13*Attribute3, Attribute27*Attribute3, Attribute5^2, Attribute22*Attribute5, Attribute27*Attribute5, Attribute8^2, Attribute13*Attribute8, Attribute27*Attribute8, Attribute13*Attribute9, Attribute13^2, Attribute22^2, Attribute27^2",1491.478684164,0.08743351063829788
