"Semilla","LDA_MASS","KFDA","QDA","SVM_Radial","SVM_Poly2","SVM_Poly3","GNLPDA"
1,0.894230769230769,0.894230769230769,NA,0.942307692307692,0.884615384615385,0.826923076923077,0.923076923076923
2,0.817307692307692,0.884615384615385,NA,0.903846153846154,0.894230769230769,0.846153846153846,0.961538461538462
3,0.865384615384615,0.894230769230769,NA,0.951923076923077,0.884615384615385,0.884615384615385,0.942307692307692
4,0.875,0.826923076923077,NA,0.932692307692308,0.923076923076923,0.817307692307692,0.913461538461538
5,0.855769230769231,0.865384615384615,NA,0.942307692307692,0.951923076923077,0.826923076923077,0.903846153846154
6,0.865384615384615,0.826923076923077,NA,0.913461538461538,0.894230769230769,0.836538461538462,0.951923076923077
7,0.855769230769231,0.894230769230769,NA,0.961538461538462,0.942307692307692,0.875,0.961538461538462
8,0.855769230769231,0.846153846153846,NA,0.903846153846154,0.913461538461538,0.798076923076923,0.932692307692308
9,0.807692307692308,0.817307692307692,NA,0.923076923076923,0.913461538461538,0.778846153846154,0.942307692307692
10,0.884615384615385,0.903846153846154,NA,0.971153846153846,0.942307692307692,0.855769230769231,0.951923076923077
11,0.817307692307692,0.826923076923077,NA,0.923076923076923,0.903846153846154,0.807692307692308,0.942307692307692
12,0.836538461538462,0.836538461538462,NA,0.884615384615385,0.855769230769231,0.807692307692308,0.865384615384615
13,0.846153846153846,0.865384615384615,NA,0.971153846153846,0.971153846153846,0.826923076923077,0.961538461538462
14,0.817307692307692,0.817307692307692,NA,0.951923076923077,0.884615384615385,0.817307692307692,0.894230769230769
15,0.826923076923077,0.817307692307692,NA,0.942307692307692,0.913461538461538,0.807692307692308,0.951923076923077
16,0.826923076923077,0.836538461538462,NA,0.894230769230769,0.884615384615385,0.807692307692308,0.903846153846154
17,0.865384615384615,0.894230769230769,NA,0.951923076923077,0.903846153846154,0.836538461538462,0.942307692307692
18,0.855769230769231,0.894230769230769,NA,0.961538461538462,0.923076923076923,0.836538461538462,0.951923076923077
19,0.836538461538462,0.836538461538462,NA,0.942307692307692,0.913461538461538,0.798076923076923,0.942307692307692
20,0.884615384615385,0.894230769230769,NA,0.923076923076923,0.894230769230769,0.846153846153846,0.913461538461538
21,0.846153846153846,0.846153846153846,NA,0.923076923076923,0.903846153846154,0.817307692307692,0.855769230769231
22,0.875,0.875,NA,0.932692307692308,0.932692307692308,0.855769230769231,0.903846153846154
23,0.788461538461538,0.817307692307692,NA,0.913461538461538,0.855769230769231,0.788461538461538,0.913461538461538
24,0.894230769230769,0.875,NA,0.961538461538462,0.932692307692308,0.817307692307692,0.913461538461538
25,0.817307692307692,0.846153846153846,NA,0.942307692307692,0.884615384615385,0.807692307692308,0.932692307692308
26,0.865384615384615,0.846153846153846,NA,0.971153846153846,0.932692307692308,0.884615384615385,0.932692307692308
27,0.855769230769231,0.903846153846154,NA,1,0.951923076923077,0.875,0.980769230769231
28,0.865384615384615,0.865384615384615,NA,0.951923076923077,0.826923076923077,0.769230769230769,0.855769230769231
29,0.855769230769231,0.826923076923077,NA,0.903846153846154,0.913461538461538,0.788461538461538,0.932692307692308
30,0.836538461538462,0.846153846153846,NA,0.942307692307692,0.894230769230769,0.836538461538462,0.923076923076923
