Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.7747395833333334,0.7558388369999018,0.7639941662802456,0.7556895520577158,5,"glucose, pressure, mass, pedigree, age",10,"glucose, pressure, glucose*pedigree, glucose*age, pressure^2, pressure*pedigree, pressure*age, mass*age, pedigree*age, age^2",267.360353608,0.714095744680851
2,0.7773437500000002,0.7534126533375913,0.7559134084015767,0.7531053409214742,5,"glucose, pressure, mass, pedigree, age",11,"mass, age, glucose*mass, glucose*pedigree, pressure^2, pressure*mass, pressure*pedigree, pressure*age, mass*age, pedigree^2, age^2",185.703917606,0.6972240691489362
3,0.7812500000000001,0.7575983248621717,0.7622837470456074,0.7583644348798592,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",115.645446271,0.6516788563829787
4,0.7747395833333334,0.7538759155367385,0.7578845511068963,0.7549655215617258,5,"glucose, pressure, mass, pedigree, age",12,"glucose, age, glucose*mass, glucose*pedigree, glucose*age, pressure^2, pressure*mass, pressure*pedigree, pressure*age, mass*age, pedigree*age, age^2",228.71063481599998,0.7043716755319149
5,0.7760416666666667,0.7501426842012305,0.7525102448852964,0.7503593984758091,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",191.81050307499999,0.6857546542553191
6,0.7734375000000001,0.7510471106552118,0.7564852672776977,0.7503809836946074,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",109.79693496600001,0.719248670212766
7,0.7851562500000001,0.7610309850002266,0.7628574410817126,0.7633001788456364,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",200.69492183999998,0.694813829787234
8,0.7760416666666667,0.7535271297692632,0.7569998520890082,0.7545232446114645,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",184.56217479100002,0.6859208776595744
9,0.77734375,0.7508490656696022,0.7586533806770999,0.7513116661843364,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",122.863789815,0.7086934840425532
10,0.7864583333333335,0.7615285783933613,0.7648155222924067,0.7626059816422901,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",189.280768403,0.7049534574468085
11,0.7786458333333334,0.7580131472190964,0.7647045704045605,0.7587211257709815,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",239.943622029,0.680435505319149
12,0.7812500000000001,0.757088753361993,0.7610369369111176,0.7581008230726212,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",109.60407471799999,0.7080285904255319
13,0.7786458333333333,0.7571849943659636,0.7631516907618275,0.7584342458584814,5,"glucose, pressure, mass, pedigree, age",9,"mass, age, glucose*mass, pressure^2, pressure*mass, pressure*age, mass*age, pedigree*age, age^2",233.209607746,0.6712101063829787
