Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9789103690685413,0.9772294308569464,0.9733799756921462,0.9829945173475491,10,"texture1, smoothness1, compactness1, concavity1, radius2, concave_points2, radius3, smoothness3, concave_points3, symmetry3",20,"radius3, concave_points3, symmetry3, smoothness1*texture1, texture1*compactness1, concavity1*texture1, radius2*texture1, texture1*radius3, smoothness3*texture1, concave_points3*texture1, smoothness1*compactness1, concavity1^2, concavity1*concave_points2, concavity1*radius3, radius2*concave_points2, radius3*concave_points2, symmetry3*concave_points2, radius3^2, radius3*symmetry3, symmetry3^2",1481.583580904,0.07405252659574468
2,0.9736379613356766,0.971880731112351,0.9681913547597049,0.9781716556321127,11,"texture1, symmetry1, fractal_dimension1, radius2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, fractal_dimension3",23,"radius3, smoothness3, texture1^2, radius2*texture1, texture3*texture1, compactness3*texture1, symmetry1*radius2, symmetry1*texture3, symmetry1*concave_points3, smoothness3*fractal_dimension1, fractal_dimension1*concave_points3, radius2*radius3, smoothness3*radius2, compactness3*radius2, radius3^2, radius3*concavity3, smoothness3*texture3, texture3*concavity3, texture3*concave_points3, smoothness3^2, compactness3*concavity3, compactness3*concave_points3, concavity3^2",1816.83883544,0.07463430851063829
3,0.9789103690685413,0.9776465643404755,0.9751986371144247,0.9811751445362662,7,"texture1, compactness1, symmetry1, radius3, texture3, smoothness3, concavity3",9,"radius3, texture1^2, texture3*texture1, texture1*concavity3, symmetry1*texture3, radius3^2, texture3*radius3, texture3^2, smoothness3*texture3",1516.46042924,0.09375
4,0.977152899824253,0.9747272752821725,0.9715625816596912,0.9795904023801908,7,"texture1, symmetry1, compactness2, radius3, texture3, smoothness3, concavity3",8,"texture1, radius3, smoothness3, symmetry1*texture1, texture3*texture1, texture1*concavity3, radius3^2, smoothness3*texture3",1409.529049417,0.0912566489361702
5,0.9753954305799649,0.972933886359626,0.9677554262462502,0.9799482328831056,11,"texture1, symmetry1, radius2, smoothness2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, fractal_dimension3",29,"texture1, radius3, smoothness3, compactness3, fractal_dimension3, symmetry1*texture1, smoothness2*texture1, smoothness3*texture1, concave_points3*texture1, symmetry1^2, symmetry1*texture3, smoothness3*symmetry1, symmetry1*concavity3, radius2*radius3, radius2*texture3, radius2*concavity3, smoothness2*texture3, smoothness2*smoothness3, radius3^2, texture3*radius3, smoothness3*radius3, radius3*concavity3, compactness3*texture3, texture3*concavity3, texture3*concave_points3, smoothness3*compactness3, smoothness3*concavity3, smoothness3*fractal_dimension3, compactness3*concave_points3",1798.9816723459999,0.07272273936170212
6,0.9736379613356766,0.9703385828746244,0.9659802724798789,0.9773245559354773,13,"texture1, smoothness1, compactness1, concavity1, radius2, symmetry2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",36,"compactness1, concavity1, radius2, radius3, texture1^2, symmetry2*texture1, smoothness3*texture1, compactness3*texture1, texture1*concavity3, texture1*symmetry3, concavity1*smoothness1, smoothness3*smoothness1, compactness3*smoothness1, smoothness1*concavity3, radius2*compactness1, compactness3*compactness1, concavity1*radius2, concavity1*radius3, concavity1*texture3, concavity1*smoothness3, concavity1*concavity3, smoothness3*radius2, symmetry2*radius3, symmetry2*concave_points3, symmetry2*symmetry3, radius3^2, compactness3*texture3, texture3*concave_points3, texture3*symmetry3, smoothness3^2, smoothness3*compactness3, smoothness3*symmetry3, compactness3^2, compactness3*concavity3, compactness3*concave_points3, concavity3^2",1582.8315885329998,0.06923204787234043
7,0.9859402460456943,0.9843266884259819,0.9803749802817132,0.9895368484233202,12,"texture1, smoothness1, compactness1, concavity1, radius2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",32,"texture1, radius3, smoothness3, smoothness1*texture1, radius2*texture1, texture3*texture1, texture1*concavity3, concave_points3*texture1, smoothness1*compactness1, smoothness1*radius3, smoothness3*smoothness1, compactness3*smoothness1, smoothness1*concave_points3, concavity1*radius3, concavity1*texture3, concavity1*concavity3, radius2*radius3, radius2*texture3, radius2*concave_points3, radius3^2, texture3*radius3, smoothness3*radius3, compactness3*radius3, radius3*concavity3, radius3*symmetry3, smoothness3*texture3, texture3*concavity3, smoothness3^2, smoothness3*compactness3, smoothness3*concave_points3, compactness3*concavity3, concave_points3^2",1481.4124195939999,0.06349734042553191
8,0.9789103690685412,0.9771070940257849,0.9727922287582415,0.9829964962084177,12,"radius1, texture1, compactness1, concave_points1, radius2, radius3, texture3, smoothness3, concavity3, concave_points3, symmetry3, fractal_dimension3",35,"concave_points1, radius3, smoothness3, concavity3, symmetry3, texture1*radius1, concave_points1*radius1, texture3*radius1, symmetry3*radius1, radius1*fractal_dimension3, texture1^2, texture1*concave_points1, radius2*texture1, texture1*radius3, texture3*texture1, texture1*concavity3, concave_points3*texture1, concave_points1*compactness1, radius3*compactness1, concavity3*compactness1, smoothness3*concave_points1, concave_points1*symmetry3, concave_points1*fractal_dimension3, radius2^2, radius2*radius3, radius2*concave_points3, radius3^2, texture3*radius3, radius3*symmetry3, smoothness3*texture3, smoothness3*concave_points3, smoothness3*fractal_dimension3, symmetry3*concavity3, concave_points3^2, fractal_dimension3^2",1841.7240086000002,0.07022938829787234
9,0.9806678383128296,0.9784235524877264,0.9754770993236198,0.9824322569442648,7,"texture1, symmetry1, compactness2, radius3, texture3, smoothness3, concavity3",10,"texture1, radius3, symmetry1*texture1, compactness2*texture1, texture3*texture1, compactness2^2, radius3^2, radius3*concavity3, smoothness3*texture3, texture3*concavity3",1494.068248291,0.09366688829787234
10,0.9789103690685413,0.9755757789776096,0.9688196689075426,0.9845376542048335,12,"texture1, smoothness1, compactness1, concavity1, radius2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",29,"texture1, smoothness1, radius2, radius3, texture3, concavity3, concavity1*texture1, compactness3*texture1, smoothness1^2, concavity1*smoothness1, radius2*smoothness1, compactness1^2, radius2*compactness1, concavity3*compactness1, concavity1^2, concavity1*radius2, concavity1*smoothness3, concavity1*compactness3, concavity1*concavity3, concavity1*concave_points3, radius2*radius3, radius2*texture3, radius3^2, smoothness3*radius3, compactness3*radius3, radius3*symmetry3, smoothness3*texture3, texture3*concave_points3, symmetry3*concavity3",1445.163804116,0.08485704787234043
