Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.945868946,0.940552103,0.940330459,0.945059151,8,"X5, X6, X7, X8, X16, X18, X21, X24",29,"V5, V7, V16, V18, V21, V5^2, V5*V7, V5*V16, V18*V5, V5*V21, V24*V5, V6^2, V8*V6, V6*V16, V6*V21, V24*V6, V7*V8, V18*V7, V7*V21, V8^2, V8*V16, V18*V8, V8*V21, V18*V16, V16*V21, V24*V16, V18^2, V24*V21, V24^2",1571.769765,0.080535239
2,0.96011396,0.954000531,0.949492741,0.961912555,8,"X5, X8, X9, X13, X15, X16, X27, X29",21,"V5, V8, V13, V29, V5^2, V13*V5, V5*V16, V27*V5, V8^2, V8*V9, V13*V8, V15*V8, V9^2, V13*V9, V9*V16, V15*V13, V13*V16, V15^2, V16^2, V27*V16, V27^2",2673.493607,0.076545878
3,0.948717949,0.940532035,0.931172044,0.956331079,8,"X5, X6, X8, X9, X15, X24, X27, X30",24,"V5, V6, V8, V24, V30, V5^2, V5*V8, V15*V5, V27*V5, V5*V30, V6^2, V30*V6, V8^2, V8*V9, V8*V30, V15*V9, V24*V9, V27*V9, V15*V24, V15*V30, V24^2, V24*V30, V27^2, V30^2",2857.55825,0.072473404
4,0.951566952,0.945774573,0.93952142,0.95676715,8,"X5, X6, X8, X10, X14, X15, X16, X24",27,"V5, V8, V10, V14, V15, V16, V24, V5^2, V5*V6, V5*V10, V5*V14, V5*V16, V6^2, V8*V6, V6*V10, V14*V6, V15*V6, V8^2, V15*V8, V24*V8, V10^2, V10*V16, V24*V10, V14^2, V15*V24, V16^2, V24^2",1578.077373,0.071476064
5,0.954415954,0.948409162,0.939433281,0.961386004,10,"X4, X5, X7, X13, X16, X21, X24, X27, X29, X34",38,"V5, V16, V21, V24, V29, V34, V4^2, V4*V7, V4*V21, V24*V4, V27*V4, V4*V29, V34*V4, V5^2, V13*V5, V5*V16, V27*V5, V5*V29, V13*V7, V7*V21, V27*V7, V7*V29, V34*V7, V13^2, V13*V16, V13*V29, V16^2, V16*V21, V24*V16, V27*V16, V29*V16, V21^2, V24*V21, V29*V21, V24*V29, V27^2, V27*V29, V27*V34",2769.094616,0.061668883
6,0.943019943,0.934085636,0.927119071,0.948308926,7,"X5, X6, X8, X14, X20, X29, X30",18,"V5, V8, V29, V30, V5*V6, V5*V8, V5*V14, V5*V20, V6^2, V8*V6, V14*V6, V30*V6, V8^2, V8*V14, V20*V8, V8*V29, V8*V30, V30^2",2804.248435,0.097739362
7,0.965811966,0.961109873,0.960479433,0.966489849,7,"X5, X8, X9, X15, X16, X24, X27",16,"V5, V8, V9, V24, V5*V9, V15*V5, V27*V5, V8^2, V8*V9, V15*V8, V15*V9, V27*V9, V15^2, V15*V24, V16^2, V27^2",1473.613637,0.089760638
8,0.945868946,0.930505368,0.916403531,0.957574443,9,"X5, X6, X7, X8, X10, X16, X21, X27, X29",23,"V5, V7, V8, V10, V16, V29, V5^2, V5*V6, V27*V5, V6^2, V8*V6, V6*V10, V6*V16, V29*V6, V7*V10, V8*V10, V8*V16, V8*V29, V10^2, V16^2, V16*V21, V29*V16, V27^2",2697.923744,0.071060505
9,0.937321937,0.929978578,0.926039943,0.93699718,6,"X3, X5, X13, X16, X24, X27",13,"V3, V5, V13, V3^2, V5*V3, V24*V3, V5^2, V13*V5, V27*V5, V13^2, V16^2, V24^2, V27^2",2440.892565,0.127327128
10,0.937321937,0.926698834,0.914421237,0.950951714,7,"X3, X5, X8, X9, X13, X22, X27",18,"V5, V8, V13, V22, V5*V3, V9*V3, V13*V3, V27*V3, V5^2, V22*V5, V27*V5, V8^2, V13*V8, V27*V8, V13*V9, V13^2, V22^2, V27^2",1491.478684,0.087433511
