"Dataset","Metodo_Prueba","Estadistico_Chi2","Grados_Libertad","P_Valor","Significativo"
"1.2.penguins","Friedman rank sum test",31.3911,4,3e-06,"Si"
"1.3.pimadiabetes","Friedman rank sum test",15.1286,4,0.004442,"Si"
"1.4.wines","Friedman rank sum test",68.9141,4,0,"Si"
"3.1.Cebolla3D","Friedman rank sum test",62.9716,4,0,"Si"
"3.2.Cebolla10D","Friedman rank sum test",89.3542,4,0,"Si"
"3.3.Cebolla20D","Friedman rank sum test",113.5395,4,0,"Si"
"4.1.CancerWisconsin","Friedman rank sum test",44.8975,4,0,"Si"
"4.2.Ionosphere","Friedman rank sum test",50.6135,4,0,"Si"
"5.4.indicadores2015","Friedman rank sum test",103.159,4,0,"Si"
"5.5.indicadores2020","Friedman rank sum test",103.8108,4,0,"Si"
