"Dataset","Metodo_Prueba","Estadistico_Chi2","Grados_Libertad","P_Valor","Significativo"
"1.2.penguins","Friedman rank sum test",30.9465,4,3e-06,"Si"
"1.3.pimadiabetes","Friedman rank sum test",33.2776,4,1e-06,"Si"
"1.4.wines","Friedman rank sum test",64.397,4,0,"Si"
"3.1.Cebolla3D","Friedman rank sum test",61.5083,4,0,"Si"
"3.2.Cebolla10D","Friedman rank sum test",84.9082,4,0,"Si"
"3.3.Cebolla20D","Friedman rank sum test",113.6361,4,0,"Si"
"4.1.CancerWisconsin","Friedman rank sum test",44.2222,4,0,"Si"
"4.2.Ionosphere","Friedman rank sum test",63.8988,4,0,"Si"
"5.4.indicadores2015","Friedman rank sum test",98.5867,4,0,"Si"
"5.5.indicadores2020","Friedman rank sum test",100.88,4,0,"Si"
