"Dataset","Metodo_Prueba","Estadistico_Chi2","Grados_Libertad","P_Valor","Significativo"
"1.2.penguins","Friedman rank sum test",31.391,4,"0.001","Si"
"1.3.pimadiabetes","Friedman rank sum test",15.129,4,"0.004","Si"
"1.4.wines","Friedman rank sum test",68.914,4,"0.001","Si"
"3.1.Cebolla3D","Friedman rank sum test",62.972,4,"0.001","Si"
"3.2.Cebolla10D","Friedman rank sum test",89.354,4,"0.001","Si"
"3.3.Cebolla20D","Friedman rank sum test",113.539,4,"0.001","Si"
"4.1.CancerWisconsin","Friedman rank sum test",44.898,4,"0.001","Si"
"4.2.Ionosphere","Friedman rank sum test",50.614,4,"0.001","Si"
"5.4.indicadores2015","Friedman rank sum test",103.159,4,"0.001","Si"
"5.5.indicadores2020","Friedman rank sum test",103.811,4,"0.001","Si"
