"Comparativa","1.2.penguins","1.3.pimadiabetes","1.4.wines","3.1.Cebolla3D","3.2.Cebolla10D","3.3.Cebolla20D","4.1.CancerWisconsin","4.2.Ionosphere","5.4.indicadores2015","5.5.indicadores2020"
"KFDA - GNLPDA","0.002","0.003","0.45","0.996","0.001","0.001","0.246","0.016","0.102","0.102"
"SVM_POLY2 - GNLPDA","0.988","0.102","0.001","0.001","1","0.784","0.006","0.068","0.001","0.001"
"SVM_POLY2 - KFDA","0.001","0.761","0.001","0.001","0.001","0.011","0.001","0.988","0.001","0.001"
"SVM_POLY3 - GNLPDA","1","0.178","0.021","0.001","0.999","0.035","0.329","0.846","0.001","0.001"
"SVM_POLY3 - KFDA","0.004","0.609","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"SVM_POLY3 - SVM_POLY2","0.966","0.999","0.761","0.687","0.999","0.001","0.556","0.003","0.228","0.635"
"SVM_RBF - GNLPDA","0.988","0.084","0.001","0.001","0.001","0.001","0.502","0.001","0.001","0.002"
"SVM_RBF - KFDA","0.001","0.805","0.001","0.001","0.938","0.124","0.992","0.266","0.001","0.001"
"SVM_RBF - SVM_POLY2","1","1","0.999","0.948","0.001","0.001","0.001","0.093","0.582","0.084"
"SVM_RBF - SVM_POLY3","0.966","0.998","0.609","0.979","0.001","0.001","0.005","0.001","0.973","0.784"
