"Comparativa","1.2.penguins","1.3.pimadiabetes","1.4.wines","3.1.Cebolla3D","3.2.Cebolla10D","3.3.Cebolla20D","4.1.CancerWisconsin","4.2.Ionosphere","5.4.indicadores2015","5.5.indicadores2020"
"KFDA - GNLPDA","0.007","0.004","0.783","1","0.001","0.002","0.093","0.048","0.001","0.001"
"LDA - GNLPDA","0.693","0.993","0.001","0.001","0.001","0.001","0.109","0.013","0.358","0.872"
"LDA - KFDA","0.001","0.037","0.001","0.001","0.001","0.001","1","0.001","0.018","0.002"
"QDA - GNLPDA","0.693","0.001","0.001","0.178","0.99","0.963","0.943",NA,"0.018","0.016"
"QDA - KFDA","0.001","0.243","0.001","0.243","0.001","0.001","0.634",NA,"0.358","0.553"
"QDA - LDA","1","0.001","1","0.178","0.001","0.001","0.674",NA,"0.896","0.376"
"SVM_POLY2 - GNLPDA","0.998","0.135","0.001","0.001","1","0.872","0.049","0.163","0.001","0.001"
"SVM_POLY2 - KFDA","0.001","0.907","0.001","0.001","0.001","0.126","0.001","0.997","0.001","0.001"
"SVM_POLY2 - LDA","0.943","0.492","1","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"SVM_POLY2 - QDA","0.943","0.01","0.996","0.001","0.992","0.289","0.001",NA,"0.001","0.001"
"SVM_POLY3 - GNLPDA","1","0.289","0.021","0.028","1","0.053","0.614","0.918","0.053","0.003"
"SVM_POLY3 - KFDA","0.008","0.73","0.001","0.018","0.001","0.001","0.001","0.002","0.001","0.001"
"SVM_POLY3 - LDA","0.674","0.73","0.73","0.001","0.001","0.289","0.001","0.203","0.001","0.001"
"SVM_POLY3 - QDA","0.674","0.003","0.573","0.001","0.999","0.433","0.086",NA,"0.001","0.001"
"SVM_POLY3 - SVM_POLY2","0.998","1","0.917","0.951","1","0.001","0.872","0.009","0.73","0.951"
"SVM_RBF - GNLPDA","0.999","0.145","0.001","0.007","0.001","0.001","0.413","0.001","0.013","0.049"
"SVM_RBF - KFDA","0.001","0.896","0.001","0.004","0.998","0.594","0.992","0.492","0.001","0.001"
"SVM_RBF - LDA","0.935","0.512","1","0.001","0.001","0.001","0.995","0.001","0.001","0.001"
"SVM_RBF - QDA","0.935","0.009","1","0.001","0.001","0.001","0.963",NA,"0.001","0.001"
"SVM_RBF - SVM_POLY2","1","1","1","0.997","0.001","0.001","0.001","0.218","0.935","0.512"
"SVM_RBF - SVM_POLY3","0.998","1","0.816","1","0.001","0.001","0.004","0.001","0.999","0.981"
