"Dataset","W_Shapiro","P_Shapiro","Normalidad","W_Mauchly","P_Mauchly","Esfericidad"
"penguins",0.9371,0,"No",0.043,0,"No"
"pimadiabetes",0.9854,0.0577,"Si",0.283,0.029,"No"
"wines",0.9792,0.0087,"No",0.027,0,"No"
"Cebolla3D",0.9707,8e-04,"No",0.013,0,"No"
"Cebolla10D",0.9828,0.026,"No",0.156,3e-04,"No"
"Cebolla20D",0.9892,0.191,"Si",0.047,0,"No"
"CancerWisconsin",0.9919,0.4088,"Si",0.406,0.239,"Si"
"Ionosphere",0.99,0.3671,"Si",0.59,0.43,"Si"
"indicadores2015",0.9902,0.2512,"Si",0.008,0,"No"
"indicadores2020",0.9807,0.0136,"No",0.065,0,"No"
