"Dataset","W_Shapiro","P_Shapiro","Normalidad","W_Mauchly","P_Mauchly","Esfericidad"
"penguins",0.9423,0,"No",0.059,0,"No"
"pimadiabetes",0.9814,0.0166,"No",0.239,0.008,"No"
"wines",0.9817,0.0183,"No",0.03,0,"No"
"Cebolla3D",0.9683,4e-04,"No",0.008,0,"No"
"Cebolla10D",0.984,0.0376,"No",0.169,5e-04,"No"
"Cebolla20D",0.9899,0.2305,"Si",0.038,0,"No"
"CancerWisconsin",0.993,0.5469,"Si",0.401,0.226,"Si"
"Ionosphere",0.9873,0.1867,"Si",0.434,0.068,"Si"
"indicadores2015",0.9954,0.8547,"Si",0.013,0,"No"
"indicadores2020",0.9898,0.2294,"Si",0.077,0,"No"
