"Bloque","Accuracy","Metodo"
1,0.756521739130435,"GNLPDA"
2,0.739130434782609,"GNLPDA"
3,0.739130434782609,"GNLPDA"
4,0.782608695652174,"GNLPDA"
5,0.795652173913043,"GNLPDA"
6,0.765217391304348,"GNLPDA"
7,0.769565217391304,"GNLPDA"
8,0.765217391304348,"GNLPDA"
9,0.747826086956522,"GNLPDA"
10,0.78695652173913,"GNLPDA"
11,0.747826086956522,"GNLPDA"
12,0.717391304347826,"GNLPDA"
13,0.765217391304348,"GNLPDA"
14,0.778260869565217,"GNLPDA"
15,0.795652173913043,"GNLPDA"
16,0.734782608695652,"GNLPDA"
17,0.760869565217391,"GNLPDA"
18,0.765217391304348,"GNLPDA"
19,0.756521739130435,"GNLPDA"
20,0.734782608695652,"GNLPDA"
21,0.791304347826087,"GNLPDA"
22,0.778260869565217,"GNLPDA"
23,0.778260869565217,"GNLPDA"
24,0.765217391304348,"GNLPDA"
25,0.743478260869565,"GNLPDA"
26,0.747826086956522,"GNLPDA"
27,0.778260869565217,"GNLPDA"
28,0.81304347826087,"GNLPDA"
29,0.760869565217391,"GNLPDA"
30,0.773913043478261,"GNLPDA"
31,0.791304347826087,"GNLPDA"
32,0.765217391304348,"GNLPDA"
33,0.765217391304348,"GNLPDA"
1,0.782608695652174,"KFDA"
2,0.747826086956522,"KFDA"
3,0.726086956521739,"KFDA"
4,0.739130434782609,"KFDA"
5,0.769565217391304,"KFDA"
6,0.765217391304348,"KFDA"
7,0.765217391304348,"KFDA"
8,0.743478260869565,"KFDA"
9,0.734782608695652,"KFDA"
10,0.756521739130435,"KFDA"
11,0.773913043478261,"KFDA"
12,0.721739130434783,"KFDA"
13,0.739130434782609,"KFDA"
14,0.765217391304348,"KFDA"
15,0.808695652173913,"KFDA"
16,0.747826086956522,"KFDA"
17,0.739130434782609,"KFDA"
18,0.765217391304348,"KFDA"
19,0.71304347826087,"KFDA"
20,0.721739130434783,"KFDA"
21,0.743478260869565,"KFDA"
22,0.765217391304348,"KFDA"
23,0.804347826086957,"KFDA"
24,0.756521739130435,"KFDA"
25,0.726086956521739,"KFDA"
26,0.743478260869565,"KFDA"
27,0.747826086956522,"KFDA"
28,0.769565217391304,"KFDA"
29,0.747826086956522,"KFDA"
30,0.760869565217391,"KFDA"
31,0.739130434782609,"KFDA"
32,0.747826086956522,"KFDA"
33,0.747826086956522,"KFDA"
1,0.747826086956522,"SVM_RBF"
2,0.739130434782609,"SVM_RBF"
3,0.730434782608696,"SVM_RBF"
4,0.743478260869565,"SVM_RBF"
5,0.782608695652174,"SVM_RBF"
6,0.747826086956522,"SVM_RBF"
7,0.760869565217391,"SVM_RBF"
