"Bloque","Accuracy","Metodo"
1,1,"GNLPDA"
2,0.962264150943396,"GNLPDA"
3,0.830188679245283,"GNLPDA"
4,0.924528301886792,"GNLPDA"
5,0.905660377358491,"GNLPDA"
6,1,"GNLPDA"
7,0.981132075471698,"GNLPDA"
8,0.886792452830189,"GNLPDA"
9,0.905660377358491,"GNLPDA"
10,0.943396226415094,"GNLPDA"
11,0.962264150943396,"GNLPDA"
12,0.962264150943396,"GNLPDA"
13,0.943396226415094,"GNLPDA"
14,0.924528301886792,"GNLPDA"
15,0.943396226415094,"GNLPDA"
16,0.943396226415094,"GNLPDA"
17,0.962264150943396,"GNLPDA"
18,0.905660377358491,"GNLPDA"
19,0.943396226415094,"GNLPDA"
20,0.943396226415094,"GNLPDA"
21,0.981132075471698,"GNLPDA"
22,0.962264150943396,"GNLPDA"
23,0.943396226415094,"GNLPDA"
24,0.962264150943396,"GNLPDA"
25,0.981132075471698,"GNLPDA"
26,0.849056603773585,"GNLPDA"
27,0.962264150943396,"GNLPDA"
28,0.886792452830189,"GNLPDA"
29,0.943396226415094,"GNLPDA"
30,0.924528301886792,"GNLPDA"
31,0.924528301886792,"GNLPDA"
32,0.943396226415094,"GNLPDA"
33,0.962264150943396,"GNLPDA"
1,0.924528301886792,"KFDA"
2,0.924528301886792,"KFDA"
3,0.924528301886792,"KFDA"
4,0.924528301886792,"KFDA"
5,0.886792452830189,"KFDA"
6,0.886792452830189,"KFDA"
7,0.943396226415094,"KFDA"
8,0.981132075471698,"KFDA"
9,0.905660377358491,"KFDA"
10,0.830188679245283,"KFDA"
11,0.905660377358491,"KFDA"
12,0.943396226415094,"KFDA"
13,0.943396226415094,"KFDA"
14,0.981132075471698,"KFDA"
15,0.943396226415094,"KFDA"
16,0.886792452830189,"KFDA"
17,0.905660377358491,"KFDA"
18,0.962264150943396,"KFDA"
19,0.867924528301887,"KFDA"
20,0.905660377358491,"KFDA"
21,0.905660377358491,"KFDA"
22,0.905660377358491,"KFDA"
23,0.943396226415094,"KFDA"
24,0.886792452830189,"KFDA"
25,0.962264150943396,"KFDA"
26,0.924528301886792,"KFDA"
27,0.924528301886792,"KFDA"
28,0.924528301886792,"KFDA"
29,0.943396226415094,"KFDA"
30,0.962264150943396,"KFDA"
31,0.867924528301887,"KFDA"
32,0.886792452830189,"KFDA"
33,0.905660377358491,"KFDA"
1,1,"SVM_RBF"
2,0.962264150943396,"SVM_RBF"
3,1,"SVM_RBF"
4,1,"SVM_RBF"
5,1,"SVM_RBF"
6,1,"SVM_RBF"
7,0.962264150943396,"SVM_RBF"
8,0.981132075471698,"SVM_RBF"
9,0.981132075471698,"SVM_RBF"
10,1,"SVM_RBF"
11,0.981132075471698,"SVM_RBF"
12,1,"SVM_RBF"
13,0.962264150943396,"SVM_RBF"
14,0.962264150943396,"SVM_RBF"
15,0.962264150943396,"SVM_RBF"
16,1,"SVM_RBF"
17,0.981132075471698,"SVM_RBF"
18,1,"SVM_RBF"
19,0.962264150943396,"SVM_RBF"
20,0.962264150943396,"SVM_RBF"
21,0.962264150943396,"SVM_RBF"
22,0.962264150943396,"SVM_RBF"
23,0.981132075471698,"SVM_RBF"
24,0.981132075471698,"SVM_RBF"
25,1,"SVM_RBF"
26,0.981132075471698,"SVM_RBF"
27,1,"SVM_RBF"
28,0.962264150943396,"SVM_RBF"
29,1,"SVM_RBF"
30,0.981132075471698,"SVM_RBF"
31,1,"SVM_RBF"
32,1,"SVM_RBF"
33,0.981132075471698,"SVM_RBF"
1,1,"SVM_POLY2"
2,1,"SVM_POLY2"
3,0.981132075471698,"SVM_POLY2"
4,1,"SVM_POLY2"
5,1,"SVM_POLY2"
6,0.981132075471698,"SVM_POLY2"
7,0.981132075471698,"SVM_POLY2"
8,1,"SVM_POLY2"
9,0.943396226415094,"SVM_POLY2"
10,0.962264150943396,"SVM_POLY2"
11,0.981132075471698,"SVM_POLY2"
12,1,"SVM_POLY2"
13,0.962264150943396,"SVM_POLY2"
14,0.981132075471698,"SVM_POLY2"
15,1,"SVM_POLY2"
16,0.981132075471698,"SVM_POLY2"
17,0.981132075471698,"SVM_POLY2"
18,0.981132075471698,"SVM_POLY2"
19,0.924528301886792,"SVM_POLY2"
20,1,"SVM_POLY2"
21,0.962264150943396,"SVM_POLY2"
22,0.981132075471698,"SVM_POLY2"
23,0.981132075471698,"SVM_POLY2"
24,0.981132075471698,"SVM_POLY2"
25,1,"SVM_POLY2"
26,0.943396226415094,"SVM_POLY2"
27,0.962264150943396,"SVM_POLY2"
28,0.962264150943396,"SVM_POLY2"
29,1,"SVM_POLY2"
30,0.981132075471698,"SVM_POLY2"
31,1,"SVM_POLY2"
32,0.962264150943396,"SVM_POLY2"
33,0.943396226415094,"SVM_POLY2"
1,1,"SVM_POLY3"
2,0.962264150943396,"SVM_POLY3"
3,0.981132075471698,"SVM_POLY3"
4,1,"SVM_POLY3"
5,0.981132075471698,"SVM_POLY3"
6,1,"SVM_POLY3"
7,0.943396226415094,"SVM_POLY3"
8,1,"SVM_POLY3"
9,0.943396226415094,"SVM_POLY3"
10,0.981132075471698,"SVM_POLY3"
11,0.981132075471698,"SVM_POLY3"
12,1,"SVM_POLY3"
13,0.924528301886792,"SVM_POLY3"
14,0.981132075471698,"SVM_POLY3"
15,0.943396226415094,"SVM_POLY3"
16,0.981132075471698,"SVM_POLY3"
17,0.981132075471698,"SVM_POLY3"
18,0.981132075471698,"SVM_POLY3"
19,0.924528301886792,"SVM_POLY3"
20,0.981132075471698,"SVM_POLY3"
21,0.962264150943396,"SVM_POLY3"
22,0.981132075471698,"SVM_POLY3"
23,0.981132075471698,"SVM_POLY3"
24,0.981132075471698,"SVM_POLY3"
25,1,"SVM_POLY3"
26,0.943396226415094,"SVM_POLY3"
27,0.943396226415094,"SVM_POLY3"
28,0.962264150943396,"SVM_POLY3"
29,1,"SVM_POLY3"
30,0.962264150943396,"SVM_POLY3"
31,1,"SVM_POLY3"
32,0.981132075471698,"SVM_POLY3"
33,0.981132075471698,"SVM_POLY3"
1,1,"LDA"
2,0.981132075471698,"LDA"
3,0.962264150943396,"LDA"
4,0.962264150943396,"LDA"
5,0.981132075471698,"LDA"
6,1,"LDA"
7,0.943396226415094,"LDA"
8,0.981132075471698,"LDA"
9,1,"LDA"
10,0.981132075471698,"LDA"
11,0.981132075471698,"LDA"
12,1,"LDA"
13,0.962264150943396,"LDA"
14,1,"LDA"
15,0.981132075471698,"LDA"
16,0.981132075471698,"LDA"
17,0.981132075471698,"LDA"
18,1,"LDA"
19,0.981132075471698,"LDA"
20,0.981132075471698,"LDA"
21,0.981132075471698,"LDA"
22,0.981132075471698,"LDA"
23,1,"LDA"
24,0.981132075471698,"LDA"
25,1,"LDA"
26,0.962264150943396,"LDA"
27,0.981132075471698,"LDA"
28,0.981132075471698,"LDA"
29,1,"LDA"
30,0.981132075471698,"LDA"
31,0.981132075471698,"LDA"
32,0.981132075471698,"LDA"
33,0.981132075471698,"LDA"
1,1,"QDA"
2,1,"QDA"
3,0.962264150943396,"QDA"
4,0.981132075471698,"QDA"
5,0.981132075471698,"QDA"
6,0.981132075471698,"QDA"
7,1,"QDA"
8,1,"QDA"
9,0.962264150943396,"QDA"
10,0.981132075471698,"QDA"
11,0.981132075471698,"QDA"
12,1,"QDA"
13,1,"QDA"
14,0.962264150943396,"QDA"
15,0.981132075471698,"QDA"
16,1,"QDA"
17,0.981132075471698,"QDA"
18,1,"QDA"
19,1,"QDA"
20,0.962264150943396,"QDA"
21,0.981132075471698,"QDA"
22,0.962264150943396,"QDA"
23,0.981132075471698,"QDA"
24,0.981132075471698,"QDA"
25,0.981132075471698,"QDA"
26,1,"QDA"
27,1,"QDA"
28,0.981132075471698,"QDA"
29,1,"QDA"
30,1,"QDA"
31,1,"QDA"
32,0.981132075471698,"QDA"
33,0.962264150943396,"QDA"
