"Bloque","Metodo","Accuracy","Macro_F1"
1,"GNLPDA",0.966666666666667,0.966583124477861
2,"GNLPDA",0.955555555555556,0.955357142857143
3,"GNLPDA",0.977777777777778,0.977753058954394
4,"GNLPDA",0.933333333333333,0.932994971130564
5,"GNLPDA",0.955555555555556,0.955357142857143
6,"GNLPDA",0.966666666666667,0.96664844177146
7,"GNLPDA",0.944444444444444,0.94438104780725
8,"GNLPDA",0.944444444444444,0.944055944055944
9,"GNLPDA",0.977777777777778,0.977753058954394
10,"GNLPDA",0.988888888888889,0.988885801611559
12,"GNLPDA",0.944444444444444,0.944277183070671
13,"GNLPDA",0.988888888888889,0.988885801611559
14,"GNLPDA",0.977777777777778,0.977753058954394
15,"GNLPDA",0.988888888888889,0.988885801611559
16,"GNLPDA",0.966666666666667,0.96664844177146
17,"GNLPDA",0.955555555555556,0.955357142857143
18,"GNLPDA",0.944444444444444,0.94438104780725
19,"GNLPDA",0.944444444444444,0.944384143682799
20,"GNLPDA",0.944444444444444,0.944277183070671
21,"GNLPDA",0.966666666666667,0.96664844177146
22,"GNLPDA",0.966666666666667,0.966583124477861
23,"GNLPDA",0.944444444444444,0.94438104780725
24,"GNLPDA",0.977777777777778,0.977753058954394
25,"GNLPDA",0.977777777777778,0.977753058954394
26,"GNLPDA",0.977777777777778,0.977753058954394
27,"GNLPDA",0.977777777777778,0.977774690500448
28,"GNLPDA",0.977777777777778,0.977774690500448
29,"GNLPDA",0.977777777777778,0.977774690500448
30,"GNLPDA",0.977777777777778,0.977777777777778
31,"GNLPDA",0.988888888888889,0.988885801611559
1,"KFDA",0.944444444444444,0.944384143682799
2,"KFDA",0.966666666666667,0.96664844177146
3,"KFDA",0.977777777777778,0.977774690500448
4,"KFDA",0.933333333333333,0.933249791144528
5,"KFDA",0.944444444444444,0.944277183070671
6,"KFDA",0.966666666666667,0.966647823629169
7,"KFDA",0.977777777777778,0.977774690500448
8,"KFDA",0.966666666666667,0.96664844177146
9,"KFDA",0.977777777777778,0.977753058954394
10,"KFDA",0.966666666666667,0.966657404834676
12,"KFDA",0.955555555555556,0.955147694969719
13,"KFDA",0.977777777777778,0.977753058954394
14,"KFDA",0.955555555555556,0.955147694969719
15,"KFDA",0.988888888888889,0.988885801611559
16,"KFDA",0.955555555555556,0.955530836732172
17,"KFDA",0.977777777777778,0.977774690500448
18,"KFDA",0.966666666666667,0.96664844177146
19,"KFDA",0.911111111111111,0.910838103215599
20,"KFDA",0.966666666666667,0.966475255472199
21,"KFDA",0.988888888888889,0.988885801611559
22,"KFDA",0.944444444444444,0.944277183070671
23,"KFDA",0.944444444444444,0.944305207463102
24,"KFDA",0.988888888888889,0.988885801611559
25,"KFDA",0.977777777777778,0.977753058954394
26,"KFDA",0.955555555555556,0.955153570755606
27,"KFDA",0.966666666666667,0.966647823629169
28,"KFDA",0.966666666666667,0.966583124477861
29,"KFDA",0.966666666666667,0.96664844177146
30,"KFDA",0.977777777777778,0.977777777777778
31,"KFDA",0.988888888888889,0.988885801611559
1,"SVM_RBF",0.966666666666667,0.966647823629169
2,"SVM_RBF",0.988888888888889,0.988885801611559
3,"SVM_RBF",0.988888888888889,0.988885801611559
4,"SVM_RBF",0.988888888888889,0.988885801611559
5,"SVM_RBF",0.966666666666667,0.966647823629169
6,"SVM_RBF",0.988888888888889,0.988885801611559
7,"SVM_RBF",0.988888888888889,0.988885801611559
8,"SVM_RBF",0.977777777777778,0.977777777777778
9,"SVM_RBF",0.988888888888889,0.988885801611559
10,"SVM_RBF",0.988888888888889,0.988885801611559
12,"SVM_RBF",0.988888888888889,0.988885801611559
13,"SVM_RBF",0.988888888888889,0.988885801611559
14,"SVM_RBF",0.988888888888889,0.988885801611559
15,"SVM_RBF",1,1
16,"SVM_RBF",1,1
17,"SVM_RBF",0.977777777777778,0.977774690500448
18,"SVM_RBF",0.966666666666667,0.96664844177146
19,"SVM_RBF",0.977777777777778,0.977774690500448
20,"SVM_RBF",1,1
21,"SVM_RBF",1,1
22,"SVM_RBF",0.977777777777778,0.977774690500448
23,"SVM_RBF",0.955555555555556,0.955506117908787
24,"SVM_RBF",1,1
25,"SVM_RBF",0.988888888888889,0.988885801611559
26,"SVM_RBF",0.944444444444444,0.944049571714963
27,"SVM_RBF",0.977777777777778,0.977777777777778
28,"SVM_RBF",1,1
29,"SVM_RBF",1,1
30,"SVM_RBF",0.966666666666667,0.966657404834676
31,"SVM_RBF",0.988888888888889,0.988885801611559
1,"SVM_POLY2",0.977777777777778,0.977774690500448
2,"SVM_POLY2",0.977777777777778,0.977774690500448
3,"SVM_POLY2",1,1
4,"SVM_POLY2",0.966666666666667,0.96664844177146
5,"SVM_POLY2",0.988888888888889,0.988885801611559
6,"SVM_POLY2",1,1
7,"SVM_POLY2",1,1
8,"SVM_POLY2",0.966666666666667,0.966238971304517
9,"SVM_POLY2",0.988888888888889,0.988885801611559
10,"SVM_POLY2",1,1
12,"SVM_POLY2",0.977777777777778,0.977576785377803
13,"SVM_POLY2",1,1
14,"SVM_POLY2",0.988888888888889,0.988885801611559
15,"SVM_POLY2",1,1
16,"SVM_POLY2",0.988888888888889,0.988885801611559
17,"SVM_POLY2",0.977777777777778,0.977774690500448
18,"SVM_POLY2",1,1
19,"SVM_POLY2",0.988888888888889,0.988885801611559
20,"SVM_POLY2",1,1
21,"SVM_POLY2",1,1
22,"SVM_POLY2",0.966666666666667,0.966583124477861
23,"SVM_POLY2",0.944444444444444,0.94438104780725
24,"SVM_POLY2",1,1
25,"SVM_POLY2",0.988888888888889,0.988885801611559
26,"SVM_POLY2",0.988888888888889,0.988885801611559
27,"SVM_POLY2",0.988888888888889,0.988885801611559
28,"SVM_POLY2",0.988888888888889,0.988885801611559
29,"SVM_POLY2",0.988888888888889,0.988885801611559
30,"SVM_POLY2",1,1
31,"SVM_POLY2",0.988888888888889,0.988885801611559
1,"SVM_POLY3",0.955555555555556,0.955530836732172
2,"SVM_POLY3",0.988888888888889,0.988885801611559
3,"SVM_POLY3",1,1
4,"SVM_POLY3",0.944444444444444,0.94438104780725
5,"SVM_POLY3",0.977777777777778,0.977774690500448
6,"SVM_POLY3",0.988888888888889,0.988885801611559
7,"SVM_POLY3",0.977777777777778,0.977774690500448
8,"SVM_POLY3",0.944444444444444,0.943776106934002
9,"SVM_POLY3",1,1
10,"SVM_POLY3",0.977777777777778,0.977753058954394
12,"SVM_POLY3",0.977777777777778,0.977774690500448
13,"SVM_POLY3",0.977777777777778,0.977753058954394
14,"SVM_POLY3",0.977777777777778,0.977753058954394
15,"SVM_POLY3",1,1
16,"SVM_POLY3",0.955555555555556,0.955357142857143
17,"SVM_POLY3",0.977777777777778,0.977774690500448
18,"SVM_POLY3",0.955555555555556,0.955530836732172
19,"SVM_POLY3",0.977777777777778,0.977774690500448
20,"SVM_POLY3",0.977777777777778,0.977774690500448
21,"SVM_POLY3",1,1
22,"SVM_POLY3",0.977777777777778,0.977774690500448
23,"SVM_POLY3",0.966666666666667,0.966583124477861
24,"SVM_POLY3",1,1
25,"SVM_POLY3",0.988888888888889,0.988885801611559
26,"SVM_POLY3",0.988888888888889,0.988885801611559
27,"SVM_POLY3",1,1
28,"SVM_POLY3",1,1
29,"SVM_POLY3",0.988888888888889,0.988885801611559
30,"SVM_POLY3",0.988888888888889,0.988885801611559
31,"SVM_POLY3",1,1
1,"LDA",0.266666666666667,0.258606339372321
2,"LDA",0.377777777777778,0.375198412698413
3,"LDA",0.355555555555556,0.342173094243839
4,"LDA",0.377777777777778,0.345543345543346
5,"LDA",0.322222222222222,0.295056075916117
6,"LDA",0.322222222222222,0.303943952010028
7,"LDA",0.433333333333333,0.383871498273121
8,"LDA",0.411111111111111,0.408080808080808
9,"LDA",0.366666666666667,0.334188034188034
10,"LDA",0.3,0.281371087928465
12,"LDA",0.4,0.400821215769813
13,"LDA",0.388888888888889,0.387134371005339
14,"LDA",0.344444444444444,0.297101449275362
15,"LDA",0.411111111111111,0.404884004884005
16,"LDA",0.322222222222222,0.311050061050061
17,"LDA",0.388888888888889,0.382126348228043
18,"LDA",0.355555555555556,0.332693872805488
19,"LDA",0.311111111111111,0.293882588000235
20,"LDA",0.355555555555556,0.345502645502646
21,"LDA",0.433333333333333,0.43262599469496
22,"LDA",0.366666666666667,0.355112483125171
23,"LDA",0.366666666666667,0.346085693536674
24,"LDA",0.333333333333333,0.338992812961711
25,"LDA",0.377777777777778,0.338437597261127
26,"LDA",0.377777777777778,0.368110242364655
27,"LDA",0.411111111111111,0.387407407407407
28,"LDA",0.422222222222222,0.411695575666164
29,"LDA",0.322222222222222,0.275
30,"LDA",0.388888888888889,0.372854352965361
31,"LDA",0.4,0.416206579250057
1,"QDA",0.844444444444444,0.844551282051282
2,"QDA",0.933333333333333,0.933249791144528
3,"QDA",0.877777777777778,0.879230302181122
4,"QDA",0.888888888888889,0.889739383998542
5,"QDA",0.922222222222222,0.922931976634634
6,"QDA",0.911111111111111,0.911674347158218
7,"QDA",0.966666666666667,0.966657404834676
8,"QDA",0.911111111111111,0.911654471921213
9,"QDA",0.9,0.900358682723759
10,"QDA",0.888888888888889,0.886769457513746
12,"QDA",0.955555555555556,0.955488760865733
13,"QDA",0.922222222222222,0.922164609971256
14,"QDA",0.888888888888889,0.890824784418674
15,"QDA",0.933333333333333,0.933249791144528
16,"QDA",0.933333333333333,0.933667037449017
17,"QDA",0.933333333333333,0.934025460388086
18,"QDA",0.988888888888889,0.988885801611559
19,"QDA",0.955555555555556,0.955486283132474
20,"QDA",0.955555555555556,0.955734617640703
21,"QDA",0.911111111111111,0.911674347158218
22,"QDA",0.911111111111111,0.911336233954586
23,"QDA",0.911111111111111,0.911336233954586
24,"QDA",0.944444444444444,0.944277183070671
25,"QDA",0.944444444444444,0.945101568129038
26,"QDA",0.911111111111111,0.911012235817575
27,"QDA",0.933333333333333,0.93341249741016
28,"QDA",0.955555555555556,0.955486283132474
29,"QDA",0.977777777777778,0.977774690500448
30,"QDA",0.888888888888889,0.88841618151963
31,"QDA",0.866666666666667,0.866572125192815
