"Bloque","Accuracy","Metodo"
1,0.866666666666667,"GNLPDA"
2,0.911111111111111,"GNLPDA"
3,0.9,"GNLPDA"
4,0.9,"GNLPDA"
5,0.911111111111111,"GNLPDA"
6,0.877777777777778,"GNLPDA"
7,0.888888888888889,"GNLPDA"
8,0.922222222222222,"GNLPDA"
9,0.9,"GNLPDA"
10,0.911111111111111,"GNLPDA"
11,0.855555555555556,"GNLPDA"
12,0.833333333333333,"GNLPDA"
13,0.877777777777778,"GNLPDA"
14,0.944444444444444,"GNLPDA"
15,0.922222222222222,"GNLPDA"
16,0.911111111111111,"GNLPDA"
17,0.966666666666667,"GNLPDA"
18,0.888888888888889,"GNLPDA"
19,0.933333333333333,"GNLPDA"
20,0.944444444444444,"GNLPDA"
21,0.888888888888889,"GNLPDA"
22,0.888888888888889,"GNLPDA"
23,0.9,"GNLPDA"
24,0.911111111111111,"GNLPDA"
25,0.911111111111111,"GNLPDA"
26,0.822222222222222,"GNLPDA"
27,0.9,"GNLPDA"
28,0.866666666666667,"GNLPDA"
29,0.866666666666667,"GNLPDA"
30,0.922222222222222,"GNLPDA"
31,0.822222222222222,"GNLPDA"
32,0.877777777777778,"GNLPDA"
33,0.988888888888889,"GNLPDA"
1,0.977777777777778,"KFDA"
2,1,"KFDA"
3,0.966666666666667,"KFDA"
4,0.955555555555556,"KFDA"
5,0.966666666666667,"KFDA"
6,1,"KFDA"
7,0.977777777777778,"KFDA"
8,0.955555555555556,"KFDA"
9,0.977777777777778,"KFDA"
10,0.944444444444444,"KFDA"
11,0.955555555555556,"KFDA"
12,0.977777777777778,"KFDA"
13,0.955555555555556,"KFDA"
14,0.955555555555556,"KFDA"
15,0.977777777777778,"KFDA"
16,0.966666666666667,"KFDA"
17,0.977777777777778,"KFDA"
18,0.955555555555556,"KFDA"
19,0.922222222222222,"KFDA"
20,1,"KFDA"
21,0.988888888888889,"KFDA"
22,0.977777777777778,"KFDA"
23,0.977777777777778,"KFDA"
24,0.966666666666667,"KFDA"
25,0.955555555555556,"KFDA"
26,1,"KFDA"
27,0.977777777777778,"KFDA"
28,0.977777777777778,"KFDA"
29,0.944444444444444,"KFDA"
30,0.988888888888889,"KFDA"
31,0.977777777777778,"KFDA"
32,0.977777777777778,"KFDA"
33,0.966666666666667,"KFDA"
1,0.933333333333333,"SVM_RBF"
2,0.966666666666667,"SVM_RBF"
3,0.966666666666667,"SVM_RBF"
4,0.933333333333333,"SVM_RBF"
5,0.988888888888889,"SVM_RBF"
6,0.966666666666667,"SVM_RBF"
7,0.966666666666667,"SVM_RBF"
8,0.966666666666667,"SVM_RBF"
9,0.955555555555556,"SVM_RBF"
10,0.966666666666667,"SVM_RBF"
11,0.955555555555556,"SVM_RBF"
12,0.966666666666667,"SVM_RBF"
13,1,"SVM_RBF"
14,0.955555555555556,"SVM_RBF"
15,0.955555555555556,"SVM_RBF"
16,0.966666666666667,"SVM_RBF"
17,0.977777777777778,"SVM_RBF"
18,0.966666666666667,"SVM_RBF"
19,0.933333333333333,"SVM_RBF"
20,0.966666666666667,"SVM_RBF"
21,0.955555555555556,"SVM_RBF"
22,0.955555555555556,"SVM_RBF"
23,0.966666666666667,"SVM_RBF"
24,0.955555555555556,"SVM_RBF"
25,0.977777777777778,"SVM_RBF"
26,0.966666666666667,"SVM_RBF"
27,0.966666666666667,"SVM_RBF"
28,0.955555555555556,"SVM_RBF"
29,0.977777777777778,"SVM_RBF"
30,0.977777777777778,"SVM_RBF"
31,0.966666666666667,"SVM_RBF"
32,0.966666666666667,"SVM_RBF"
33,0.922222222222222,"SVM_RBF"
1,0.933333333333333,"SVM_POLY2"
2,0.9,"SVM_POLY2"
3,0.9,"SVM_POLY2"
4,0.866666666666667,"SVM_POLY2"
5,0.9,"SVM_POLY2"
6,0.911111111111111,"SVM_POLY2"
7,0.888888888888889,"SVM_POLY2"
8,0.888888888888889,"SVM_POLY2"
9,0.9,"SVM_POLY2"
10,0.9,"SVM_POLY2"
11,0.944444444444444,"SVM_POLY2"
12,0.933333333333333,"SVM_POLY2"
13,0.933333333333333,"SVM_POLY2"
14,0.866666666666667,"SVM_POLY2"
15,0.933333333333333,"SVM_POLY2"
16,0.888888888888889,"SVM_POLY2"
17,0.855555555555556,"SVM_POLY2"
18,0.922222222222222,"SVM_POLY2"
19,0.866666666666667,"SVM_POLY2"
20,0.944444444444444,"SVM_POLY2"
21,0.911111111111111,"SVM_POLY2"
22,0.811111111111111,"SVM_POLY2"
23,0.877777777777778,"SVM_POLY2"
24,0.9,"SVM_POLY2"
25,0.911111111111111,"SVM_POLY2"
26,0.911111111111111,"SVM_POLY2"
27,0.911111111111111,"SVM_POLY2"
28,0.888888888888889,"SVM_POLY2"
29,0.933333333333333,"SVM_POLY2"
30,0.933333333333333,"SVM_POLY2"
31,0.9,"SVM_POLY2"
32,0.922222222222222,"SVM_POLY2"
33,0.822222222222222,"SVM_POLY2"
1,0.888888888888889,"SVM_POLY3"
2,0.811111111111111,"SVM_POLY3"
3,0.9,"SVM_POLY3"
4,0.877777777777778,"SVM_POLY3"
5,0.922222222222222,"SVM_POLY3"
6,0.9,"SVM_POLY3"
7,0.877777777777778,"SVM_POLY3"
8,0.888888888888889,"SVM_POLY3"
9,0.877777777777778,"SVM_POLY3"
10,0.855555555555556,"SVM_POLY3"
11,0.9,"SVM_POLY3"
12,0.933333333333333,"SVM_POLY3"
13,0.877777777777778,"SVM_POLY3"
14,0.877777777777778,"SVM_POLY3"
15,0.888888888888889,"SVM_POLY3"
16,0.888888888888889,"SVM_POLY3"
17,0.911111111111111,"SVM_POLY3"
18,0.888888888888889,"SVM_POLY3"
19,0.877777777777778,"SVM_POLY3"
20,0.944444444444444,"SVM_POLY3"
21,0.9,"SVM_POLY3"
22,0.855555555555556,"SVM_POLY3"
23,0.922222222222222,"SVM_POLY3"
24,0.877777777777778,"SVM_POLY3"
25,0.9,"SVM_POLY3"
26,0.933333333333333,"SVM_POLY3"
27,0.922222222222222,"SVM_POLY3"
28,0.9,"SVM_POLY3"
29,0.944444444444444,"SVM_POLY3"
30,0.933333333333333,"SVM_POLY3"
31,0.833333333333333,"SVM_POLY3"
32,0.888888888888889,"SVM_POLY3"
33,0.844444444444444,"SVM_POLY3"
1,0.433333333333333,"LDA"
2,0.455555555555556,"LDA"
3,0.4,"LDA"
4,0.466666666666667,"LDA"
5,0.433333333333333,"LDA"
6,0.433333333333333,"LDA"
7,0.433333333333333,"LDA"
8,0.433333333333333,"LDA"
9,0.433333333333333,"LDA"
10,0.411111111111111,"LDA"
11,0.366666666666667,"LDA"
12,0.366666666666667,"LDA"
13,0.477777777777778,"LDA"
14,0.377777777777778,"LDA"
15,0.411111111111111,"LDA"
16,0.4,"LDA"
17,0.511111111111111,"LDA"
18,0.433333333333333,"LDA"
19,0.333333333333333,"LDA"
20,0.466666666666667,"LDA"
21,0.422222222222222,"LDA"
22,0.422222222222222,"LDA"
23,0.455555555555556,"LDA"
24,0.444444444444444,"LDA"
25,0.4,"LDA"
26,0.433333333333333,"LDA"
27,0.411111111111111,"LDA"
28,0.444444444444444,"LDA"
29,0.444444444444444,"LDA"
30,0.366666666666667,"LDA"
31,0.411111111111111,"LDA"
