"Bloque","Metodo","Accuracy","Macro_F1"
1,"GNLPDA",0.952941176470588,0.963636363636364
2,"GNLPDA",0.964705882352941,0.972222222222222
3,"GNLPDA",0.952941176470588,0.963636363636364
4,"GNLPDA",0.982352941176471,0.986175115207373
5,"GNLPDA",0.964705882352941,0.972727272727273
6,"GNLPDA",0.958823529411765,0.967741935483871
7,"GNLPDA",0.952941176470588,0.963636363636364
8,"GNLPDA",0.952941176470588,0.963302752293578
9,"GNLPDA",0.970588235294118,0.97716894977169
10,"GNLPDA",0.982352941176471,0.986046511627907
12,"GNLPDA",0.952941176470588,0.963302752293578
13,"GNLPDA",0.935294117647059,0.949308755760369
14,"GNLPDA",0.952941176470588,0.963302752293578
15,"GNLPDA",0.976470588235294,0.981651376146789
16,"GNLPDA",0.982352941176471,0.986175115207373
17,"GNLPDA",0.970588235294118,0.97716894977169
18,"GNLPDA",0.964705882352941,0.972477064220184
19,"GNLPDA",0.970588235294118,0.976958525345622
20,"GNLPDA",0.970588235294118,0.976958525345622
21,"GNLPDA",0.935294117647059,0.95067264573991
22,"GNLPDA",0.970588235294118,0.976958525345622
23,"GNLPDA",0.935294117647059,0.950226244343891
24,"GNLPDA",0.964705882352941,0.972727272727273
25,"GNLPDA",0.970588235294118,0.976744186046512
26,"GNLPDA",0.970588235294118,0.976744186046512
27,"GNLPDA",0.964705882352941,0.972727272727273
28,"GNLPDA",0.958823529411765,0.967741935483871
29,"GNLPDA",0.970588235294118,0.97716894977169
30,"GNLPDA",0.970588235294118,0.976744186046512
31,"GNLPDA",0.952941176470588,0.963302752293578
1,"KFDA",0.941176470588235,0.954128440366973
2,"KFDA",0.929411764705882,0.943396226415094
3,"KFDA",0.941176470588235,0.954545454545454
4,"KFDA",0.952941176470588,0.963636363636364
5,"KFDA",0.964705882352941,0.972477064220184
6,"KFDA",0.941176470588235,0.953703703703704
7,"KFDA",0.964705882352941,0.972477064220184
8,"KFDA",0.947058823529412,0.95852534562212
9,"KFDA",0.952941176470588,0.962962962962963
10,"KFDA",0.941176470588235,0.953271028037383
