"Bloque","Metodo","Accuracy","Macro_F1"
1,"GNLPDA",0.836538461538462,0.701754385964912
2,"GNLPDA",0.951923076923077,0.929577464788732
3,"GNLPDA",0.903846153846154,0.84375
4,"GNLPDA",0.923076923076923,0.878787878787879
5,"GNLPDA",0.884615384615385,0.818181818181818
6,"GNLPDA",0.865384615384615,0.787878787878788
7,"GNLPDA",0.884615384615385,0.806451612903226
8,"GNLPDA",0.894230769230769,0.825396825396825
9,"GNLPDA",0.942307692307692,0.911764705882353
10,"GNLPDA",0.894230769230769,0.830769230769231
12,"GNLPDA",0.903846153846154,0.84375
13,"GNLPDA",0.913461538461538,0.861538461538462
14,"GNLPDA",0.875,0.8
15,"GNLPDA",0.894230769230769,0.830769230769231
16,"GNLPDA",0.884615384615385,0.823529411764706
17,"GNLPDA",0.903846153846154,0.848484848484849
18,"GNLPDA",0.903846153846154,0.848484848484849
19,"GNLPDA",0.894230769230769,0.835820895522388
20,"GNLPDA",0.894230769230769,0.825396825396825
21,"GNLPDA",0.913461538461538,0.869565217391304
22,"GNLPDA",0.875,0.786885245901639
23,"GNLPDA",0.855769230769231,0.776119402985075
24,"GNLPDA",0.865384615384615,0.78125
25,"GNLPDA",0.865384615384615,0.78125
26,"GNLPDA",0.923076923076923,0.882352941176471
27,"GNLPDA",0.875,0.8
28,"GNLPDA",0.875,0.786885245901639
29,"GNLPDA",0.932692307692308,0.895522388059701
30,"GNLPDA",0.894230769230769,0.840579710144927
31,"GNLPDA",0.855769230769231,0.788732394366197
1,"KFDA",0.913461538461538,0.873239436619718
2,"KFDA",0.894230769230769,0.835820895522388
3,"KFDA",0.903846153846154,0.864864864864865
4,"KFDA",0.913461538461538,0.865671641791045
5,"KFDA",0.903846153846154,0.848484848484849
6,"KFDA",0.903846153846154,0.857142857142857
7,"KFDA",0.913461538461538,0.869565217391304
8,"KFDA",0.942307692307692,0.914285714285714
9,"KFDA",0.932692307692308,0.904109589041096
10,"KFDA",0.942307692307692,0.916666666666667
12,"KFDA",0.913461538461538,0.865671641791045
13,"KFDA",0.932692307692308,0.898550724637681
14,"KFDA",0.875,0.805970149253731
15,"KFDA",0.932692307692308,0.898550724637681
16,"KFDA",0.923076923076923,0.891891891891892
17,"KFDA",0.923076923076923,0.888888888888889
18,"KFDA",0.961538461538462,0.944444444444445
19,"KFDA",0.932692307692308,0.895522388059701
20,"KFDA",0.951923076923077,0.927536231884058
21,"KFDA",0.894230769230769,0.835820895522388
22,"KFDA",0.875,0.816901408450704
23,"KFDA",0.846153846153846,0.75
24,"KFDA",0.932692307692308,0.906666666666667
25,"KFDA",0.913461538461538,0.869565217391304
26,"KFDA",0.932692307692308,0.906666666666667
27,"KFDA",0.923076923076923,0.888888888888889
28,"KFDA",0.942307692307692,0.914285714285714
29,"KFDA",0.913461538461538,0.876712328767123
30,"KFDA",0.913461538461538,0.88
31,"KFDA",0.942307692307692,0.914285714285714
1,"SVM_RBF",0.932692307692308,0.911392405063291
2,"SVM_RBF",0.951923076923077,0.935064935064935
3,"SVM_RBF",0.923076923076923,0.897435897435897
4,"SVM_RBF",0.942307692307692,0.923076923076923
5,"SVM_RBF",0.971153846153846,0.961038961038961
6,"SVM_RBF",0.932692307692308,0.909090909090909
7,"SVM_RBF",0.951923076923077,0.936708860759494
8,"SVM_RBF",0.961538461538462,0.945945945945946
9,"SVM_RBF",0.951923076923077,0.935064935064935
10,"SVM_RBF",0.942307692307692,0.925
12,"SVM_RBF",0.923076923076923,0.894736842105263
13,"SVM_RBF",0.923076923076923,0.9
14,"SVM_RBF",0.913461538461538,0.88
15,"SVM_RBF",0.951923076923077,0.933333333333333
16,"SVM_RBF",0.903846153846154,0.875
17,"SVM_RBF",0.884615384615385,0.853658536585366
18,"SVM_RBF",0.932692307692308,0.911392405063291
19,"SVM_RBF",0.942307692307692,0.923076923076923
20,"SVM_RBF",0.961538461538462,0.945945945945946
21,"SVM_RBF",0.903846153846154,0.875
22,"SVM_RBF",0.942307692307692,0.923076923076923
23,"SVM_RBF",0.894230769230769,0.867469879518072
24,"SVM_RBF",0.903846153846154,0.878048780487805
25,"SVM_RBF",0.913461538461538,0.891566265060241
26,"SVM_RBF",0.932692307692308,0.911392405063291
27,"SVM_RBF",0.932692307692308,0.91358024691358
28,"SVM_RBF",0.951923076923077,0.931506849315068
29,"SVM_RBF",0.913461538461538,0.886075949367089
30,"SVM_RBF",0.932692307692308,0.911392405063291
31,"SVM_RBF",0.884615384615385,0.86046511627907
1,"SVM_POLY2",0.923076923076923,0.882352941176471
2,"SVM_POLY2",0.932692307692308,0.901408450704225
3,"SVM_POLY2",0.942307692307692,0.916666666666667
4,"SVM_POLY2",0.903846153846154,0.848484848484849
5,"SVM_POLY2",0.865384615384615,0.766666666666667
6,"SVM_POLY2",0.913461538461538,0.861538461538462
7,"SVM_POLY2",0.903846153846154,0.848484848484849
8,"SVM_POLY2",0.894230769230769,0.830769230769231
9,"SVM_POLY2",0.961538461538462,0.942857142857143
10,"SVM_POLY2",0.913461538461538,0.869565217391304
12,"SVM_POLY2",0.884615384615385,0.823529411764706
13,"SVM_POLY2",0.913461538461538,0.861538461538462
14,"SVM_POLY2",0.894230769230769,0.830769230769231
15,"SVM_POLY2",0.951923076923077,0.927536231884058
16,"SVM_POLY2",0.903846153846154,0.848484848484849
