"Bloque","Accuracy","Metodo"
1,0.914634146341463,"GNLPDA"
2,0.909214092140921,"GNLPDA"
3,0.94579945799458,"GNLPDA"
4,0.926829268292683,"GNLPDA"
5,0.936314363143631,"GNLPDA"
6,0.937669376693767,"GNLPDA"
7,0.929539295392954,"GNLPDA"
8,0.929539295392954,"GNLPDA"
9,0.928184281842818,"GNLPDA"
10,0.924119241192412,"GNLPDA"
11,0.934959349593496,"GNLPDA"
12,0.921409214092141,"GNLPDA"
13,0.930894308943089,"GNLPDA"
14,0.937669376693767,"GNLPDA"
15,0.920054200542005,"GNLPDA"
16,0.959349593495935,"GNLPDA"
17,0.913279132791328,"GNLPDA"
18,0.929539295392954,"GNLPDA"
19,0.937669376693767,"GNLPDA"
20,0.937669376693767,"GNLPDA"
21,0.911924119241192,"GNLPDA"
22,0.921409214092141,"GNLPDA"
23,0.93360433604336,"GNLPDA"
24,0.930894308943089,"GNLPDA"
25,0.915989159891599,"GNLPDA"
26,0.941734417344173,"GNLPDA"
27,0.929539295392954,"GNLPDA"
28,0.920054200542005,"GNLPDA"
29,0.914634146341463,"GNLPDA"
30,0.929539295392954,"GNLPDA"
31,0.943089430894309,"GNLPDA"
32,0.944444444444444,"GNLPDA"
33,0.926829268292683,"GNLPDA"
1,0.670731707317073,"KFDA"
2,0.668021680216802,"KFDA"
3,0.677506775067751,"KFDA"
4,0.669376693766938,"KFDA"
5,0.64769647696477,"KFDA"
6,0.685636856368564,"KFDA"
7,0.676151761517615,"KFDA"
8,0.669376693766938,"KFDA"
9,0.673441734417344,"KFDA"
10,0.666666666666667,"KFDA"
11,0.680216802168022,"KFDA"
12,0.655826558265583,"KFDA"
13,0.657181571815718,"KFDA"
14,0.680216802168022,"KFDA"
15,0.665311653116531,"KFDA"
16,0.659891598915989,"KFDA"
17,0.651761517615176,"KFDA"
18,0.677506775067751,"KFDA"
19,0.666666666666667,"KFDA"
20,0.630081300813008,"KFDA"
21,0.668021680216802,"KFDA"
22,0.655826558265583,"KFDA"
23,0.707317073170732,"KFDA"
24,0.677506775067751,"KFDA"
25,0.657181571815718,"KFDA"
26,0.672086720867209,"KFDA"
27,0.70189701897019,"KFDA"
28,0.682926829268293,"KFDA"
29,0.655826558265583,"KFDA"
30,0.650406504065041,"KFDA"
31,0.68970189701897,"KFDA"
32,0.707317073170732,"KFDA"
33,0.692411924119241,"KFDA"
