Dataset,Estadistico_Friedman,Grados_Libertad,p-valor,Significativo_Alfa_0.05
1.2.penguins_long_graficos,31.3911,4,0.001,Sí
1.3.pimadiabetes_long_graficos,15.1286,4,0.004,Sí
1.4.wines_long_graficos,68.9141,4,0.001,Sí
3.1.Cebolla3D_long_graficos,62.9716,4,0.001,Sí
3.2.Cebolla10D_long_graficos,89.3542,4,0.001,Sí
3.3.Cebolla20D_long_graficos,113.5395,4,0.001,Sí
4.1.CancerWisconsin_long_graficos,44.8975,4,0.001,Sí
4.2.Ionosphere_long_graficos,50.6135,4,0.001,Sí
5.4.indicadores2015_long_graficos,103.159,4,0.001,Sí
5.5.indicadores2020_long_graficos,103.8108,4,0.001,Sí
