Pareja,1.2.penguins_long_graficos,1.3.pimadiabetes_long_graficos,1.4.wines_long_graficos,3.1.Cebolla3D_long_graficos,3.2.Cebolla10D_long_graficos,3.3.Cebolla20D_long_graficos,4.1.CancerWisconsin_long_graficos,4.2.Ionosphere_long_graficos,5.4.indicadores2015_long_graficos,5.5.indicadores2020_long_graficos
GNLPDA vs KFDA,0.002,0.003,0.45,0.996,0.001,0.001,0.246,0.016,0.102,0.102
GNLPDA vs SVM(Gauss),0.988,0.084,0.001,0.001,0.001,0.001,0.502,0.001,0.001,0.002
GNLPDA vs SVM(POL2),0.988,0.102,0.001,0.001,1.0,0.784,0.006,0.068,0.001,0.001
GNLPDA vs SVM(POL3),1.0,0.178,0.021,0.001,0.999,0.035,0.329,0.846,0.001,0.001
KFDA vs SVM(Gauss),0.001,0.805,0.001,0.001,0.938,0.124,0.992,0.266,0.001,0.001
KFDA vs SVM(POL2),0.001,0.761,0.001,0.001,0.001,0.011,0.001,0.988,0.001,0.001
KFDA vs SVM(POL3),0.004,0.609,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SVM(Gauss) vs SVM(POL2),1.0,1.0,0.999,0.948,0.001,0.001,0.001,0.093,0.582,0.084
SVM(Gauss) vs SVM(POL3),0.966,0.998,0.609,0.979,0.001,0.001,0.005,0.001,0.973,0.784
SVM(POL2) vs SVM(POL3),0.966,0.999,0.761,0.687,0.999,0.001,0.556,0.003,0.228,0.635
