Pareja,1.2.penguins_long_graficos,1.3.pimadiabetes_long_graficos,1.4.wines_long_graficos,3.1.Cebolla3D_long_graficos,3.2.Cebolla10D_long_graficos,3.3.Cebolla20D_long_graficos,4.1.CancerWisconsin_long_graficos,4.2.Ionosphere_long_graficos,5.4.indicadores2015_long_graficos,5.5.indicadores2020_long_graficos
GNLPDA vs KFDA,0.007,0.004,0.783,1.0,0.001,0.002,0.093,0.048,0.001,0.001
GNLPDA vs LDA,0.693,0.993,0.001,0.001,0.001,0.001,0.109,0.013,0.358,0.872
GNLPDA vs QDA,0.693,0.001,0.001,0.178,0.99,0.963,0.943,,0.018,0.016
GNLPDA vs SVM(Gauss),0.999,0.145,0.001,0.007,0.001,0.001,0.413,0.001,0.013,0.049
GNLPDA vs SVM(POL2),0.998,0.135,0.001,0.001,1.0,0.872,0.049,0.163,0.001,0.001
GNLPDA vs SVM(POL3),1.0,0.289,0.021,0.028,1.0,0.053,0.614,0.918,0.053,0.003
KFDA vs LDA,0.001,0.037,0.001,0.001,0.001,0.001,1.0,0.001,0.018,0.002
KFDA vs QDA,0.001,0.243,0.001,0.243,0.001,0.001,0.634,,0.358,0.553
KFDA vs SVM(Gauss),0.001,0.896,0.001,0.004,0.998,0.594,0.992,0.492,0.001,0.001
KFDA vs SVM(POL2),0.001,0.907,0.001,0.001,0.001,0.126,0.001,0.997,0.001,0.001
KFDA vs SVM(POL3),0.008,0.73,0.001,0.018,0.001,0.001,0.001,0.002,0.001,0.001
LDA vs QDA,1.0,0.001,1.0,0.178,0.001,0.001,0.674,,0.896,0.376
LDA vs SVM(Gauss),0.935,0.512,1.0,0.001,0.001,0.001,0.995,0.001,0.001,0.001
LDA vs SVM(POL2),0.943,0.492,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LDA vs SVM(POL3),0.674,0.73,0.73,0.001,0.001,0.289,0.001,0.203,0.001,0.001
QDA vs SVM(Gauss),0.935,0.009,1.0,0.001,0.001,0.001,0.963,,0.001,0.001
QDA vs SVM(POL2),0.943,0.01,0.996,0.001,0.992,0.289,0.001,,0.001,0.001
QDA vs SVM(POL3),0.674,0.003,0.573,0.001,0.999,0.433,0.086,,0.001,0.001
SVM(Gauss) vs SVM(POL2),1.0,1.0,1.0,0.997,0.001,0.001,0.001,0.218,0.935,0.512
SVM(Gauss) vs SVM(POL3),0.998,1.0,0.816,1.0,0.001,0.001,0.004,0.001,0.999,0.981
SVM(POL2) vs SVM(POL3),0.998,1.0,0.917,0.951,1.0,0.001,0.872,0.009,0.73,0.951
