Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico, LongitudAleta, LongitudPico*AnchoPico",14.03882891,0.9639295212765957
2,0.9702970297029703,0.9633699633699634,0.9592592592592593,0.9679633867276888,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, MasaCorporal, AnchoPico^2",0.272502587,0.9693317819148937
3,0.9405940594059405,0.9250654148068339,0.9259259259259259,0.9244062244062244,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.033158564,0.9921875
4,0.9702970297029703,0.9643738010413813,0.9685185185185184,0.9606782106782107,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico*AnchoPico, LongitudPico*LongitudAleta, AnchoPico^2",14.054996781,0.9697473404255319
5,0.9801980198019802,0.9759259259259259,0.9759259259259259,0.9759259259259259,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico^2, MasaCorporal*AnchoPico",0.293685743,0.9723238031914894
6,0.9801980198019802,0.9752097635392829,0.9666666666666667,0.9858156028368795,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*AnchoPico, MasaCorporal*AnchoPico",0.188115642,0.9729886968085106
7,0.9801980198019802,0.9765512265512265,0.9851851851851853,0.9696969696969697,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico*MasaCorporal, AnchoPico^2, MasaCorporal*AnchoPico",11.08789535,0.9739029255319149
8,1.0,1.0,1.0,1.0,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.42034903500000004,0.9717420212765957
9,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico^2, LongitudPico*LongitudAleta, LongitudAleta*AnchoPico",1.320277729,0.9689162234042553
10,0.9900990099009901,0.988124600347127,0.9925925925925926,0.9841269841269842,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",11.051965922,0.9752327127659575
11,0.9702970297029703,0.9622202848009299,0.9500000000000001,0.9791666666666666,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico^2, AnchoPico^2, LongitudAleta^2",1.664030973,0.9720744680851063
12,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",0.305314252,0.9734873670212766
13,0.9900990099009901,0.988124600347127,0.9925925925925926,0.9841269841269842,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico, AnchoPico, LongitudAleta",14.027551081999999,0.9634308510638298
14,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudAleta, LongitudPico*LongitudAleta, AnchoPico^2",0.27742450700000004,0.9670877659574468
15,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.21663860100000001,0.9714926861702128
16,0.9801980198019802,0.975686830094173,0.9833333333333334,0.9696969696969697,3,"LongitudPico, AnchoPico, MasaCorporal",4,"LongitudPico, LongitudPico*MasaCorporal, AnchoPico^2, MasaCorporal*AnchoPico",11.336603573,0.9712433510638298
17,0.9702970297029703,0.9622202848009299,0.9500000000000001,0.9791666666666666,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico^2, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.35659148399999996,0.9717420212765957
18,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",0.34373947400000004,0.9755651595744681
19,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico^2, LongitudPico*AnchoPico",11.110714991,0.972406914893617
20,0.9801980198019802,0.9765512265512265,0.9851851851851853,0.9696969696969697,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",0.434834017,0.9714095744680851
21,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico^2, AnchoPico^2, LongitudAleta^2",1.4584929800000002,0.9607712765957447
22,0.9702970297029703,0.9633699633699634,0.9592592592592593,0.9679633867276888,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico^2, LongitudPico*AnchoPico",11.455849797,0.9729886968085106
23,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.46775722799999997,0.9745678191489362
24,1.0,1.0,1.0,1.0,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico, LongitudAleta, LongitudPico*AnchoPico",1.2515991789999998,0.9644281914893617
25,0.9801980198019802,0.9759259259259259,0.9759259259259259,0.9759259259259259,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",11.008392876,0.9753158244680851
26,0.9603960396039604,0.9504195270785659,0.9425925925925925,0.9602048857368007,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*AnchoPico, MasaCorporal*AnchoPico",0.447854167,0.9716589095744681
27,0.9801980198019802,0.9749754939895784,0.974074074074074,0.9760869565217392,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico*MasaCorporal, AnchoPico^2, MasaCorporal*AnchoPico",0.282000808,0.9754820478723404
28,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",11.040100231,0.9758976063829787
29,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.423337355,0.9720744680851063
30,0.9900990099009901,0.988124600347127,0.9925925925925926,0.9841269841269842,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, MasaCorporal, AnchoPico^2",0.31064247300000003,0.9704122340425532
31,0.9801980198019802,0.9759259259259259,0.9759259259259259,0.9759259259259259,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",11.10422603,0.9748171542553191
32,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.30787994300000004,0.9775598404255319
33,0.9900990099009901,0.9877899877899878,0.9833333333333334,0.9927536231884058,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico*LongitudAleta, LongitudAleta*AnchoPico, LongitudAleta^2",1.582093849,0.9612699468085106
