Corrida,Acc,F1,Rec,Prec,Vars_E1,Nombres_E1,Vars_E2,Nombres_E2,Tiempo,Ahorro
1,0.9030054644808743,0.9055600581223839,0.9160572623111323,0.899341192144947,8,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",24,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_ptierra*i_analf, i_nolav*i_analf, i_analf*i_noref, i_edbasinc^2, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_ptierra^2, i_noagua^2, i_nodren*i_noagua, i_noagua*i_noelec, i_noref*i_noagua, i_nodren*i_noelec, i_nodren*i_nolav, i_noelec^2",882.5554411009999,0.4716589095744681
2,0.912568306010929,0.9143455567466422,0.9218708158027044,0.9120055053516231,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",28,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_nolav*i_analf, i_asistesc^2, i_asistesc*i_ptierra, i_asistesc*i_nolav, i_asistesc*i_noref, i_ptierra*i_edbasinc, i_edbasinc*i_noelec, i_ptierra^2, i_ptierra*i_noelec, i_ptierra*i_noref, i_noagua^2, i_nolav*i_noagua, i_noref*i_noagua, i_nodren*i_noelec, i_nodren*i_nolav, i_nodren*i_noref, i_nolav*i_noelec, i_nolav^2",1208.055835613,0.4728224734042553
3,0.9289617486338798,0.9328669030060744,0.9368381360641423,0.9310313963004537,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",27,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_ptierra*i_analf, i_analf*i_noagua, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_edbasinc^2, i_edbasinc*i_noelec, i_ptierra*i_noagua, i_nolav*i_ptierra, i_ptierra*i_noref, i_noagua^2, i_noagua*i_noelec, i_nolav*i_noagua, i_nodren*i_nolav, i_nolav*i_noelec, i_nolav^2",1676.057467029,0.47116023936170215
4,0.9057377049180327,0.9094734910933937,0.914966261808367,0.9117674242712432,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",31,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noagua, i_nodren*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_asistesc*i_noelec, i_edbasinc^2, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_ptierra^2, i_nolav*i_noagua, i_noref*i_noagua, i_nodren^2, i_nodren*i_noref, i_noelec^2, i_nolav*i_noelec, i_nolav^2, i_nolav*i_noref",903.438101199,0.47074468085106386
5,0.9330601092896175,0.934452950516412,0.9415715381969252,0.9299961317531682,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",27,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_ptierra*i_analf, i_analf*i_noagua, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_nolav, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_ptierra^2, i_nolav*i_ptierra, i_noagua^2, i_nodren*i_noagua, i_noagua*i_noelec, i_nolav*i_noagua, i_noref*i_noagua, i_nodren*i_noref, i_nolav*i_noelec",1241.402981177,0.4732380319148936
6,0.9043715846994536,0.9080712878032016,0.9098851578418141,0.9121099488124413,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",33,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_ptierra*i_analf, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_nolav, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_ptierra^2, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_ptierra, i_ptierra*i_noref, i_noref*i_noagua, i_nodren*i_noelec, i_nodren*i_nolav, i_nodren*i_noref, i_noelec^2, i_noref*i_noelec",1628.0661314570002,0.4699135638297872
7,0.9098360655737705,0.9131038150628926,0.919782487893943,0.9131269410227036,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",27,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_noelec, i_asistesc*i_noagua, i_asistesc*i_noelec, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_ptierra*i_noelec, i_nolav*i_ptierra, i_noagua^2, i_nodren*i_noagua, i_nolav*i_noagua, i_nodren*i_noref, i_nolav^2",905.009174091,0.4769780585106383
8,0.9207650273224044,0.9216894018302098,0.92404064459792,0.9242727007110793,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",27,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_nolav*i_analf, i_asistesc^2, i_asistesc*i_noagua, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_ptierra^2, i_nodren*i_ptierra, i_ptierra*i_noref, i_noagua^2, i_nodren*i_noagua, i_nodren^2, i_nodren*i_noelec, i_nolav*i_noelec, i_noref*i_noelec",1219.824917423,0.4716589095744681
9,0.9193989071038251,0.9221703666475213,0.9326860892805164,0.9168901205665911,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",29,"i_analf, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_nolav, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_ptierra, i_noagua^2, i_noagua*i_noelec, i_nolav*i_noagua, i_nodren*i_noref, i_noelec^2, i_noref*i_noelec",1655.153049008,0.47506648936170215
10,0.9153005464480874,0.9132537718066052,0.9304088274986106,0.9046427769562781,9,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",26,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_ptierra^2, i_ptierra*i_noagua, i_nolav*i_ptierra, i_noagua^2, i_nodren*i_noagua, i_noref*i_noagua, i_nodren^2, i_noelec^2, i_noref*i_noelec",902.355903979,0.47215757978723405
