"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.019999999999996,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico, LongitudAleta, LongitudPico*AnchoPico",14.03882891,0.963929521276596
2,2,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,0,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico, MasaCorporal, AnchoPico^2",0.272502587,0.969331781914894
3,3,0.940594059405941,0.905886007143966,0.922680779926634,0.916666666666667,0.930452191321756,0.00999999999999801,2,"LongitudPico, AnchoPico",2,"LongitudPico, AnchoPico",0.033158564,0.9921875
4,4,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,0.029999999999994,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico*AnchoPico, LongitudPico*LongitudAleta, AnchoPico^2",14.054996781,0.969747340425532
5,5,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,0.00999999999999801,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico^2, MasaCorporal*AnchoPico",0.293685743,0.972323803191489
6,6,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.0200000000000031,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*AnchoPico, MasaCorporal*AnchoPico",0.188115642,0.972988696808511
7,7,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,0.00999999999999801,3,"LongitudPico, AnchoPico, MasaCorporal",3,"LongitudPico*MasaCorporal, AnchoPico^2, MasaCorporal*AnchoPico",11.08789535,0.973902925531915
8,8,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.00999999999999801,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, MasaCorporal*AnchoPico",0.420349035,0.971742021276596
9,9,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,0.0200000000000031,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico^2, LongitudPico*LongitudAleta, LongitudAleta*AnchoPico",1.320277729,0.968916223404255
10,10,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.00999999999999801,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",11.051965922,0.975232712765957
11,11,0.96039603960396,0.936677115987461,0.948778565799842,0.933333333333333,0.972789115646258,0.00999999999999801,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico^2, AnchoPico^2, LongitudAleta^2",1.664030973,0.972074468085106
12,12,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.0200000000000031,3,"LongitudPico, AnchoPico, MasaCorporal",3,"MasaCorporal, LongitudPico*MasaCorporal, AnchoPico^2",0.305314252,0.973487367021277
13,13,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0.00999999999999801,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudPico, AnchoPico, LongitudAleta",14.027551082,0.96343085106383
14,14,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.00999999999999801,3,"LongitudPico, AnchoPico, LongitudAleta",3,"LongitudAleta, LongitudPico*LongitudAleta, AnchoPico^2",0.277424507,0.967087765957447
