"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.756521739130435,0.42653606411398,0.826086956521739,0.886666666666667,0.773255813953488,0.00999999999999801,4,"glucose, pressure, mass, age",6,"glucose*mass, glucose*age, pressure*mass, mass^2, mass*age, age^2",132.308822646,0.846658909574468
2,2,0.739130434782609,0.400521285838401,0.808917197452229,0.846666666666667,0.774390243902439,0,4,"pregnant, glucose, mass, age",5,"glucose, age, pregnant^2, mass*age, age^2",155.157841408,0.860039893617021
3,3,0.739130434782609,0.404145077720207,0.807692307692308,0.84,0.777777777777778,0.00999999999999801,3,"glucose, mass, age",5,"glucose, mass, glucose*age, mass*age, age^2",23.569961593,0.963929521276596
4,4,0.782608695652174,0.494283201407212,0.842767295597484,0.893333333333333,0.797619047619048,0.00999999999999801,7,"pregnant, glucose, pressure, insulin, mass, pedigree, age",9,"glucose^2, pressure^2, pressure*insulin, pressure*pedigree, pressure*age, insulin*age, mass*age, pedigree*age, age^2",661.787643982,0.524601063829787
5,5,0.795652173913043,0.526085050416484,0.851735015772871,0.9,0.808383233532934,0.0300000000000011,7,"pregnant, glucose, pressure, insulin, mass, pedigree, age",15,"insulin, pregnant^2, pregnant*pedigree, pregnant*age, glucose^2, glucose*insulin, glucose*mass, glucose*age, pressure^2, pressure*insulin, pressure*age, insulin*pedigree, insulin*age, mass*pedigree, age^2",1044.586157703,0.527260638297872
6,6,0.765217391304348,0.453825857519789,0.830188679245283,0.88,0.785714285714286,0.0200000000000031,6,"glucose, pressure, insulin, mass, pedigree, age",12,"glucose*insulin, glucose*mass, glucose*pedigree, glucose*age, pressure*insulin, pressure*mass, pressure*age, insulin^2, mass*insulin, insulin*pedigree, insulin*age, age^2",381.71264686,0.577792553191489
7,7,0.769565217391304,0.465585269618588,0.832807570977918,0.88,0.790419161676647,0.00999999999999801,4,"pregnant, glucose, mass, pedigree",6,"glucose, pregnant^2, pregnant*mass, pregnant*pedigree, glucose*mass, mass*pedigree",120.328873862,0.863364361702128
8,8,0.765217391304348,0.453825857519789,0.830188679245283,0.88,0.785714285714286,0.00999999999999801,6,"glucose, pressure, insulin, mass, pedigree, age",11,"glucose, pressure, age, glucose^2, glucose*age, pressure*insulin, pressure*age, insulin*pedigree, insulin*age, mass*age, age^2",692.374045666,0.560172872340426
9,9,0.747826086956522,0.402329749103943,0.820987654320988,0.886666666666667,0.764367816091954,0.0200000000000031,6,"glucose, pressure, insulin, mass, pedigree, age",13,"insulin, glucose^2, glucose*pressure, glucose*insulin, glucose*mass, pressure*insulin, pressure*pedigree, pressure*age, mass*insulin, insulin*age, mass^2, mass*pedigree, age^2",964.568685843,0.574551196808511
10,10,0.78695652173913,0.502867225408028,0.846394984326019,0.9,0.798816568047337,0.0200000000000031,6,"glucose, pressure, triceps, mass, pedigree, age",13,"pressure, triceps, mass, age, glucose*triceps, glucose*age, pressure*age, triceps^2, triceps*age, mass*pedigree, mass*age, pedigree*age, age^2",561.578303162,0.575049867021277
11,11,0.747826086956522,0.424006908462867,0.814102564102564,0.846666666666667,0.783950617283951,0.0200000000000031,5,"glucose, triceps, mass, pedigree, age",8,"triceps, age, glucose*mass, triceps^2, triceps*age, mass^2, pedigree*age, age^2",623.155615025,0.667054521276596
12,12,0.717391304347826,0.352533564313556,0.792332268370607,0.826666666666667,0.760736196319018,0.00999999999999801,5,"glucose, pressure, insulin, mass, age",12,"glucose^2, glucose*pressure, glucose*insulin, glucose*mass, pressure^2, pressure*mass, pressure*age, insulin^2, insulin*age, mass^2, mass*age, age^2",709.919691976,0.705036569148936
13,13,0.765217391304348,0.473282442748092,0.823529411764706,0.84,0.807692307692308,0.00999999999999801,6,"glucose, pressure, triceps, mass, pedigree, age",10,"glucose*pressure, glucose*pedigree, glucose*age, pressure^2, pressure*mass, pressure*age, triceps^2, triceps*age, mass*age, age^2",599.748374621,0.562084441489362
14,14,0.778260869565217,0.47936085219707,0.841121495327103,0.9,0.789473684210526,0.00999999999999801,5,"glucose, pressure, mass, pedigree, age",8,"glucose, age, glucose*mass, pressure^2, pressure*mass, pressure*age, pedigree*age, age^2",556.93699943,0.705452127659574
15,15,0.795652173913043,0.517195176418044,0.854489164086687,0.92,0.797687861271676,0.0200000000000031,5,"glucose, triceps, mass, pedigree, age",9,"triceps, mass, age, glucose*triceps, glucose*pedigree, triceps^2, mass*age, pedigree*age, age^2",737.764086551,0.679438164893617
