"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,1,1,1,1,1,0,6,"V1, V2, V5, V7, V10, V13",5,"V2*V13, V5*V7, V5*V10, V7*V13, V10*V13",622.906366454,0.495096409574468
2,2,0.962264150943396,0.942980096826251,0.962414878930305,0.966666666666667,0.961111111111111,0.019999999999996,7,"V1, V7, V9, V10, V11, V12, V13",8,"V13, V7*V1, V10*V1, V7^2, V10^2, V11*V10, V11*V12, V11*V13",1622.54554293,0.463513962765957
3,3,0.830188679245283,0.740619902120718,0.835209235209235,0.830687830687831,0.846825396825397,0.0200000000000031,5,"V1, V3, V4, V7, V8",7,"V7, V4*V1, V7*V1, V3*V4, V7*V4, V4*V8, V7^2",715.503409557,0.586934840425532
4,4,0.924528301886792,0.885837372105547,0.928145386766076,0.931578947368421,0.925925925925926,0.00999999999999801,7,"V1, V3, V4, V5, V7, V8, V10",8,"V4, V8, V1^2, V7*V1, V10*V1, V5*V3, V4*V8, V5*V8",782.598422076,0.466090425531915
5,5,0.905660377358491,0.853348090758163,0.90769411212761,0.899197722567288,0.924908424908425,0.019999999999996,4,"V1, V7, V10, V13",3,"V7*V1, V10*V1, V13*V1",290.23612234,0.835023271276596
6,6,1,1,1,1,1,0.0200000000000031,6,"V1, V2, V7, V9, V10, V13",4,"V1^2, V2*V13, V7*V13, V10*V13",1320.159374069,0.527094414893617
7,7,0.981132075471698,0.969817767653759,0.981365012811554,0.976190476190476,0.987654320987654,0.00999999999999801,6,"V1, V2, V5, V7, V10, V13",5,"V1^2, V5*V1, V2*V13, V7*V13, V10*V13",628.336406688,0.523271276595745
8,8,0.886792452830189,0.828848223896663,0.887244636790916,0.890225563909774,0.885380116959064,0.0399999999999991,7,"V1, V2, V3, V4, V6, V7, V12",8,"V1^2, V3*V1, V4*V1, V7*V1, V12*V1, V7*V2, V7^2, V12^2",1575.188130013,0.454953457446808
9,9,0.905660377358491,0.857142857142857,0.91430454845089,0.919786096256685,0.91578947368421,0,7,"V1, V7, V9, V10, V11, V12, V13",7,"V13, V1^2, V7*V1, V13*V1, V9*V13, V10*V13, V11*V13",940.46907506,0.471825132978723
10,10,0.943396226415094,0.914424111948332,0.944812053432743,0.94973544973545,0.942690058479532,0.00999999999999801,8,"V1, V3, V7, V8, V9, V10, V12, V13",8,"V1^2, V7*V1, V3^2, V3*V13, V13*V8, V10*V13, V12^2, V12*V13",781.129801071,0.440990691489362
11,11,0.962264150943396,0.94207650273224,0.964673913043478,0.96078431372549,0.972222222222222,0.029999999999994,5,"V3, V7, V10, V12, V13",5,"V12, V3*V10, V3*V13, V7*V13, V12*V13",1026.868731659,0.623254654255319
12,12,0.962264150943396,0.942640692640693,0.965608465608466,0.965608465608466,0.965608465608466,0.0200000000000031,4,"V1, V7, V10, V13",4,"V13*V1, V7*V13, V10*V13, V13^2",287.575343259,0.822722739361702
13,13,0.943396226415094,0.913821138211382,0.948172757475083,0.950089126559715,0.947089947089947,0.00999999999999801,7,"V1, V3, V5, V7, V10, V12, V13",5,"V10, V13, V3*V1, V7*V3, V12*V13",791.479767286,0.458610372340426
14,14,0.924528301886792,0.886387995712755,0.924074074074074,0.933333333333333,0.926587301587302,0.0399999999999991,6,"V1, V3, V4, V7, V10, V11",7,"V1, V11, V1^2, V7*V1, V3^2, V7*V4, V11*V10",1664.249509378,0.474152260638298
15,15,0.943396226415094,0.913961038961039,0.945642090035694,0.950089126559715,0.942296918767507,0,8,"V1, V3, V4, V5, V7, V8, V10, V11",8,"V3*V1, V7*V1, V11*V1, V3^2, V3*V4, V4^2, V7*V4, V7^2",741.865254078,0.44423204787234
16,16,0.943396226415094,0.913162206444566,0.942612942612943,0.933862433862434,0.958333333333333,0.0200000000000031,5,"V2, V3, V7, V10, V13",5,"V2*V13, V3*V13, V7*V13, V10*V13, V13^2",329.704130978,0.683759973404255
17,17,0.962264150943396,0.941565600882029,0.963888888888889,0.973333333333333,0.958333333333333,0,5,"V1, V2, V7, V10, V13",4,"V10*V1, V2*V13, V7*V13, V10*V13",559.297746842,0.653839760638298
18,18,0.905660377358491,0.85582154515778,0.909802043422733,0.910873440285205,0.91207729468599,0.0200000000000031,6,"V1, V3, V4, V7, V10, V12",7,"V3*V1, V7*V1, V3*V12, V4^2, V7^2, V12*V10, V12^2",1610.496691501,0.481632313829787
19,19,0.943396226415094,0.913445835601524,0.943295019157088,0.947204968944099,0.94040404040404,0.0200000000000031,7,"V1, V2, V5, V7, V10, V12, V13",6,"V5*V1, V5*V2, V2*V10, V2*V13, V5^2, V5*V7",731.14675622,0.464677526595745
20,20,0.943396226415094,0.91414686825054,0.944061302681992,0.947089947089947,0.942296918767507,0.00999999999999801,6,"V1, V6, V7, V10, V12, V13",6,"V13*V1, V6*V13, V7*V13, V10*V13, V12*V13, V13^2",1288.925952901,0.534740691489362
21,21,0.981132075471698,0.970241437394722,0.981118373275236,0.976190476190476,0.987179487179487,0,7,"V1, V2, V5, V7, V10, V12, V13",6,"V10, V7*V1, V7*V2, V2*V13, V7^2, V7*V13",1057.841200142,0.470661569148936
22,22,0.962264150943396,0.94146880176698,0.963012743926722,0.962301587301587,0.965277777777778,0,8,"V1, V2, V5, V7, V9, V10, V12, V13",8,"V5*V1, V9*V1, V5*V2, V2*V13, V9*V5, V9*V7, V7*V13, V10*V13",842.718785941,0.452792553191489
23,23,0.943396226415094,0.913821138211382,0.948172757475083,0.950089126559715,0.947089947089947,0.0200000000000031,5,"V1, V7, V10, V11, V13",6,"V13, V1^2, V7^2, V7*V10, V10*V13, V11*V13",994.09979363,0.648686835106383
24,24,0.962264150943396,0.941885964912281,0.959866220735786,0.952380952380952,0.972222222222222,0,5,"V1, V2, V7, V10, V13",4,"V1^2, V2*V13, V7*V13, V10*V13",757.467460261,0.644614361702128
25,25,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,0.00999999999999801,5,"V1, V2, V7, V10, V13",5,"V10, V7*V1, V2^2, V2*V13, V7^2",411.507202706,0.621176861702128
26,26,0.849056603773585,0.770438548998376,0.861158594491928,0.856892230576441,0.866666666666667,0.019999999999996,5,"V2, V3, V4, V7, V10",4,"V3*V10, V4^2, V7*V4, V10*V4",912.586818113,0.573636968085106
27,27,0.962264150943396,0.94229722373435,0.96297899631233,0.961038961038961,0.966329966329966,0,6,"V1, V2, V5, V7, V10, V13",5,"V7*V1, V10*V1, V2*V13, V7^2, V7*V13",1410.935359445,0.496592420212766
28,28,0.886792452830189,0.828663793103448,0.887208216619981,0.89572192513369,0.882843137254902,0.00999999999999801,6,"V1, V3, V4, V7, V10, V12",7,"V1^2, V3*V1, V10*V1, V3^2, V7*V4, V10^2, V12^2",702.502284186,0.480136303191489
29,29,0.943396226415094,0.91258933479934,0.94554439190964,0.940864389233954,0.951388888888889,0.019999999999996,4,"V7, V10, V12, V13",4,"V7*V13, V10*V13, V12*V13, V13^2",241.078861205,0.83876329787234
30,30,0.924528301886792,0.885652642934196,0.931578947368421,0.933862433862434,0.932456140350877,0,7,"V1, V3, V4, V7, V10, V11, V12",6,"V3*V1, V3*V4, V3*V10, V3*V12, V7*V10, V12^2",1545.172640587,0.442985372340426
31,31,0.924528301886792,0.885032537960954,0.927899686520376,0.935688405797101,0.922689075630252,0.0300000000000011,5,"V1, V7, V10, V12, V13",5,"V13*V1, V7*V13, V10*V13, V12*V13, V13^2",312.04878857,0.691904920212766
32,32,0.943396226415094,0.91258933479934,0.94554439190964,0.940864389233954,0.951388888888889,0.019999999999996,5,"V1, V2, V7, V10, V13",4,"V1^2, V2*V13, V7*V13, V10*V13",546.751197327,0.635472074468085
