"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.866666666666667,0.8,0.865017166741305,0.866666666666667,0.872100122100122,0.0200000000000031,8,"V1, V2, V4, V5, V6, V7, V8, V9",20,"V6, V9, V1^2, V2*V1, V4*V1, V8*V1, V2^2, V5*V2, V2*V8, V4^2, V5*V4, V7*V4, V9*V4, V5^2, V6^2, V7^2, V9*V7, V8^2, V9*V8, V9^2",959.805037074,0.496675531914894
2,2,0.911111111111111,0.866666666666666,0.910813201135782,0.911111111111111,0.917613636363636,0.019999999999996,9,"V1, V2, V3, V5, V6, V7, V8, V9, V10",25,"V2, V6, V7, V8, V10, V1^2, V2*V1, V3*V1, V6*V1, V9*V1, V10*V1, V2^2, V2*V10, V3^2, V3*V8, V9*V3, V5^2, V6^2, V9*V6, V7^2, V7*V8, V8^2, V9*V8, V9^2, V10^2",2176.711322813,0.49717420212766
3,3,0.9,0.85,0.899232370543846,0.9,0.903113016016242,0,7,"V1, V2, V5, V6, V7, V8, V9",14,"V2, V7, V8, V1^2, V5*V1, V2^2, V5*V2, V9*V2, V5^2, V6^2, V9*V6, V7^2, V8^2, V9^2",3588.55587584,0.512965425531915
4,4,0.9,0.85,0.899701992922332,0.9,0.9064039408867,0.0300000000000011,9,"V1, V2, V3, V4, V5, V6, V7, V8, V9",22,"V1, V4, V5, V8, V9, V1^2, V7*V1, V9*V1, V2^2, V2*V4, V6*V2, V3^2, V4^2, V5*V4, V6*V4, V5^2, V5*V8, V9*V5, V6^2, V7^2, V8^2, V9^2",1046.285263191,0.493101728723404
5,5,0.911111111111111,0.866666666666666,0.910838103215599,0.911111111111111,0.916666666666667,0.019999999999996,7,"V1, V2, V5, V6, V8, V9, V10",12,"V2, V9, V1^2, V6*V1, V9*V1, V2^2, V5^2, V6^2, V6*V8, V8^2, V9^2, V10^2",2081.540437003,0.512217420212766
6,6,0.877777777777778,0.816666666666667,0.876129718234981,0.877777777777778,0.882716049382716,0.0200000000000031,7,"V1, V2, V3, V5, V6, V7, V9",14,"V3, V5, V7, V1^2, V2^2, V6*V2, V3^2, V3*V6, V7*V3, V5^2, V6^2, V7^2, V9*V7, V9^2",3676.86305602,0.513630319148936
7,7,0.888888888888889,0.833333333333333,0.887939300842527,0.888888888888889,0.893863636363636,0.00999999999999801,7,"V1, V2, V4, V5, V6, V8, V9",19,"V5, V6, V1^2, V4*V1, V8*V1, V2^2, V2*V4, V5*V2, V2*V8, V9*V2, V4^2, V5^2, V9*V5, V6^2, V6*V8, V9*V6, V8^2, V9*V8, V9^2",939.347465131,0.516040558510638
8,8,0.922222222222222,0.883333333333333,0.922074784418674,0.922222222222222,0.926301555104801,0,8,"V1, V2, V3, V5, V6, V7, V8, V9",15,"V1^2, V5*V1, V8*V1, V2^2, V3^2, V9*V3, V5^2, V5*V6, V5*V7, V9*V5, V6^2, V7^2, V9*V7, V8^2, V9^2",2279.409109074,0.49750664893617
9,9,0.9,0.85,0.899232370543846,0.9,0.903113016016242,0.019999999999996,8,"V1, V2, V3, V5, V6, V7, V8, V9",18,"V3, V5, V7, V1^2, V5*V1, V7*V1, V9*V1, V2^2, V3*V2, V5*V2, V3^2, V5*V3, V3*V6, V5^2, V6^2, V7^2, V8^2, V9^2",3670.392747314,0.496010638297872
10,10,0.911111111111111,0.866666666666666,0.90990138506211,0.911111111111111,0.910994178235558,0.00999999999999801,8,"V1, V2, V5, V6, V7, V8, V9, V10",22,"V6, V7, V8, V9, V1^2, V5*V1, V10*V1, V2^2, V5*V2, V6*V2, V5^2, V5*V7, V5*V8, V6^2, V6*V8, V7^2, V7*V8, V8^2, V9*V8, V10*V8, V9^2, V10^2",996.251142579,0.497839095744681
