"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.952941176470588,0.897110001513088,0.963636363636364,0.990654205607477,0.938053097345133,0,8,"texture1, fractal_dimension1, radius3, texture3, smoothness3, compactness3, concavity3, symmetry3",13,"radius3, texture1^2, texture1*radius3, texture3*texture1, smoothness3*texture1, compactness3*texture1, texture1*concavity3, compactness3*fractal_dimension1, radius3^2, compactness3*radius3, texture3^2, texture3*concavity3, texture3*symmetry3",1539.793789225,0.0849401595744681
2,2,0.964705882352941,0.923846498432134,0.972222222222222,0.981308411214953,0.963302752293578,0.0200000000000031,8,"texture1, compactness1, concavity1, smoothness2, radius3, texture3, concave_points3, symmetry3",8,"radius3, texture1*compactness1, texture1*radius3, concavity1*radius3, radius3^2, texture3*concave_points3, texture3*symmetry3, concave_points3*symmetry3",2373.64153913,0.0818650265957447
3,3,0.952941176470588,0.897110001513088,0.963636363636364,0.990654205607477,0.938053097345133,0.00999999999999801,9,"concavity1, symmetry1, texture2, smoothness2, concave_points2, symmetry2, radius3, texture3, smoothness3",16,"radius3, concavity1^2, concavity1*texture2, concavity1*smoothness2, concavity1*symmetry2, concavity1*radius3, concavity1*texture3, symmetry1*concave_points2, symmetry1*texture3, texture2*texture3, smoothness2*radius3, smoothness2*texture3, texture3*concave_points2, texture3*symmetry2, radius3^2, smoothness3*radius3",3882.502415701,0.0766289893617021
4,4,0.982352941176471,0.961797752808989,0.986175115207373,1,0.972727272727273,0,10,"perimeter2, smoothness2, concave_points2, symmetry2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3",16,"perimeter2, radius3, texture3, smoothness3, perimeter2*radius3, perimeter2*texture3, perimeter2*concavity3, compactness3*symmetry2, symmetry2*concavity3, radius3^2, concave_points3*radius3, texture3^2, smoothness3*texture3, texture3*concavity3, concavity3^2, concave_points3^2",1594.500285392,0.0752160904255319
5,5,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0,11,"texture1, smoothness1, concavity1, radius2, compactness2, concavity2, radius3, compactness3, concavity3, concave_points3, symmetry3",24,"concavity2, radius3, texture1^2, smoothness1*texture1, concavity1*texture1, radius2*texture1, concavity2*texture1, compactness3*texture1, texture1*concavity3, concave_points3*texture1, texture1*symmetry3, concavity2*smoothness1, compactness3*smoothness1, concavity1*concavity2, radius2*radius3, compactness3*radius2, compactness2*radius3, concavity2^2, concavity2*radius3, radius3^2, compactness3^2, compactness3*symmetry3, concavity3^2, symmetry3*concavity3",2457.256864067,0.0741356382978723
6,6,0.958823529411765,0.910861423220974,0.967741935483871,0.981308411214953,0.954545454545455,0,9,"concave_points1, radius2, concave_points2, radius3, texture3, compactness3, concavity3, concave_points3, symmetry3",13,"radius2, concave_points2, radius3, texture3, texture3*concave_points1, concave_points1*concavity3, symmetry3*concave_points2, radius3^2, compactness3*radius3, concave_points3*radius3, texture3^2, texture3*concavity3, texture3*symmetry3",3799.552836269,0.0805352393617021
7,7,0.952941176470588,0.897110001513088,0.963636363636364,0.990654205607477,0.938053097345133,0.0200000000000031,13,"texture1, concavity1, concave_points1, symmetry1, radius2, concave_points2, symmetry2, radius3, texture3, smoothness3, compactness3, concave_points3, symmetry3",33,"texture1, symmetry2, radius3, concave_points3, concavity1*texture1, symmetry1*texture1, radius2*texture1, texture3*texture1, compactness3*texture1, concavity1^2, concavity1*concave_points2, concavity1*compactness3, radius2*concave_points1, concave_points1*concave_points2, symmetry2*concave_points1, concave_points3*concave_points1, concave_points1*symmetry3, symmetry1*symmetry2, symmetry1*radius3, smoothness3*symmetry1, compactness3*symmetry1, radius2*radius3, radius2*texture3, symmetry2^2, texture3*symmetry2, compactness3*symmetry2, symmetry2*symmetry3, radius3^2, smoothness3*radius3, concave_points3*radius3, compactness3*texture3, texture3*symmetry3, symmetry3^2",1617.031227777,0.0719747340425532
8,8,0.952941176470588,0.897790470464452,0.963302752293578,0.981308411214953,0.945945945945946,0,9,"texture1, concave_points1, perimeter2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3",17,"radius3, texture3, compactness3, concavity3, texture1^2, texture3*texture1, compactness3*texture1, concave_points3*texture1, texture3*concave_points1, perimeter2*texture3, perimeter2*concavity3, radius3^2, texture3*radius3, compactness3*radius3, texture3^2, smoothness3*texture3, texture3*concavity3",2407.758249458,0.0824468085106383
9,9,0.970588235294118,0.935907103001056,0.97716894977169,1,0.955357142857143,0.0200000000000031,10,"concave_points1, radius2, smoothness2, compactness2, concave_points2, radius3, texture3, smoothness3, concavity3, symmetry3",12,"concave_points1, radius2, radius3, texture3, texture3*concave_points1, radius2*concave_points2, radius3^2, radius3*concavity3, radius3*symmetry3, texture3^2, smoothness3*concavity3, symmetry3*concavity3",3821.16448968,0.0746343085106383
10,10,0.982352941176471,0.962047923798184,0.986046511627907,0.990654205607477,0.981481481481482,0.00999999999999801,9,"texture1, compactness1, concave_points1, radius2, compactness2, symmetry2, radius3, smoothness3, concavity3",17,"texture1, symmetry2, radius3, texture1^2, texture1*compactness1, texture1*concave_points1, radius2*texture1, texture1*radius3, texture1*concavity3, smoothness3*compactness1, concavity3*compactness1, radius2*radius3, compactness2*radius3, symmetry2*radius3, symmetry2*concavity3, radius3^2, smoothness3*radius3",1577.14003314,0.082280585106383
11,11,0,0,0,0,0,0.00999999999999801,8,"radius1, concavity1, concave_points1, symmetry2, fractal_dimension2, radius3, texture3, smoothness3",9,"concavity1, radius3, concavity1*radius3, symmetry2*concave_points1, texture3*symmetry2, fractal_dimension2^2, texture3*fractal_dimension2, smoothness3*radius3, smoothness3*texture3",2385.172745057,0.0802859042553191
12,12,0.952941176470588,0.897790470464452,0.963302752293578,0.981308411214953,0.945945945945946,0,7,"concave_points1, radius3, texture3, smoothness3, compactness3, concavity3, symmetry3",12,"radius3, compactness3, symmetry3, concave_points1*radius3, compactness3*concave_points1, smoothness3*radius3, smoothness3*texture3, compactness3*texture3, texture3*concavity3, compactness3^2, concavity3^2, symmetry3^2",3612.832513687,0.113115026595745
13,13,0.935294117647059,0.859925093632959,0.949308755760369,0.962616822429907,0.936363636363636,0.0200000000000031,10,"texture1, smoothness1, concavity1, symmetry1, symmetry2, radius3, smoothness3, compactness3, concavity3, concave_points3",19,"concavity1, symmetry1, radius3, smoothness1*texture1, smoothness3*texture1, compactness3*texture1, concave_points3*texture1, smoothness1*symmetry2, smoothness1*concave_points3, concavity1*symmetry1, concavity1*symmetry2, concavity1*radius3, concavity1*concave_points3, smoothness3*symmetry1, symmetry1*concave_points3, symmetry2*radius3, concave_points3*radius3, smoothness3*concavity3, compactness3*concave_points3",1592.319508323,0.078125
14,14,0.952941176470588,0.897790470464452,0.963302752293578,0.981308411214953,0.945945945945946,0.0200000000000031,7,"texture1, radius2, compactness2, radius3, texture3, concave_points3, symmetry3",10,"radius3, texture3, texture1^2, radius2*texture1, texture3*texture1, radius2*radius3, radius3^2, radius3*symmetry3, texture3^2, texture3*concave_points3",2302.081927712,0.0958277925531915
15,15,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,0,8,"radius1, texture1, concavity1, radius3, texture3, smoothness3, compactness3, symmetry3",11,"radius1, radius3, texture3, symmetry3*radius1, concavity1*texture1, texture3*texture1, smoothness3*texture1, compactness3*texture1, radius3^2, smoothness3*texture3, texture3*symmetry3",3881.516046447,0.0877659574468085
16,16,0.982352941176471,0.961797752808989,0.986175115207373,1,0.972727272727273,0.0200000000000031,10,"radius1, radius2, texture2, symmetry2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3",26,"texture2, radius3, texture3, radius2*radius1, texture2*radius1, radius2*radius3, radius2*texture3, smoothness3*radius2, compactness3*radius2, texture2*symmetry2, texture2*texture3, texture2*smoothness3, texture2*concavity3, texture2*concave_points3, symmetry2*radius3, texture3*symmetry2, compactness3*symmetry2, symmetry2*concavity3, radius3^2, texture3*radius3, smoothness3*texture3, compactness3*texture3, texture3*concavity3, texture3*concave_points3, smoothness3*concavity3, concave_points3^2",1575.262890485,0.0804521276595745
17,17,0.970588235294118,0.935907103001056,0.97716894977169,1,0.955357142857143,0.0200000000000031,10,"texture1, compactness1, concavity1, perimeter2, smoothness2, radius3, smoothness3, concavity3, concave_points3, symmetry3",17,"concavity1, perimeter2, radius3, symmetry3, concavity1*texture1, smoothness2*texture1, texture1*concavity3, concave_points3*texture1, perimeter2*compactness1, concavity1*smoothness2, concavity1*smoothness3, smoothness3*perimeter2, smoothness2*concave_points3, radius3^2, smoothness3*radius3, radius3*symmetry3, concavity3^2",2448.186706186,0.0703125
18,18,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,0,6,"texture1, concavity1, smoothness2, radius3, concave_points3, symmetry3",6,"texture1, radius3, concavity1*texture1, radius3^2, concave_points3*radius3, radius3*symmetry3",3486.851276068,0.144697473404255
19,19,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,0.0200000000000031,11,"texture1, concavity1, radius2, perimeter2, compactness2, radius3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",33,"texture1, perimeter2, radius3, concave_points3, texture1^2, concavity1*texture1, radius2*texture1, perimeter2*texture1, compactness3*texture1, concave_points3*texture1, concavity1*compactness2, concavity1*compactness3, radius2^2, radius2*compactness2, radius2*concavity3, radius2*symmetry3, perimeter2*compactness2, smoothness3*perimeter2, perimeter2*concavity3, perimeter2*concave_points3, compactness2^2, compactness2*radius3, smoothness3*compactness2, radius3^2, smoothness3*radius3, radius3*concavity3, radius3*symmetry3, smoothness3^2, smoothness3*concave_points3, compactness3^2, compactness3*concavity3, concave_points3*concavity3, concave_points3^2",1582.301103345,0.0728058510638298
20,20,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,0.0200000000000031,7,"texture1, concavity1, symmetry1, radius3, texture3, smoothness3, concavity3",13,"radius3, texture1^2, symmetry1*texture1, texture1*radius3, smoothness3*texture1, texture1*concavity3, symmetry1*concavity3, radius3^2, texture3*radius3, smoothness3*radius3, radius3*concavity3, texture3*concavity3, concavity3^2",2329.987429816,0.0960771276595745
21,21,0.935294117647059,0.857099189974018,0.95067264573991,0.990654205607477,0.913793103448276,0,8,"concave_points1, fractal_dimension1, symmetry2, radius3, texture3, smoothness3, compactness3, concavity3",17,"fractal_dimension1, symmetry2, radius3, smoothness3, concavity3, concave_points1^2, concave_points1*radius3, texture3*concave_points1, fractal_dimension1*texture3, compactness3*fractal_dimension1, fractal_dimension1*concavity3, symmetry2^2, symmetry2*concavity3, compactness3*texture3, texture3*concavity3, compactness3^2, concavity3^2",3867.395886943,0.0860206117021277
22,22,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,0.00999999999999801,9,"texture1, concavity2, radius3, texture3, smoothness3, compactness3, concavity3, concave_points3, symmetry3",19,"radius3, texture3, texture1^2, texture1*radius3, texture3*texture1, compactness3*texture1, texture1*concavity3, concave_points3*texture1, concavity2^2, concavity2*radius3, radius3^2, smoothness3*radius3, radius3*symmetry3, texture3^2, smoothness3*texture3, texture3*concavity3, texture3*concave_points3, smoothness3*concavity3, concave_points3^2",1590.769336146,0.0752160904255319
23,23,0.935294117647059,0.858053742219523,0.950226244343891,0.981308411214953,0.921052631578947,0,10,"texture1, compactness1, concavity1, concave_points1, symmetry1, symmetry2, radius3, smoothness3, concavity3, symmetry3",17,"texture1, radius3, texture1*concave_points1, symmetry1*texture1, symmetry2*texture1, smoothness3*texture1, radius3*compactness1, symmetry1*concave_points1, smoothness3*concave_points1, concave_points1*concavity3, symmetry1*symmetry3, smoothness3*symmetry2, radius3^2, radius3*concavity3, radius3*symmetry3, concavity3^2, symmetry3*concavity3",2416.993631687,0.078125
24,24,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0.0200000000000031,9,"texture1, compactness1, concavity1, concave_points1, radius2, radius3, smoothness3, symmetry3, fractal_dimension3",19,"texture1, compactness1, radius3, texture1^2, texture1*compactness1, concavity1*texture1, texture1*concave_points1, radius2*texture1, smoothness3*texture1, texture1*fractal_dimension3, concave_points1*compactness1, radius3*compactness1, radius2*concave_points1, smoothness3*concave_points1, concave_points1*symmetry3, radius2*radius3, radius2*fractal_dimension3, radius3^2, radius3*symmetry3",3803.930582804,0.0819481382978723
25,25,0.970588235294118,0.93674653966364,0.976744186046512,0.981308411214953,0.972222222222222,0.00999999999999801,9,"texture1, compactness1, concavity1, radius2, radius3, texture3, concave_points3, symmetry3, fractal_dimension3",15,"radius2, radius3, texture3, texture1^2, radius2*texture1, texture3*texture1, concave_points3*texture1, radius2*compactness1, texture3*compactness1, concavity1*radius3, radius2*radius3, radius3^2, texture3^2, texture3*concave_points3, texture3*symmetry3",1602.726346158,0.0740525265957447
26,26,0.970588235294118,0.93674653966364,0.976744186046512,0.981308411214953,0.972222222222222,0,7,"texture1, compactness1, concavity1, concave_points1, perimeter2, radius3, smoothness3",11,"radius3, texture1^2, texture1*compactness1, concavity1*texture1, perimeter2*texture1, smoothness3*texture1, radius3*compactness1, concavity1^2, perimeter2^2, perimeter2*radius3, radius3^2",2304.443048803,0.0987367021276596
27,27,0.964705882352941,0.922832501134816,0.972727272727273,1,0.946902654867257,0.0200000000000031,10,"compactness1, concave_points1, texture2, perimeter2, concavity2, radius3, texture3, smoothness3, concavity3, symmetry3",22,"perimeter2, concavity2, radius3, texture2*compactness1, perimeter2*compactness1, concavity2*compactness1, texture3*compactness1, texture2*concave_points1, perimeter2*concave_points1, texture3*concave_points1, texture2^2, texture2*perimeter2, texture2*radius3, concavity2*perimeter2, perimeter2*concavity3, perimeter2*symmetry3, concavity2^2, concavity2*radius3, smoothness3*concavity2, radius3^2, smoothness3*texture3, texture3*symmetry3",3862.616636374,0.0767121010638298
28,28,0.958823529411765,0.910861423220974,0.967741935483871,0.981308411214953,0.954545454545455,0.00999999999999801,5,"texture1, concavity1, concave_points1, radius3, smoothness3",6,"texture1, radius3, texture1^2, smoothness3*texture1, concavity1*radius3, radius3^2",1081.859510598,0.303939494680851
