"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.836538461538462,0.602517985611511,0.701754385964912,0.540540540540541,1,0.00999999999999801,7,"V3, V5, V16, V23, V26, V28, V32",14,"V3, V16, V5*V3, V3*V16, V16^2, V23*V16, V32*V16, V23*V26, V28*V23, V26^2, V28*V26, V28^2, V28*V32, V32^2",1550.967947514,0.0897606382978723
2,2,0.951923076923077,0.893179950698439,0.929577464788732,0.891891891891892,0.970588235294118,0,8,"V5, V9, V13, V15, V16, V20, V22, V27",21,"V5, V9, V22, V5^2, V9*V5, V5*V13, V5*V22, V5*V27, V9*V13, V9*V15, V9*V20, V13*V15, V20*V13, V13*V27, V15^2, V22*V15, V27*V15, V16^2, V20*V16, V20^2, V20*V27",3009.330152974,0.0772938829787234
3,3,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,0.00999999999999801,9,"V4, V5, V8, V18, V21, V22, V27, V28, V29",19,"V5, V8, V21, V22, V29, V4^2, V5*V4, V5^2, V5*V22, V5*V27, V8^2, V21*V8, V22*V8, V8*V27, V18^2, V22*V18, V22*V27, V29*V22, V29*V27",5428.031252473,0.0696476063829787
4,4,0.923076923076923,0.823654090716405,0.878787878787879,0.783783783783784,1,0.0200000000000031,7,"V4, V5, V6, V8, V12, V13, V14",18,"V5, V6, V8, V12, V5*V4, V4*V14, V6^2, V6*V8, V6*V12, V6*V13, V6*V14, V8^2, V12*V8, V14*V8, V12^2, V12*V13, V13*V14, V14^2",1535.202536324,0.0906748670212766
5,5,0.884615384615385,0.735481136074608,0.818181818181818,0.72972972972973,0.931034482758621,0.0200000000000031,7,"V1, V3, V5, V10, V27, V32, V34",15,"V3, V10, V32, V5*V1, V32*V1, V34*V1, V5*V10, V5*V27, V5*V34, V10^2, V32*V10, V10*V34, V27^2, V32*V27, V32^2",3034.881208609,0.0840259308510638
6,6,0.865384615384615,0.691394658753709,0.787878787878788,0.702702702702703,0.896551724137931,0,7,"V4, V5, V8, V10, V14, V19, V24",15,"V8, V10, V24, V4^2, V4*V8, V5^2, V5*V10, V5*V14, V5*V19, V14*V8, V10^2, V10*V14, V14^2, V19^2, V24^2",5293.324221237,0.0892619680851064
7,7,0.884615384615385,0.728577642453241,0.806451612903226,0.675675675675676,1,0.019999999999996,7,"V5, V7, V8, V14, V24, V25, V32",13,"V5, V7, V8, V5^2, V5*V24, V7*V14, V8^2, V14*V8, V25*V8, V32*V8, V14^2, V32*V24, V32*V25",1559.692834453,0.0836934840425532
8,8,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,0,6,"V5, V8, V15, V16, V27, V28",11,"V5, V8, V15, V16, V5*V27, V8*V15, V16*V8, V15^2, V16*V15, V16^2, V28^2",2719.588768898,0.138048537234043
9,9,0.942307692307692,0.869401423189619,0.911764705882353,0.837837837837838,1,0.0200000000000031,8,"V3, V5, V8, V9, V13, V14, V24, V27",22,"V5, V8, V14, V27, V9*V3, V3*V13, V3*V14, V3*V27, V9*V5, V5*V13, V5*V14, V5*V24, V5*V27, V8^2, V14*V8, V9*V13, V9*V14, V13^2, V13*V27, V14*V27, V24^2, V27^2",5274.58462838,0.0732214095744681
10,10,0.894230769230769,0.755972696245734,0.830769230769231,0.72972972972973,0.964285714285714,0.0200000000000031,6,"V5, V8, V26, V27, V29, V33",21,"V5, V8, V26, V27, V29, V33, V5^2, V5*V27, V5*V29, V8^2, V26*V8, V8*V27, V29*V8, V33*V8, V26^2, V26*V27, V27^2, V29*V27, V33*V27, V29^2, V33^2",1405.050306665,0.134142287234043
11,11,0.884615384615385,0.735481136074608,0.818181818181818,0.72972972972973,0.931034482758621,0,6,"V3, V5, V8, V14, V27, V31",12,"V3, V5, V8, V31, V5*V3, V3*V27, V8^2, V14*V8, V8*V27, V14^2, V31*V14, V27^2",2726.197007005,0.126329787234043
12,12,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,0,7,"V5, V6, V11, V20, V22, V25, V27",19,"V5, V20, V25, V5^2, V5*V11, V5*V25, V5*V27, V6^2, V6*V11, V6*V22, V6*V27, V11^2, V11*V20, V11*V25, V11*V27, V20^2, V20*V27, V22^2, V27^2",5364.546800483,0.0835272606382979
13,13,0.913461538461538,0.800341296928328,0.861538461538462,0.756756756756757,1,0.0200000000000031,8,"V4, V5, V6, V8, V10, V15, V27, V32",26,"V5, V6, V8, V15, V4^2, V10*V4, V4*V27, V5^2, V5*V6, V5*V10, V5*V15, V5*V27, V6^2, V6*V8, V6*V10, V6*V15, V8^2, V10*V8, V8*V15, V8*V27, V10^2, V10*V27, V32*V10, V15^2, V27*V15, V32^2",1622.428546493,0.0773769946808511
14,14,0.875,0.71160409556314,0.8,0.702702702702703,0.928571428571429,0.0200000000000031,7,"V1, V5, V8, V13, V24, V28, V34",18,"V28, V5*V1, V8*V1, V5*V8, V5*V13, V5*V34, V8^2, V13*V8, V8*V24, V28*V8, V13^2, V28*V13, V34*V13, V24^2, V28*V24, V34*V24, V28^2, V28*V34",3113.02623605,0.0910904255319149
15,15,0.894230769230769,0.755972696245734,0.830769230769231,0.72972972972973,0.964285714285714,0,7,"V5, V7, V8, V14, V24, V27, V33",17,"V5, V7, V8, V14, V24, V5*V14, V7*V24, V7*V27, V8^2, V14*V8, V8*V24, V33*V8, V14^2, V33*V14, V33*V24, V27^2, V33*V27",5240.380685614,0.0925864361702128
16,16,0.884615384615385,0.738802846379238,0.823529411764706,0.756756756756757,0.903225806451613,0.00999999999999801,6,"V3, V6, V8, V14, V17, V33",19,"V3, V6, V8, V17, V3^2, V3*V6, V3*V8, V3*V14, V3*V17, V6^2, V6*V8, V8^2, V14*V8, V17*V8, V14^2, V14*V17, V17^2, V33*V17, V33^2",1429.37880204,0.121509308510638
17,17,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,0.0200000000000031,6,"V5, V7, V8, V15, V24, V27",14,"V5, V8, V24, V5*V7, V5*V24, V5*V27, V7*V15, V7*V27, V8^2, V8*V15, V15^2, V24*V15, V24^2, V27^2",2703.069069879,0.121758643617021
18,18,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,0,7,"V5, V8, V14, V17, V24, V26, V28",21,"V5, V8, V14, V17, V24, V26, V5*V14, V5*V24, V5*V28, V8^2, V14*V8, V17*V8, V26*V8, V28*V8, V14^2, V14*V17, V28*V14, V24^2, V26*V24, V28*V26, V28^2",5120.532555377,0.0972406914893617
19,19,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,0.00999999999999801,7,"V3, V5, V10, V13, V24, V27, V29",20,"V3, V5, V24, V27, V5*V3, V3*V29, V5^2, V5*V24, V5*V27, V5*V29, V10^2, V10*V13, V10*V24, V13^2, V13*V24, V24^2, V27*V24, V29*V24, V27^2, V29*V27",1568.542059894,0.0905917553191489
20,20,0.894230769230769,0.752808988764045,0.825396825396825,0.702702702702703,1,0.0200000000000031,8,"V1, V5, V9, V10, V15, V24, V27, V29",21,"V5, V10, V1^2, V5*V1, V9*V1, V29*V1, V9*V5, V5*V15, V5*V24, V5*V27, V9^2, V9*V15, V9*V27, V10^2, V10*V27, V24*V15, V27*V15, V29*V15, V24^2, V27*V24, V27^2",3046.480188368,0.0785405585106383
21,21,0.913461538461538,0.805324459234609,0.869565217391304,0.810810810810811,0.9375,0,9,"V1, V4, V5, V6, V21, V22, V27, V29, V34",18,"V5, V6*V1, V22*V1, V29*V1, V4^2, V4*V29, V5*V27, V5*V29, V5*V34, V6^2, V6*V22, V21*V22, V21*V29, V22^2, V27^2, V29^2, V34*V29, V34^2",5321.259788073,0.0649933510638298
22,22,0.875,0.704028021015762,0.786885245901639,0.648648648648649,1,0.00999999999999801,8,"V1, V3, V5, V8, V10, V15, V17, V29",26,"V5, V17, V29, V5*V1, V8*V1, V15*V1, V17*V1, V29*V1, V3^2, V3*V10, V3*V15, V3*V17, V3*V29, V5^2, V5*V8, V5*V10, V5*V15, V5*V29, V8^2, V10*V8, V8*V15, V29*V8, V10^2, V10*V15, V17*V15, V29*V15",1640.467214315,0.0678191489361702
