"Bloque_Friedman","Corrida_Original","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_R_Segundos","Vars_E1","Nombres_E1","Vars_E2","Nombres_E2","Tiempo_Julia_AG","Ahorro_Espacio"
1,1,0.914634146341463,0.884434988156165,0.887048056776231,0.877952230013921,0.907893848411723,0.0300000000000011,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_edbasinc, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_sdsalud, i_analf*i_noagua, i_asistesc*i_edbasinc, i_asistesc*i_ptierra, i_nodren*i_asistesc, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_ptierra, i_ptierra*i_noref, i_nolav*i_noagua, i_noref*i_noagua, i_nodren^2, i_nolav*i_noelec",673.56685125,0.461020611702128
2,2,0.909214092140921,0.877537373317086,0.880662435707253,0.876947802988085,0.898656148379634,0.0300000000000011,10,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",31,"i_edbasinc, i_ptierra, i_nosan, i_nodren, i_noelec, i_noref, i_asistesc*i_analf, i_analf*i_edbasinc, i_ptierra*i_analf, i_nodren*i_analf, i_analf*i_noelec, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_ptierra*i_noagua, i_ptierra*i_noelec, i_ptierra*i_noref, i_nosan*i_noagua, i_noagua^2, i_nodren*i_noagua, i_nolav*i_noagua, i_nodren*i_nolav, i_noref*i_noelec",712.623992259,0.46733710106383
3,3,0.94579945799458,0.92663924750556,0.935083064277189,0.930873914335622,0.940380375487601,0.0600000000000023,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",42,"i_analf, i_asistesc, i_edbasinc, i_ptierra, i_noagua, i_nodren, i_noelec, i_noref, i_analf^2, i_ptierra*i_analf, i_analf*i_noagua, i_nodren*i_analf, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noref, i_edbasinc^2, i_edbasinc*i_sdsalud, i_ptierra*i_edbasinc, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nolav*i_edbasinc, i_sdsalud^2, i_ptierra*i_sdsalud, i_noagua*i_sdsalud, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_nosan, i_ptierra*i_noagua, i_ptierra*i_noelec, i_ptierra*i_noref, i_nodren*i_nosan, i_nosan*i_noelec, i_noagua^2, i_noagua*i_noelec, i_nodren*i_noref, i_noelec^2, i_nolav*i_noelec",764.049023184,0.47016289893617
4,4,0.926829268292683,0.900780767622045,0.926416073432394,0.920732889510726,0.932769567068771,0.0300000000000011,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",26,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_noagua, i_nodren, i_nolav, i_noref, i_analf*i_noelec, i_nolav*i_analf, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_noelec*i_sdsalud, i_noref*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noref, i_noagua^2, i_nodren*i_nolav, i_nodren*i_noref, i_nolav*i_noelec",676.285357499,0.466339760638298
5,5,0.936314363143631,0.914129748598166,0.925021456427583,0.925336718614993,0.928639754184954,0.18,11,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_nosan, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",36,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_nosan, i_analf*i_noagua, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_nolav, i_asistesc*i_noref, i_nosan*i_edbasinc, i_edbasinc*i_noagua, i_nodren*i_edbasinc, i_edbasinc*i_noelec, i_nolav*i_edbasinc, i_noref*i_edbasinc, i_sdsalud^2, i_noagua*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_ptierra*i_nosan, i_ptierra*i_noelec, i_nolav*i_ptierra, i_nosan^2, i_nodren*i_noagua, i_noagua*i_noelec, i_nolav*i_noagua",709.865430156,0.463680186170213
6,6,0.937669376693767,0.915681443360423,0.921761560622947,0.917528351362252,0.92854185057824,0.0200000000000031,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",33,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_nodren*i_asistesc, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_sdsalud^2, i_noelec*i_sdsalud, i_noref*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_nolav*i_ptierra, i_ptierra*i_noref, i_nodren*i_noagua, i_nodren^2, i_nodren*i_noelec, i_noelec^2, i_nolav*i_noelec, i_noref*i_noelec, i_noref^2",765.123614836,0.464428191489362
7,7,0.929539295392954,0.904525438487374,0.908959242589046,0.899756337022528,0.923242353864131,0.0499999999999972,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",31,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_analf^2, i_asistesc*i_analf, i_ptierra*i_analf, i_nodren*i_analf, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_noagua, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_noref*i_edbasinc, i_sdsalud^2, i_noagua*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nolav*i_ptierra, i_nodren*i_noagua, i_nodren*i_nolav, i_nolav*i_noelec",674.477961595,0.462433510638298
8,8,0.929539295392954,0.904755759179196,0.895814682241449,0.891216756425362,0.913458433970851,0.0300000000000011,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_edbasinc^2, i_ptierra*i_edbasinc, i_sdsalud^2, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_noref*i_sdsalud, i_ptierra^2, i_nodren*i_ptierra, i_ptierra*i_noelec, i_ptierra*i_noref, i_noagua*i_noelec, i_noref*i_noagua, i_nodren^2, i_nolav*i_noelec, i_noref^2",708.938456626,0.467253989361702
9,9,0.928184281842818,0.902906548111079,0.905586073581854,0.903587633888136,0.908820153037481,0.0500000000000043,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",34,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_sdsalud, i_analf*i_noagua, i_analf*i_noelec, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_ptierra, i_asistesc*i_noagua, i_nodren*i_asistesc, i_asistesc*i_noelec, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_ptierra^2, i_nodren*i_ptierra, i_nolav*i_ptierra, i_noagua^2, i_nodren^2, i_nodren*i_noelec, i_nolav*i_noelec, i_nolav*i_noref",768.050952134,0.468916223404255
10,10,0.924119241192412,0.897200422859275,0.902232871590801,0.894075570765069,0.915331192105386,0.0499999999999972,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",39,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_nolav, i_noref, i_analf^2, i_asistesc*i_analf, i_analf*i_edbasinc, i_analf*i_sdsalud, i_analf*i_noagua, i_analf*i_noelec, i_nolav*i_analf, i_analf*i_noref, i_asistesc^2, i_asistesc*i_edbasinc, i_nodren*i_asistesc, i_asistesc*i_noelec, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_nolav*i_edbasinc, i_noref*i_edbasinc, i_sdsalud^2, i_nodren*i_sdsalud, i_noelec*i_sdsalud, i_nolav*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_ptierra*i_noelec, i_nolav*i_noagua, i_noref*i_noagua, i_nodren^2, i_noelec^2, i_noref*i_noelec",673.22929514,0.465093085106383
11,11,0.934959349593496,0.912015856221033,0.913989087394295,0.910188884860877,0.922690199965217,0.0500000000000043,10,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_ptierra, i_noagua, i_nodren, i_noelec, i_nolav, i_noref",32,"i_analf, i_asistesc, i_edbasinc, i_sdsalud, i_noagua, i_nodren, i_noelec, i_nolav, i_noref, i_analf^2, i_analf*i_edbasinc, i_analf*i_noelec, i_analf*i_noref, i_asistesc*i_edbasinc, i_asistesc*i_sdsalud, i_asistesc*i_nolav, i_asistesc*i_noref, i_edbasinc^2, i_ptierra*i_edbasinc, i_edbasinc*i_noagua, i_edbasinc*i_noelec, i_sdsalud^2, i_ptierra*i_sdsalud, i_noagua*i_sdsalud, i_noelec*i_sdsalud, i_ptierra*i_noagua, i_nodren*i_ptierra, i_nodren*i_noagua, i_noagua*i_noelec, i_nolav*i_noagua, i_noref*i_noagua, i_nolav*i_noelec",710.719397521,0.470412234042553
