"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,11.48
2,1.27137882628806e-05,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,7.72
3,1.27137882628806e-05,0.97029702970297,0.953420445810915,0.964373801041381,0.968518518518519,0.960678210678211,9.87
4,1.27137882628806e-05,0.900990099009901,0.84418389385992,0.887645687645688,0.887037037037037,0.889924572911109,11.87
5,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,7.88
6,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,9.59
7,1.27137882628806e-05,0.940594059405941,0.905988209742476,0.930830991149423,0.925925925925926,0.936543486375513,11.74
8,1.27137882628806e-05,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,7.81
9,1.27137882628806e-05,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,9.21
10,1.27137882628806e-05,0.97029702970297,0.952877138413686,0.965950504280024,0.957407407407407,0.97655634357762,11.34
11,1.27137882628806e-05,0.95049504950495,0.920734578559096,0.940724267633089,0.924074074074074,0.966666666666667,7.8
12,1.27137882628806e-05,0.97029702970297,0.952759588400374,0.961160386115717,0.95,0.97680659382787,9.48
13,1.27137882628806e-05,0.99009900990099,0.984375,0.986886781407329,0.983333333333333,0.990990990990991,12
14,1.27137882628806e-05,0.96039603960396,0.936924277907884,0.952961025541671,0.940740740740741,0.969907407407407,7.94
15,1.27137882628806e-05,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,9.39
16,1.27137882628806e-05,0.96039603960396,0.937654320987654,0.951851851851852,0.951851851851852,0.951851851851852,11.7
17,1.27137882628806e-05,0.97029702970297,0.95281108861548,0.967008616498083,0.957407407407407,0.979166666666667,7.95
18,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,9.37
19,1.27137882628806e-05,0.96039603960396,0.937325473161651,0.955171385055035,0.95,0.961179544606196,12.46
20,1.27137882628806e-05,0.940594059405941,0.906869525126786,0.934176245210728,0.937037037037037,0.933089133089133,7.97
21,1.27137882628806e-05,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,9.21
22,1.27137882628806e-05,0.920792079207921,0.873671044402752,0.903873306929945,0.892592592592593,0.919967987194878,11.32
23,1.27137882628806e-05,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,7.86
24,1.27137882628806e-05,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,9.74
25,1.27137882628806e-05,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,11.84
26,1.27137882628806e-05,0.95049504950495,0.921155347384855,0.93703380800155,0.925925925925926,0.952614379084967,8.23
27,1.27137882628806e-05,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,9.02
28,1.27137882628806e-05,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,11.75
29,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,8.08
30,1.27137882628806e-05,0.96039603960396,0.937654320987654,0.951851851851852,0.951851851851852,0.951851851851852,9.5
31,1.27137882628806e-05,0.95049504950495,0.921766072811774,0.938949938949939,0.935185185185185,0.943173150266972,12.22
32,1.27137882628806e-05,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,7.76
33,1.27137882628806e-05,0.96039603960396,0.937257338095978,0.949357059667081,0.942592592592593,0.957979718849284,9.33
