"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,7.17494086166427e-06,0.782608695652174,0.51802179379715,0.834437086092715,0.84,0.828947368421053,62.3400000000001
2,7.17494086166427e-06,0.747826086956522,0.447390223695112,0.805369127516779,0.8,0.810810810810811,63.8899999999994
3,7.17494086166427e-06,0.726086956521739,0.401486988847584,0.787878787878788,0.78,0.795918367346939,63.8000000000029
4,3.58747043083213e-05,0.739130434782609,0.428334714167357,0.798657718120805,0.793333333333333,0.804054054054054,62
5,3.58747043083213e-05,0.769565217391304,0.513373253493014,0.814035087719298,0.773333333333333,0.859259259259259,63.7000000000007
6,7.17494086166427e-06,0.765217391304348,0.491400491400491,0.816326530612245,0.8,0.833333333333333,63.9199999999983
7,3.58747043083213e-05,0.765217391304348,0.488467874794069,0.817567567567568,0.806666666666667,0.828767123287671,62.2700000000004
8,3.58747043083213e-05,0.743478260869565,0.455238859895624,0.794425087108014,0.76,0.832116788321168,64.1399999999994
9,7.17494086166427e-06,0.734782608695652,0.430369468128299,0.790378006872852,0.766666666666667,0.815602836879433,63.3499999999985
10,7.17494086166427e-06,0.756521739130435,0.47557003257329,0.808219178082192,0.786666666666667,0.830985915492958,61.8299999999981
11,3.58747043083213e-05,0.773913043478261,0.51023751023751,0.82312925170068,0.806666666666667,0.840277777777778,64.8900000000031
12,7.17494086166427e-06,0.721739130434783,0.404048582995952,0.779310344827586,0.753333333333333,0.807142857142857,63.3299999999981
13,7.17494086166427e-06,0.739130434782609,0.441295546558704,0.793103448275862,0.766666666666667,0.821428571428571,61.6899999999987
14,3.58747043083213e-05,0.765217391304348,0.4825,0.82,0.82,0.82,63.9099999999999
15,7.17494086166427e-06,0.808695652173913,0.573355817875211,0.855263157894737,0.866666666666667,0.844155844155844,64.1699999999983
16,7.17494086166427e-06,0.747826086956522,0.430887372013652,0.811688311688312,0.833333333333333,0.791139240506329,62.6899999999987
17,7.17494086166427e-06,0.739130434782609,0.414758269720102,0.803921568627451,0.82,0.788461538461538,64.3600000000006
18,7.17494086166427e-06,0.765217391304348,0.4825,0.82,0.82,0.82,63.2799999999988
19,3.58747043083213e-05,0.71304347826087,0.378378378378378,0.775510204081633,0.76,0.791666666666667,61.9399999999987
20,3.58747043083213e-05,0.721739130434783,0.393739703459638,0.783783783783784,0.773333333333333,0.794520547945205,63.5300000000025
21,7.17494086166427e-06,0.743478260869565,0.432929377350606,0.803986710963455,0.806666666666667,0.801324503311258,63.2799999999988
22,3.58747043083213e-05,0.765217391304348,0.494299674267101,0.815068493150685,0.793333333333333,0.838028169014085,61.9099999999999
23,7.17494086166427e-06,0.804347826086957,0.559761803487878,0.853420195439739,0.873333333333333,0.834394904458599,63.5600000000013
24,7.17494086166427e-05,0.756521739130435,0.456998313659359,0.815789473684211,0.826666666666667,0.805194805194805,64.119999999999
25,7.17494086166427e-06,0.726086956521739,0.401486988847584,0.787878787878788,0.78,0.795918367346939,61.8499999999985
26,7.17494086166427e-06,0.743478260869565,0.422798809017439,0.807817589576547,0.826666666666667,0.789808917197452,63.8899999999994
27,7.17494086166427e-06,0.747826086956522,0.456840390879479,0.801369863013699,0.78,0.823943661971831,63.4399999999987
28,7.17494086166427e-06,0.769565217391304,0.502245814618211,0.819112627986348,0.8,0.839160839160839,62.5499999999993
29,7.17494086166427e-06,0.747826086956522,0.427467811158798,0.812903225806452,0.84,0.7875,64.7400000000016
30,7.17494086166427e-06,0.760869565217391,0.474449522226838,0.816053511705686,0.813333333333333,0.818791946308725,63.2700000000004
31,7.17494086166427e-06,0.739130434782609,0.42162615255658,0.801324503311258,0.806666666666667,0.796052631578947,62.4300000000003
32,7.17494086166427e-06,0.747826086956522,0.440905280804694,0.80794701986755,0.813333333333333,0.802631578947368,64.1699999999983
33,3.58747043083213e-05,0.747826086956522,0.459919028340081,0.8,0.773333333333333,0.828571428571429,63.3300000000017
