"Corrida","Sigma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.00229374237976855,0.944444444444444,0.916666666666667,0.944384143682799,0.944444444444444,0.946708463949843,17.78
2,0.0114687118988427,0.966666666666667,0.95,0.96664844177146,0.966666666666667,0.967672413793103,6.33999999999999
3,0.0114687118988427,0.977777777777778,0.966666666666666,0.977774690500448,0.977777777777778,0.978136200716846,5.82000000000001
4,0.0114687118988427,0.933333333333333,0.9,0.933249791144528,0.933333333333333,0.936363636363636,18.07
5,0.00573435594942137,0.944444444444444,0.916666666666667,0.944277183070671,0.944444444444444,0.948438634713144,6.52000000000001
6,0.0114687118988427,0.966666666666667,0.95,0.966647823629169,0.966666666666667,0.967741935483871,5.69
7,0.0114687118988427,0.977777777777778,0.966666666666666,0.977774690500448,0.977777777777778,0.978136200716846,18.32
8,0.0114687118988427,0.966666666666667,0.95,0.96664844177146,0.966666666666667,0.967672413793103,6.38
9,0.00114687118988427,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667,5.67
10,0.0114687118988427,0.966666666666667,0.95,0.966657404834676,0.966666666666667,0.967000370782351,17.94
11,0.00114687118988427,0.955555555555556,0.933333333333333,0.955488760865733,0.955555555555556,0.957792207792208,6.47
12,0.0114687118988427,0.955555555555556,0.933333333333333,0.955147694969719,0.955555555555556,0.956150793650794,5.73
13,0.0114687118988427,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667,17.75
14,0.0172030678482641,0.955555555555556,0.933333333333333,0.955147694969719,0.955555555555556,0.956150793650794,6.34
15,0.00573435594942137,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,6.06
16,0.00114687118988427,0.955555555555556,0.933333333333333,0.955530836732172,0.955555555555556,0.956944444444444,18.03
17,0.0114687118988427,0.977777777777778,0.966666666666666,0.977774690500448,0.977777777777778,0.978136200716846,6.25
18,0.00114687118988427,0.966666666666667,0.95,0.96664844177146,0.966666666666667,0.967672413793103,5.74000000000001
19,0.00114687118988427,0.911111111111111,0.866666666666666,0.910838103215599,0.911111111111111,0.916666666666667,17.89
20,0.0114687118988427,0.966666666666667,0.95,0.966475255472199,0.966666666666667,0.966641947843283,6.33
21,0.0114687118988427,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,5.55
22,0.00229374237976855,0.944444444444444,0.916666666666667,0.944277183070671,0.944444444444444,0.948438634713144,17.7
23,0.0114687118988427,0.944444444444444,0.916666666666667,0.944305207463102,0.944444444444444,0.947250280583614,7.03
24,0.0114687118988427,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,5.55999999999999
25,0.00229374237976855,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667,17.83
26,0.0114687118988427,0.955555555555556,0.933333333333333,0.955153570755606,0.955555555555556,0.955837173579109,6.47
27,0.00229374237976855,0.966666666666667,0.95,0.966647823629169,0.966666666666667,0.967741935483871,5.68000000000001
28,0.0114687118988427,0.966666666666667,0.95,0.966583124477861,0.966666666666667,0.96969696969697,17.88
29,0.00114687118988427,0.966666666666667,0.95,0.96664844177146,0.966666666666667,0.967672413793103,6.48
30,0.0114687118988427,0.977777777777778,0.966666666666666,0.977777777777778,0.977777777777778,0.977777777777778,5.55
31,0.00114687118988427,0.988888888888889,0.983333333333333,0.988885801611559,0.988888888888889,0.989247311827957,18.36
32,0.00114687118988427,0.977777777777778,0.966666666666666,0.977774690500448,0.977777777777778,0.978136200716846,6.61
33,0.00229374237976855,0.977777777777778,0.966666666666666,0.977753058954394,0.977777777777778,0.979166666666667,5.36
