"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.903846153846154,0.779567613395507,0.848484848484849,0.756756756756757,0.96551724137931,0
2,0.894230769230769,0.762063227953411,0.840579710144927,0.783783783783784,0.90625,0.00999999999999091
3,0.865384615384615,0.683340582862114,0.774193548387097,0.648648648648649,0.96,0.0199999999999818
4,0.817307692307692,0.555755395683453,0.666666666666667,0.513513513513513,0.95,0.00999999999999091
5,0.894230769230769,0.755972696245734,0.830769230769231,0.72972972972973,0.964285714285714,0.00999999999999091
6,0.855769230769231,0.653948535936113,0.745762711864407,0.594594594594595,1,0.0199999999999818
7,0.865384615384615,0.683340582862114,0.774193548387097,0.648648648648649,0.96,0.0199999999999818
8,0.855769230769231,0.653948535936113,0.745762711864407,0.594594594594595,1,0
9,0.884615384615385,0.732073851438385,0.8125,0.702702702702703,0.962962962962963,0.0199999999999818
10,0.884615384615385,0.735481136074608,0.818181818181818,0.72972972972973,0.931034482758621,0.00999999999999091
11,0.903846153846154,0.776728209531988,0.84375,0.72972972972973,1,0.0199999999999818
12,0.875,0.707865168539326,0.793650793650794,0.675675675675676,0.961538461538462,0
13,0.894230769230769,0.759056444818871,0.835820895522388,0.756756756756757,0.933333333333333,0
14,0.807692307692308,0.529198732458126,0.642857142857143,0.486486486486487,0.947368421052632,0.0200000000000387
15,0.855769230769231,0.662921348314607,0.761904761904762,0.648648648648649,0.923076923076923,0
16,0.865384615384615,0.687419493344783,0.78125,0.675675675675676,0.925925925925926,0
17,0.855769230769231,0.662921348314607,0.761904761904762,0.648648648648649,0.923076923076923,0.00999999999999091
18,0.865384615384615,0.683340582862114,0.774193548387097,0.648648648648649,0.96,0.0200000000000387
19,0.855769230769231,0.658493870402802,0.754098360655738,0.621621621621622,0.958333333333333,0.0200000000000387
20,0.875,0.707865168539326,0.793650793650794,0.675675675675676,0.961538461538462,0.00999999999999091
21,0.875,0.707865168539326,0.793650793650794,0.675675675675676,0.961538461538462,0.0200000000000387
22,0.875,0.707865168539326,0.793650793650794,0.675675675675676,0.961538461538462,0
23,0.826923076923077,0.592866463679861,0.709677419354839,0.594594594594595,0.88,0.00999999999999091
24,0.884615384615385,0.732073851438385,0.8125,0.702702702702703,0.962962962962963,0
25,0.836538461538462,0.622866894197952,0.738461538461538,0.648648648648649,0.857142857142857,0.0100000000000477
26,0.884615384615385,0.735481136074608,0.818181818181818,0.72972972972973,0.931034482758621,0
27,0.846153846153846,0.642765135251181,0.75,0.648648648648649,0.888888888888889,0
28,0.875,0.707865168539326,0.793650793650794,0.675675675675676,0.961538461538462,0
29,0.846153846153846,0.638103523270987,0.741935483870968,0.621621621621622,0.92,0
30,0.846153846153846,0.64730818143281,0.757575757575758,0.675675675675676,0.862068965517241,0.0200000000000387
31,0.855769230769231,0.671440606571188,0.776119402985075,0.702702702702703,0.866666666666667,0.0199999999999818
32,0.865384615384615,0.683340582862114,0.774193548387097,0.648648648648649,0.96,0.0199999999999818
33,0.865384615384615,0.687419493344783,0.78125,0.675675675675676,0.925925925925926,0
