"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,4.93
2,0.96039603960396,0.937169517884914,0.950419527078566,0.942592592592593,0.960204885736801,0.0300000000000002
3,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0
4,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,4.95
5,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,0.0300000000000002
6,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0199999999999996
7,0.98019801980198,0.96906584992343,0.976551226551227,0.985185185185185,0.96969696969697,4.92
8,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0.0200000000000005
9,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,0.00999999999999979
10,1,1,1,1,1,4.95
11,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.00999999999999979
12,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0199999999999996
13,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,4.92
14,0.98019801980198,0.968584758942457,0.975209763539283,0.966666666666667,0.985815602836879,0.00999999999999979
15,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,0
16,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,4.9
17,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0200000000000005
18,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0199999999999996
19,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,4.9
20,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0.00999999999999979
21,1,1,1,1,1,0
22,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,4.95
23,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0300000000000002
24,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0
25,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,5
26,0.97029702970297,0.953059643687064,0.963369963369963,0.959259259259259,0.967963386727689,0
27,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0
28,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,4.98
29,0.97029702970297,0.952693208430913,0.96222028480093,0.95,0.979166666666667,0
30,0.99009900990099,0.984473481936972,0.988124600347127,0.992592592592593,0.984126984126984,0
31,0.98019801980198,0.968827160493827,0.975925925925926,0.975925925925926,0.975925925925926,5.01
32,0.99009900990099,0.984353214562355,0.987789987789988,0.983333333333333,0.992753623188406,0.0199999999999996
33,1,1,1,1,1,0
