"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.717391304347826,0.356435643564356,0.790996784565916,0.82,0.763975155279503,3.47
2,0.747826086956522,0.406055209260908,0.819875776397516,0.88,0.767441860465116,0.00999999999999979
3,0.726086956521739,0.368627450980392,0.8,0.84,0.763636363636364,0
4,0.756521739130435,0.447210300429184,0.819354838709677,0.846666666666667,0.79375,3.47
5,0.778260869565217,0.488888888888889,0.838095238095238,0.88,0.8,0
6,0.730434782608696,0.387982832618026,0.8,0.826666666666667,0.775,0.0199999999999996
7,0.743478260869565,0.408714596949891,0.812698412698413,0.853333333333333,0.775757575757576,3.52
8,0.7,0.316831683168317,0.778135048231511,0.806666666666667,0.751552795031056,0
9,0.760869565217391,0.452143785188393,0.824281150159744,0.86,0.791411042944785,0.00999999999999979
10,0.778260869565217,0.488888888888889,0.838095238095238,0.88,0.8,3.47
11,0.730434782608696,0.387982832618026,0.8,0.826666666666667,0.775,0
12,0.673913043478261,0.266269672479796,0.755700325732899,0.773333333333333,0.738853503184713,0.00999999999999979
13,0.717391304347826,0.367864693446089,0.786885245901639,0.8,0.774193548387097,3.53
14,0.743478260869565,0.408714596949891,0.812698412698413,0.853333333333333,0.775757575757576,0
15,0.78695652173913,0.511909917713296,0.843450479233227,0.88,0.809815950920245,0
16,0.730434782608696,0.372911169744943,0.80503144654088,0.853333333333333,0.761904761904762,3.5
17,0.726086956521739,0.376237623762376,0.797427652733119,0.826666666666667,0.770186335403727,0
18,0.734782608695652,0.388671023965142,0.806349206349206,0.846666666666667,0.76969696969697,0.0200000000000005
19,0.760869565217391,0.455445544554456,0.823151125401929,0.853333333333333,0.795031055900621,3.52
20,0.721739130434783,0.356643356643357,0.79746835443038,0.84,0.759036144578313,0
21,0.717391304347826,0.352533564313556,0.792332268370607,0.826666666666667,0.760736196319018,0
22,0.760869565217391,0.44880174291939,0.825396825396825,0.866666666666667,0.787878787878788,3.5
23,0.743478260869565,0.401411557123953,0.815047021943574,0.866666666666667,0.769230769230769,0
24,0.730434782608696,0.384283246977547,0.801282051282051,0.833333333333333,0.771604938271605,0
25,0.726086956521739,0.372455608488523,0.798722044728434,0.833333333333333,0.766871165644172,3.5
26,0.704347826086957,0.303650934995548,0.788819875776398,0.846666666666667,0.738372093023256,0
27,0.765217391304348,0.466952789699571,0.825806451612903,0.853333333333333,0.8,0
28,0.752173913043478,0.435643564356436,0.816720257234727,0.846666666666667,0.788819875776398,3.56
29,0.734782608695652,0.396039603960396,0.803858520900322,0.833333333333333,0.77639751552795,0.00999999999999979
30,0.739130434782609,0.393139841688654,0.811320754716981,0.86,0.767857142857143,0
31,0.760869565217391,0.452143785188393,0.824281150159744,0.86,0.791411042944785,3.55
32,0.726086956521739,0.364752301622096,0.801261829652997,0.846666666666667,0.760479041916168,0
33,0.743478260869565,0.426215644820296,0.80655737704918,0.82,0.793548387096774,0
