"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,1,1,1,1,1,0.0199999999999996
2,1,1,1,1,1,0.0199999999999996
3,0.962264150943396,0.942640692640693,0.965608465608466,0.965608465608466,0.965608465608466,0.0300000000000002
4,0.981132075471698,0.971289274106175,0.979524239686841,0.976190476190476,0.984126984126984,0
5,0.981132075471698,0.97086311159978,0.980562122406094,0.976190476190476,0.986111111111111,0.00999999999999979
6,0.981132075471698,0.969817767653759,0.981365012811554,0.976190476190476,0.987654320987654,0.0199999999999996
7,1,1,1,1,1,0.0199999999999996
8,1,1,1,1,1,0.0200000000000005
9,0.962264150943396,0.94229722373435,0.96297899631233,0.961038961038961,0.966329966329966,0.0199999999999996
10,0.981132075471698,0.971258134490239,0.978645311978645,0.976190476190476,0.982456140350877,0.0199999999999996
11,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,0.00999999999999979
12,1,1,1,1,1,0.0200000000000005
13,1,1,1,1,1,0.00999999999999979
14,0.962264150943396,0.942826321467098,0.965789473684211,0.966666666666667,0.968253968253968,0.0200000000000005
15,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,0.00999999999999979
16,1,1,1,1,1,0.0200000000000005
17,0.981132075471698,0.970241437394722,0.981118373275236,0.976190476190476,0.987179487179487,0.0199999999999996
18,1,1,1,1,1,0
19,1,1,1,1,1,0.0200000000000005
20,0.962264150943396,0.942826321467098,0.965789473684211,0.968253968253968,0.966666666666667,0.0199999999999996
21,0.981132075471698,0.970604547975596,0.981703026038001,0.986666666666667,0.977777777777778,0.00999999999999979
22,0.962264150943396,0.940881204684886,0.962826734780758,0.953968253968254,0.974358974358974,0.0200000000000005
23,0.981132075471698,0.971273712737127,0.982724252491694,0.984848484848485,0.981481481481482,0.00999999999999979
24,0.981132075471698,0.971069868995633,0.980246913580247,0.976190476190476,0.985507246376812,0.0199999999999996
25,0.981132075471698,0.971289274106175,0.979524239686841,0.976190476190476,0.984126984126984,0.00999999999999979
26,1,1,1,1,1,0.0199999999999996
27,1,1,1,1,1,0.0100000000000007
28,0.981132075471698,0.971273712737127,0.982724252491694,0.984848484848485,0.981481481481482,0.00999999999999979
29,1,1,1,1,1,0.0100000000000007
30,1,1,1,1,1,0
31,1,1,1,1,1,0.0200000000000005
32,0.981132075471698,0.97086311159978,0.980562122406094,0.976190476190476,0.986111111111111,0
33,0.962264150943396,0.942547425474255,0.962772296105629,0.958646616541353,0.96969696969697,0.00999999999999979
