"Corrida","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.788888888888889,0.683333333333333,0.785267772060225,0.788888888888889,0.811428571428571,0.0200000000000005
2,0.855555555555556,0.783333333333333,0.854457891609594,0.855555555555556,0.86809616634178,0.0200000000000005
3,0.8,0.7,0.793962989665946,0.8,0.824806201550388,0.0199999999999996
4,0.833333333333333,0.75,0.832958063608218,0.833333333333333,0.846978557504873,0
5,0.8,0.7,0.797343453510436,0.8,0.825657894736842,0
6,0.877777777777778,0.816666666666667,0.877212647704451,0.877777777777778,0.887864823348694,0.0199999999999996
7,0.822222222222222,0.733333333333333,0.82010582010582,0.822222222222222,0.83974358974359,0
8,0.755555555555556,0.633333333333333,0.750863359042247,0.755555555555556,0.783840190816935,0
9,0.8,0.7,0.794951623718747,0.8,0.823467230443975,0.0200000000000005
10,0.833333333333333,0.75,0.831765403847784,0.833333333333333,0.849002849002849,0.00999999999999979
11,0.822222222222222,0.733333333333333,0.820542558909225,0.822222222222222,0.83974358974359,0.0199999999999996
12,0.766666666666667,0.65,0.76304607304846,0.766666666666667,0.795626576955425,0.00999999999999979
13,0.8,0.7,0.797343453510436,0.8,0.825657894736842,0.0199999999999996
14,0.822222222222222,0.733333333333333,0.820542558909225,0.822222222222222,0.83974358974359,0.0200000000000014
15,0.8,0.7,0.796594197380445,0.8,0.829093799682035,0.00999999999999979
16,0.788888888888889,0.683333333333333,0.788331726133076,0.788888888888889,0.813525749858517,0.0399999999999991
17,0.788888888888889,0.683333333333333,0.787330130187273,0.788888888888889,0.820899470899471,0.0200000000000014
18,0.811111111111111,0.716666666666667,0.807223175147703,0.811111111111111,0.832298136645963,0.00999999999999979
19,0.822222222222222,0.733333333333333,0.819288345109941,0.822222222222222,0.841124661246612,0.0199999999999996
20,0.722222222222222,0.583333333333333,0.711726182314418,0.722222222222222,0.752448497129348,0.00999999999999979
21,0.822222222222222,0.733333333333333,0.820542558909225,0.822222222222222,0.83974358974359,0.0200000000000014
22,0.777777777777778,0.666666666666667,0.776925262858767,0.777777777777778,0.803418803418803,0.0199999999999996
23,0.822222222222222,0.733333333333333,0.82198933213132,0.822222222222222,0.837719298245614,0
24,0.822222222222222,0.733333333333333,0.82061337355455,0.822222222222222,0.84093567251462,0.0199999999999996
25,0.844444444444444,0.766666666666666,0.842885375494071,0.844444444444444,0.858974358974359,0.0300000000000011
26,0.8,0.7,0.797650625236832,0.8,0.821428571428571,0.00999999999999979
27,0.733333333333333,0.6,0.727878302950845,0.733333333333333,0.768272425249169,0.0199999999999996
28,0.8,0.7,0.798363541220684,0.8,0.831746031746032,0.0199999999999996
29,0.8,0.7,0.797188793136176,0.8,0.820825515947467,0
30,0.8,0.7,0.799179292929293,0.8,0.827342047930283,0.00999999999999979
31,0.811111111111111,0.716666666666667,0.807223175147703,0.811111111111111,0.832298136645963,0
32,0.777777777777778,0.666666666666667,0.76969696969697,0.777777777777778,0.805555555555556,0
33,0.877777777777778,0.816666666666667,0.878024415592474,0.877777777777778,0.883950617283951,0.00999999999999979
