"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.1,0.0421060849060199,1,1,1,1,1,1.3
2,1,0.0421060849060199,1,1,1,1,1,1.27
3,1,0.0421060849060199,0.981132075471698,0.971366828741221,0.982860909690178,0.984126984126984,0.982456140350877,1.34
4,0.1,0.0421060849060199,1,1,1,1,1,1.27
5,0.1,0.0421060849060199,1,1,1,1,1,1.29
6,0.1,0.0421060849060199,0.981132075471698,0.970241437394722,0.981118373275236,0.987179487179487,0.976190476190476,1.35
7,0.1,0.0421060849060199,0.981132075471698,0.970224719101124,0.981969799414019,0.987179487179487,0.977777777777778,1.23
8,0.1,0.2105304245301,1,1,1,1,1,1.45
9,0.1,0.2105304245301,0.943396226415094,0.913821138211382,0.943410852713178,0.945887445887446,0.941798941798942,1.32
10,1,0.0421060849060199,0.962264150943396,0.942640692640693,0.957671957671958,0.957671957671958,0.957671957671958,1.3
11,0.1,0.0421060849060199,0.981132075471698,0.971117166212534,0.982491582491583,0.980392156862745,0.985507246376812,1.3
12,1,0.0421060849060199,1,1,1,1,1,1.48
13,1,0.0421060849060199,0.962264150943396,0.942391304347826,0.956582633053221,0.956582633053221,0.956582633053221,1.31
14,0.1,0.0421060849060199,0.981132075471698,0.971474703982777,0.979958738579428,0.983333333333333,0.977777777777778,1.32
15,0.1,0.0421060849060199,1,1,1,1,1,1.49
16,1,0.0421060849060199,0.981132075471698,0.971211298207496,0.979902383003158,0.976190476190476,0.984848484848485,1.31
17,0.1,0.0421060849060199,0.981132075471698,0.970604547975596,0.981703026038001,0.986666666666667,0.977777777777778,1.32
18,0.1,0.0421060849060199,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,1.48
19,0.1,0.2105304245301,0.924528301886792,0.884907709011944,0.926279602750191,0.932712215320911,0.923280423280423,1.29
20,1,0.0421060849060199,1,1,1,1,1,1.29
21,0.1,0.2105304245301,0.962264150943396,0.941565600882029,0.963122605363985,0.973333333333333,0.955555555555556,1.49
22,0.1,0.0421060849060199,0.981132075471698,0.970604547975596,0.981703026038001,0.977777777777778,0.986666666666667,1.31
23,0.1,0.0421060849060199,0.981132075471698,0.971273712737127,0.982724252491694,0.984848484848485,0.981481481481482,1.32
24,0.1,0.0421060849060199,0.981132075471698,0.971320346320346,0.980753809141941,0.984848484848485,0.977777777777778,1.48
25,1,0.0421060849060199,1,1,1,1,1,1.47
26,10,0.0421060849060199,0.943396226415094,0.913961038961039,0.945346628679962,0.942857142857143,0.950710108604845,1.25
27,0.1,2.105304245301,0.962264150943396,0.94229722373435,0.96297899631233,0.961038961038961,0.966329966329966,1.31
28,0.1,0.2105304245301,0.962264150943396,0.942640692640693,0.961145966004686,0.96524064171123,0.958169934640523,1.34
29,1,0.0421060849060199,1,1,1,1,1,1.27
30,1,0.0421060849060199,0.981132075471698,0.971273712737127,0.982724252491694,0.981481481481482,0.984848484848485,1.36
31,0.1,0.0421060849060199,1,1,1,1,1,1.3
32,0.1,0.0421060849060199,0.962264150943396,0.942453854505972,0.96524064171123,0.971014492753623,0.962962962962963,1.33
33,1,0.0421060849060199,0.943396226415094,0.914193200215866,0.942002442002442,0.942857142857143,0.941979949874687,1.47
