"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,0.1,0.078272469002118,0.958823529411765,0.909670563230606,0.968325791855204,1,0.93859649122807,7.25
2,1,0.078272469002118,0.970588235294118,0.937564272072866,0.976303317535545,0.962616822429907,0.990384615384615,7.09
3,1,0.078272469002118,0.970588235294118,0.93674653966364,0.976744186046512,0.981308411214953,0.972222222222222,8.02
4,1,0.078272469002118,0.982352941176471,0.962047923798184,0.986046511627907,0.990654205607477,0.981481481481482,7.54
5,1,0.078272469002118,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,7.16999999999999
6,1,0.078272469002118,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,6.86000000000001
7,1,0.078272469002118,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,7.22
8,1,0.078272469002118,0.982352941176471,0.962047923798184,0.986046511627907,0.990654205607477,0.981481481481482,6.7
9,0.1,0.078272469002118,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,7.43
10,1,0.078272469002118,1,1,1,1,1,7
11,1,0.078272469002118,0.958823529411765,0.912021292325891,0.967136150234742,0.962616822429907,0.971698113207547,8
12,0.1,0.078272469002118,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,7.37
13,1,0.078272469002118,0.982352941176471,0.962294839568239,0.985915492957746,0.981308411214953,0.990566037735849,7.3
14,0.1,0.39136234501059,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,7.19
15,1,0.078272469002118,0.994117647058824,0.987349307932728,0.995348837209302,1,0.990740740740741,7.37
16,0.1,0.39136234501059,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,7.94
17,1,0.078272469002118,0.994117647058824,0.987349307932728,0.995348837209302,1,0.990740740740741,7.6
18,0.1,0.078272469002118,0.976470588235294,0.948895235232226,0.981651376146789,1,0.963963963963964,6.7
19,1,0.078272469002118,0.970588235294118,0.93674653966364,0.976744186046512,0.981308411214953,0.972222222222222,6.95
20,1,0.078272469002118,0.976470588235294,0.949230998954756,0.981481481481482,0.990654205607477,0.972477064220184,8.55
21,1,0.078272469002118,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,6.55
22,1,0.078272469002118,0.964705882352941,0.923846498432134,0.972222222222222,0.981308411214953,0.963302752293578,7.34
23,1,0.078272469002118,0.935294117647059,0.859925093632959,0.949308755760369,0.962616822429907,0.936363636363636,6.81
24,1,0.078272469002118,0.970588235294118,0.936329588014981,0.976958525345622,0.990654205607477,0.963636363636364,6.86000000000001
25,1,0.078272469002118,0.988235294117647,0.974781189734461,0.990654205607477,0.990654205607477,0.990654205607477,7.25
26,1,0.078272469002118,0.976470588235294,0.949889462048637,0.981132075471698,0.97196261682243,0.990476190476191,7.75
27,1,0.078272469002118,0.982352941176471,0.962047923798184,0.986046511627907,0.990654205607477,0.981481481481482,6.94
28,1,0.078272469002118,0.964705882352941,0.923846498432134,0.972222222222222,0.981308411214953,0.963302752293578,7.65
29,1,0.078272469002118,0.964705882352941,0.924343569203382,0.97196261682243,0.97196261682243,0.97196261682243,7.28
30,1,0.078272469002118,0.976470588235294,0.949562379468921,0.981308411214953,0.981308411214953,0.981308411214953,7.35
31,1,0.078272469002118,0.964705882352941,0.923846498432134,0.972222222222222,0.981308411214953,0.963302752293578,6.26
32,1,0.078272469002118,0.982352941176471,0.961797752808989,0.986175115207373,1,0.972727272727273,8.58
33,0.1,0.078272469002118,0.964705882352941,0.923342852848339,0.972477064220184,0.990654205607477,0.954954954954955,6.92
