"Corrida","Cost_Optimo","Gamma_Optimo","Accuracy","Kappa","Macro_F1","Macro_Rec","Macro_Prec","Tiempo_Segundos"
1,100,0.0123528207423516,0.979508196721312,0.973212063842142,0.978870277898241,0.983539731682146,0.974755750461141,19.8700000000008
2,100,0.0123528207423516,0.978142076502732,0.97144375795464,0.979292462382889,0.981461723690826,0.977655874979135,19.8400000000001
3,100,0.0123528207423516,0.975409836065574,0.96776087850138,0.971663325524265,0.964580720277315,0.979875457100813,22.0600000000013
4,100,0.0123528207423516,0.976775956284153,0.969599546582758,0.973695263655592,0.974185917281893,0.973369601702838,19.4200000000001
5,100,0.0123528207423516,0.972677595628415,0.964236857533711,0.975010889748608,0.976518747850017,0.973834239211144,21.2799999999988
6,100,0.0123528207423516,0.975409836065574,0.967809082646809,0.974541235437522,0.975025535180334,0.974149259027457,21.0800000000017
7,100,0.0123528207423516,0.98224043715847,0.976786620350494,0.983721624265791,0.986212590299278,0.981375870068803,21.2399999999998
8,10,0.061764103711758,0.967213114754098,0.957160205420326,0.966482101625435,0.967374507157789,0.966262252315323,19.1299999999992
9,100,0.0123528207423516,0.980874316939891,0.974961274023543,0.981400148110122,0.980030695139054,0.982866670369452,21.4300000000003
10,100,0.0123528207423516,0.980874316939891,0.97495894909688,0.978791987260324,0.978499907385356,0.979301523073944,19.9600000000009
11,100,0.0123528207423516,0.976775956284153,0.969580373425117,0.974386603859048,0.974633378317589,0.974529013959075,22.4499999999989
12,100,0.0123528207423516,0.980874316939891,0.974993289573217,0.976310220631063,0.978417083432563,0.974339509810949,19.9899999999998
13,100,0.0123528207423516,0.979508196721312,0.973180918883271,0.975716938718139,0.974701648540658,0.976791094783369,19.0100000000002
14,100,0.0123528207423516,0.974043715846995,0.966054203928613,0.968888876734709,0.969995766187717,0.967876178466342,20.7699999999986
15,100,0.0123528207423516,0.972677595628415,0.964193822945303,0.969928155533218,0.966363155248604,0.973726857998193,21.7300000000014
16,100,0.0123528207423516,0.980874316939891,0.974963231521702,0.980258565700601,0.977147468974094,0.983857362393752,18.5599999999995
17,100,0.0123528207423516,0.980874316939891,0.974982056803035,0.982815076003239,0.983532851737186,0.982130694245064,19.5599999999995
18,100,0.0123528207423516,0.990437158469945,0.987494508712842,0.989968209544837,0.990357492524675,0.989736588247783,20.5799999999999
19,100,0.0123528207423516,0.975409836065574,0.967826218603947,0.973228368377388,0.972152628932815,0.974557902140714,22.8299999999999
20,100,0.0123528207423516,0.983606557377049,0.978559607902483,0.98156896448798,0.983205789738297,0.980015035178672,20.6399999999994
21,100,0.0123528207423516,0.978142076502732,0.971335288042175,0.977059265727836,0.971571273583657,0.983125428255179,19.0300000000007
22,100,0.0123528207423516,0.979508196721312,0.973182490950923,0.977991741844764,0.978788865073695,0.977244254850033,19.380000000001
23,100,0.0123528207423516,0.979508196721312,0.973178429399177,0.978634398087943,0.977502050752825,0.979818759864018,18.8600000000006
24,100,0.0123528207423516,0.972677595628415,0.964172442147304,0.972083179127289,0.966679632716784,0.977973964808021,22.1399999999994
25,100,0.0123528207423516,0.984972677595628,0.980349568774069,0.986403149276438,0.988452012383901,0.984457449202502,17.869999999999
26,100,0.0123528207423516,0.972677595628415,0.964234061681585,0.971700596352055,0.972067158847345,0.971455315150377,18.1900000000005
27,100,0.0123528207423516,0.984972677595628,0.980337764580627,0.980974430379015,0.9838662644545,0.978481116508813,21.5499999999993
28,100,0.0123528207423516,0.974043715846995,0.96603629827886,0.973338580993218,0.97609907120743,0.970964492436402,18.8700000000008
29,100,0.0123528207423516,0.974043715846995,0.96603347807611,0.975052000029524,0.975362652483395,0.974764568881879,19.8600000000006
30,100,0.0123528207423516,0.983606557377049,0.978563689075876,0.984708159090539,0.986790505675955,0.9827037727711,21.6399999999994
31,100,0.0123528207423516,0.976775956284153,0.96957561354868,0.974852408884343,0.972916567436691,0.976982628096176,18.3899999999994
32,10,0.061764103711758,0.969945355191257,0.960710260126184,0.971808694588799,0.973580746738641,0.970165396727044,19.25
33,100,0.0123528207423516,0.986338797814208,0.98212820813313,0.985554586464282,0.984588394062078,0.986805091543943,20.8899999999994
